Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección/Tema|Edición|Tomo|Colección|Imprenta|Palabras Clave|Referencias|
||El grano de arena No. 25|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, propagandistas, funesto, Macrino, Aureliano, Tepoztlán |Aureliano Emperador de Roma, a la corrupción de su corazón, publicó contra los cristianos, edictos de muerte y sangre y fue la novena persecusión. |
||El grano de arena No. 26|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, laica, infierno, sacerdote, indulgencias, Tepoztlán |Lejos de proscribir la enseñanza religiosa, hoy la creo mas necesaria que nunca. Cuanto más progresa el hombre, más necesita creer. |
||El grano de arena No. 27|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, historia, Guadalupana, pergaminos, milagro,Tepoztlán |Ahora bien la Santa Sede, no solamente no ha prohibido ni condenado despues de repetidos y profundos estudios, el milagro Guadalupano, sino que en las postrimerias de este siglo de luces, lo ha declarado y lo ha confirmado y lo ha realzado sobre toda ponderación. |
||El grano de arena No. 29|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, edicto, pensamiento, arzobispo, obispo, caridad, parabolas, muerte,Tepoztlán |Que la maravillosa aparición, sin ser dogma de fé, como pudiera interpretarse por la sencilla devoción de algunas almas piadosas es una tradición antigua, constante y universal en la nación mexicana.|
||El grano de arena No. 31|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, funestos, coronación, ferrocarril, incrédulo,Tepoztlán |¡Salve! Prorrumpieron frenéticos con sus múltiples bocas los altos campanarios de los templos cristianos. Llego el momento de la coronación.|
||El grano de arena No. 32|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, funestos, aparición, moralidad, infierno, misericordia,Tepoztlán |En el ajusco, misteriosa sombra forman las ramas de robusta encina. Que espanto pone al indio que camina.|
||El grano de arena No. 33|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, funestos, divinidad, confirmación, refutación, Lacroma, impugna, presbítero,Tepoztlán |El emperador de Austria ha cedido la isla de Lacroma á los carmelitas para que la habiten y construyan en ella una Iglesia y convento. |
||El grano de arena No. 34|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, campanas, divinidad, confirmación, concilio, provincial, Napoleón,Tepoztlán |Hoy tendrá lugar en la santa Iglesia metropolitana, la clausura del concilio provincial mexicano.|
||El grano de arena No. 35|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, divinidad, sotana,  Napoleón, misa, incrédulos, Tepoztlán |Los fundadores de religión ni siquiera tuvieron la menor idea de ese amor místico que, bajo el bello nombre de caridad, es la esencia del cristianismo.|
||El grano de arena No. 36|Tepoztlán||1896|4||Historia de Morelos|||||Semanario, católico, epitafio, concilio, campana, conversión, parabolas, Jefferson, Tepoztlán |Una las calamidades y que mas daño causan, no solo en la religión católica sino también á la sociedad es sin duda instruir a la juventud en las ciencias y artes dejando aparte lo perteneciente á la iglesia y á Dios.|
||El progresista|Jojutla de Juarez||1877|4||Historia de Morelos|||||Elecciones, Carlos Pacheco, Miacatlán, mortuorio, Club, Unionista|Las elecciones son el asunto, del día y es indudable que en esta vez el pueblo no se manifestará indiferente, por que ya no se le burlará obligandolo á aprobar con su silencio lo que nunca podría haber sido el resultado de su angusta voluntad.|
||El renovador|Cuernavaca||1974|8||Historia de Morelos|||||Conferencias, reformas, Cuautla, Jojutla, Rivera Crespo, delegado, tránsito, Zacatepec, federación, sindicato, epigrama, penitenciario|Con una objetividad propia de la política moderna a que nos está acostumbrando el Presidente Luis Echeverria, el licenciado Angel Ventura Valle, Secretario de Promoción Económica, dio una conferencia en la tribuna del Partido Revolucionario Institucional de esta entidad federativa, en la que se plasma con franqueza y sin demagogía, el logro veraz de tres años de gobierno de la administración del Ingeniero Felipe Rivera Crespo. |
||El Sol Suriano al servicio del pueblo en Cuautla No. 46|Cuautla||1968|4||Historia de Morelos|||||Atlatlahucan, banjidal, campecinos, azucareros, Pte. Ixtla, intransigencias|Según convenio firmado, el día 14 del actual en la Secretaría del Trabajo mediante el cual fue renovado el contrato ley de la industria azucarera, alcoholera y similares del país.|
||El Sol Suriano al servicio del pueblo en Cuautla No. 48|Cuautla||1968|4||Historia de Morelos|||||Urbanos, prensa, ceremonia, cine, Plan de Ayala, congreso, magisterial, recetas|El Plan de Ayala fue firmado en el pueblo de Ayoxustla del Estado de Puebla, donde se realizó el Histórico acto que dio bandera política y social a la Revolución Agraria del Sur.|
||El Sol Suriano al servicio del pueblo en Cuautla No. 108|Cuautla||1970|4||Historia de Morelos|||||Tenextepango, fraude, escuela, campesino, Xoxocotla, Jojutla, agrícola, obras, mercado|El ayuntamiento de Jojutla,  salva escollos que retrasan las Obras del Centro Técnico Agrícola |
||El Sol Suriano al servicio del pueblo en Cuautla No. 117|Cuernavaca||1970|6||Historia de Morelos|||||Expropiación, petrolera, Coatetelco, ganaderos, industriales, comerciantes, fisonomía, Xoxocotla, veteranos, revolución, abigeos, Temoac, zocalo|General Lázaro Cárdenas, el hombre a quien mas gente conocía sirvió a México construyendole los cimientos de su independencia económica, esto con la Expropiación petrolera a la mexicana del 18 de marzo de 1938.|
||Morelos|Cuernavaca||1965|10||Historia de Morelos|||||Doctrinarias, Revolución, Mexicana, directiva, sindical, ferrocarrileros, prestaciones, sociales, agrario, Chinameca|El ancestral problema que ha padecido el pueblo mexicano es el del usufructo de la tierra.|
||Presente |Cuernavaca||1965|18||Historia de Morelos|||||Informe, obras, Zacatepec, cooperativas, escolares, ayuntamiento, constitucional, sindicato, trabajadores, educación, industriales, arroceros, asociación, regional, potable, salud |El Lic. Emilio Riva Palacio, Gobernador Constitucional del Estado de Morelos, rindio el martes 4 de mayo actual, el primer informe de su Gobierno ante la XXXVI Legislatura del Estado.|
||Tribuna de Morelos|Cuernavaca||1946|8||Historia de Morelos|||||Ingenio, Zacatepec, economía, nacional, sesión, extraordinaria|El día 26 de los corrientes, fue celebrada una sesión extraordinaria de los Consejos de Administración y Vigilancia de la Cooperativa que administra el vecino Ingenio de Zacatepec.|
||Unidad Cañera|México D.F.||1963|26||Historia de Morelos|||||Asociación, productores, caña, azucar, confederación, campesina, obreros, permutas, casasano, ingenios, impuestos, crédito, molienda, melaza, mascabado, embarques, tamazula, cultivo, ganadería, fertilización, erosión, cañeros|La mecanización de las diferentes labores que en el campo requieren la siembra, el cultivo y producción de caña de azucar es una necesidad imperiosa como unico medio para mejorar los rendimientos que cada día deben ser mayores a fin de satisfacer, con amplitud la demanda del mercado nacional y en el mercado exterior, así como para mejorar las condiciones económicas y sociales de los campesinos y colonos productores de caña de azúcar.|
||El imparcial|México D.F.||1912|11||Historia de Morelos|||||Zapatistas, Yautepec, fraccionamiento, propiedad, fundición, tribunales, comisarias, avisos, teatro, correo|14 Zapatistas fueron ejecutados sumariamente en Yautepec. Una guarnición de 75 hombres estuvo resistiendo durante largas horas el ataque de 300 sublevados.|
