Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección/Tema|Edición|Tomo|Colección|Imprenta|Palabras Clave|Referencias|
Vazquez Santa Ana Higinio||Cuernavaca|México||1932|143|5.5x8 pulg|Historia de Morelos||||Talleres linotipográficos de la penitenciaria del Distrito Federal|Cuernavaca, fisionomía, catedral, palacio, borda, jardines, barrios, fiesta, grutas, gobernadores|Monografia de Cuernavaca|
Velasco Alfonso Luis||Geografía y estadística de la República Mexicana|México|Lorenzo García León|1895|140|6x9 pulg|Historia de Morelos|Tercera|||Tipografía T. González Sucesores|Estado, Morelos, geográfica, límites, población, orográfica, clima, habitantes, religión, idiomas, industria, comercio, comunicación, milicia, hacienda|Este pequeño y rico Estado, situado al sur del distrito federal, formó hasta 1868 el Tercer Distrito Militar del Estado de México, época en que sus habitantes solicitaron del Congreso de la Unión, con sobrada justicia, que su territorio fuese erigido en el Estado de la Federación, y así lo decretó el Supremo Poder Legislativo de la República Mexicana, en 16 de abril de 1869.|
Villafaña, M.S.A. Andres||Reseña para los excursionistas a la gruta de cacahuamilpa por el ingeniero de Minas |México||1922||6.5x8.5 pulg|Historia de Morelos||||Imprenta de la Secretaría de Gobernación|Gruta, Cacahuamilpa, geográfica, vías, comunicación, geología|La gruta de cacahuamilpa está situada en la barranca de Limotitla y bajo el cerro de La Corona, en jurisdicción de la municipalidad de tetipac, Distrito de Alarcón del Estado de Guerrero|
Villamil Tapia Enrique||Tepoztán en la Historia y Leyendas|Tepoztlán, Morelos||1963|26|5.5x7.5 pulg|Historia de Morelos||||Rojas|Tepoztlán, tepozteco, cerro, aguilas, leyendas, tepoztecas, |Historia y leyendas de Tepoztlán|
||Monografía del Estado de Morelos|México|Talleres de la Oficina de Publicaciones y propaganda|1934|70|9.5x7.5 pulg|Historia de Morelos||Único|||Morelos, geografía, meteorología, hidrología, agricultura, estadística, ruinas arqueológicas, Tepoztlan, Teopanzolco, Xochicalco, monumentos, población, censos, Cuautla, Jojutla, propiedad, salubridad, educación, pública, estado|Secretaria de agricultura y fomento, Dirección de población rural, terrenos nacionales y colonización, Instituto de Estudios Sociales |
||Constitución política del Estado Libre y Soberano de Morelos que reforma la del año de 1888|México||1930|36|6.5x4.5 pulg|Historia de Morelos||||Galas|Constitución, politica, soberania, independencia, territorio, gobierno, estado, Morelos, artículo, Estrada, capitulo, titulo, congreso, poder, ejecutivo, gobernador, judicial, secretaria, tribunal, hacienda, justicia, publica, administración, municipios, funcionarios, sufragio, |"Alcance al número de ""Morelos Nuevo"", Periódico Oficial del Estado de Morelos, correspondiente al 16 de noviembre de 1930 "|
||Reglamento de fraccionamientos urbanos en el  Estado|Cuernavaca, Morelos||1933|7|5.5x7.5 pulg|Historia de Morelos||||Impresiones Morelenses|Reglamento, Estado, Morelos, fraccionamientos, periodico, urbanos, gobernador, estrada, fraccion, transitorio|Estado libre y soberano de Morelos, alcance al periodico oficial numero 535 de fecha 26 de noviembre de 1933|
|Villamil Tapia Enrique|Altepeilhuitl Fiesta del pueblo||||20|5.5x7.5 pulg|Historia de Morelos|||||Fiesta, pueblo, leyendas, costumbres, tepoztécatl, carnaval, tepoztlán, chinelo, traje, tepozteco, nahuatl, bailes, brinco, barrios, comparsas, máscaras|"Existe la tradición de que la fiesta del carnaval que trajeron los españoles, se asimiló fácil y rápidamente con las tradicionales danzas de los indios cuyos bailarines aztecas y tlahuicas, con los que celebraban las grandes solemnidades de sus ritos paganos, que denominaban ""Los Axcatzitzintin"", que en castellano quiere decir ""brincar de gusto"". En cuyo baile se especializaron ciertos bailarines llamados chinelos."|
||Reglamento Autonomo de policia y buen gobierno |Jojutla de Juárez, Edo. de Morelos|H. Ayuntamiento de Jojutla de Juárez|1964|33|5.5x7.5 pulg|Historia de Morelos||||Ocampo|Territorial, autoridades, municipales, registro, civil, gobernación, policía, seguridad, pública, hacienda, educación, salubridad, rastro, obras, comercio, espectáculos, aguas, potables, jojutla, reglamento, |Reglamento autonomo de policia y buen gobierno de Jojutla de Juárez|
||Tepoztlán|||||||||||||
