Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Cole|George Douglas Howard||La organización política|||4a.||Trad. por Alfonso Reyes|México|Fondo de Cultura Económica|Colección Popular|7|1959|94 pp.||
Ortega y Medina|Juan A.||Estudios de tema mexicano|||Primera|||México|Secretaría de Educación Pública|SepSetentas|84|1973|191 pp.|Fts - Ilus|
Soustelle|Jacques||México, tierra india|||Primera||Trad. por Rodolfo Usigli|México|Secretaría de Educación Pública|SepSetentas|10|1971|296 pp.|Fts|
González Navarro|Moisés|et. al.|¿Ha muerto la revolución mexicana? Balance y epílogo|I||Primera||Trad. por Hector David Torres|México|Secretaría de Educación Pública|SepSetentas|22|1972|191 pp.||
González Navarro|Moisés|et. al.|¿Ha muerto la revolución mexicana? Balance y epílogo|II||Primera||Trad. por Hector David Torres|México|Secretaría de Educación Pública|SepSetentas|21|1972|203 pp.||
López Austin|Alfredo|et. al.|Un recorrido por la historia de México|||Primera|||México|Secretaría de Educación Pública|SepSetentas|200|1975|207 pp.|Mps - Fts - Ilus|
Kitzinger|Ernst||Israeli mosaics of the byzantine period|||Primera|||Estados Unidos|Mentor - UNESCO|||1965|24 pp.|Ilus - Fts|
Pallottino|Massimo||The etruscans|||Primera|||Gran Bretaña|Penguin Books|Pelican Books|A310|1956|295 pp.|Fts|
Molina|Ricardo||Córdoba. Guía turística. Fotos color y negro. Planos.|||4a.|||España|Noguer||5|1953|39 pp.|Fts - Ilus - Mps|
Ravelo Lecuona|Renato||La revolución zapatista de Guerrero|I||Primera|||México|Universidad Autónoma de Guerrero|||1990|447 pp.|Mps - Fts|
Nach|James||Alaska. The 49th state in pictures.|||Primera|||Estados Unidos|Sterling Publishing - The Oak Tree Press|Visual Geography Series||1958|64 pp.|Fts - Mps|
Castaneda|Carlos||El lado activo del infinito|||Primera|||Barcelona|Ediciones B - Millenium|||1999|16 pp.||
Mathé|Jean||The civilization of islam|||Primera||Trad. por David Macrae|Ginebra|Minerva - Crescent|||1980|164 pp.|Fts - Ilus|
Norton Leonard|Jonathan|et. al.|América precolombina|||2a.||Trad. por Eduardo Escalona|Países Bajos|Time-Life International|||1968|171 pp.|Fts - Mps - Ilus - Cuad|
VV.AA.|||Historia de México|III||Primera|||México|Salvat Editores de México|||1974|337 pp.|Fts - Mps - Ilus - Cuad|
VV.AA.|||Historia de México|VI||Primera|||México|Salvat Editores de México|||1974|338 pp.|Fts - Mps - Ilus - Cuad|
VV.AA.|||Historia de México|VII||Primera|||México|Salvat Editores de México|||1974|320 pp.|Fts - Mps - Ilus - Cuad|
VV.AA.|||Historia de México|IX||Primera|||México|Salvat Editores de México|||1974|300 pp.|Fts - Mps - Ilus - Cuad|
VV.AA.|||Historia de México|X||Primera|||México|Salvat Editores de México|||1974|338 pp.|Fts - Mps - Ilus - Cuad|
Burland|Cottie||The people of the ancient americas|||Primera|||Gran Bretaña|The Hamlyn Publishing Group|||1970|159 pp.|Fts - Mps|
Adams|Alexander B.||Geronimo. A biography.|||Primera|||Estados Unidos|Da Capo|||1971|381 pp.|Fts - Mps|
Fromm|Erich||Psicoanálisis de la sociedad contemporánea|||2a.|||México|Fondo de Cultura Económica|||1958|308 pp.||
Suárez|Luis||México: imagen de la ciudad|||Primera|||México|Fondo de Cultura Económica|Archivo del fondo|6|1974|110 pp.||
Villegas|Abelardo||Positivismo y porfirismo|||Primera|||México|Secretaría de Educación Pública|SepSetentas|40|1972|223 pp.||
Ferrer de Mendiolea|Gabriel||Presencia de don Francisco I. Madero y un apéndice documental|I||Primera|||México|Secretaría de Obras y Servicios|Colección METROpolitana|14|1973|118 pp.||
Cockcroft|James D.||Precursores intelectuales de la Revolución Mexicana|||Primera|||México|SEP Cultura - Siglo XXI - CONAFE|||1985|290 pp.||
Onueva|Antonio J.||Nueva guía completa del Museo del Prado|||Primera|||Madrid|Mayfe|||1965|271 p,|Mps - Fts|
Gallet|Michel||The Louvre|||Primera|||Francia|F. Hazan|Exclusivité Vilo||1966|79 pp.|Fts - Mps|
Maza|Francisco de la||Del neoclásico al art nouveau y primer viaje a Europa|||Primera|||México|Secretaría de Educación Pública|SepSetentas||1974|191 pp.|Ilus - Fts|
van Doesburg|Sebastián||Códices cuicatecos. Porfirio Díaz y Fernández Leal.|||Primera|||México|Gobierno del Estado de Oaxaca - Miguel Ángel Porrúa|||2001|231 pp.|Ilus - Cuad - Mps|
van Doesburg|Sebastián||Códices cuicatecos. Porfirio Díaz y Fernández Leal.|||Primera|||México|Gobierno del Estado de Oaxaca - Miguel Ángel Porrúa|||2001|70 pp.|Fts|
Uhde|Wilhelm||Van Gogh|||11a.|||Estados Unidos|Phaidon|||1972|15 pp.|Ilus|
Instituto Nacional de Estadística, Geografía e Inormática|||Avance de información económica. Industria maquiladora de exportación. Mayo, 1994.|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informática|||1994|29 pp.|Cuad|
Instituto Nacional de Estadística, Geografía e Inormática|||La frontera norte. Un panorama de la población y las viviendas. Resultados definitivos. XI Censo general de población y vivienda, 1990|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informática|||1993|38 pp.|Cuad|
Adis Castro|Gonzalo||Observaciones en pacientes del hospital psiquiátrico M.A. Chapui. Algunas características generales de la población de enfermos|||Primera|||Costa Rica|Junta de Protección Social|||1962|17 pp.|Cuad|
Muñoz|Rafael F.||Villa ataca Ciudad Juárez|||Primera|||México|Secretaría de Educación Pública|||1987|32 pp.|Ilus - Fts|
Partido Revolucionario Institucional|||Ideología revolucionaria. El camino de la Revolución Mexicana.|||Primera|||México|Partido Revolucionario Institucional|||1965|48 pp.||
Sindicato Nacional de los Trabajadores del Estado|||La defensa del patrimonio cultural.|||Primera|||México|Sindicato Nacional de los Trabajadores del Estado|||1983|116 pp.|Mps - Cuad|
Art Association of Indianapolis|||105 Paintings. John Herron Art Museum.|||Primera|||Estados Unidos|Art Association of Indianapolis, Indiana|||1951|114 pp.|Fts - Ilus|
