Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
González Pedrero|Enrique|et. al.|Los medios de comunicación de masas en México|||Primera|||México|Universidad Nacional Autónoma de México|||1969|175 pp.|Cuad|
Gamboa Carrera|Eduardo||El México desconocido, cien años después|||Primera|Primera||México|Instituto Nacional de Antropología e Historia|Divulgación||2000|105 pp.|Fts - Mps|
Wood|William A.||Periodismo electrónico|||Primera||Trad. por Andrés M. Mateo|México|Editorial Letras|||1969|159 pp.||
|||Medios de difusión masiva. Instrumento de penetración ideológica.|||Primera||||||||24 pp.||
|||Los refugiados guatemaltecos y los derechos humanos|||Primera|||Chiapas|Centro de Investigaciones y Estudios Superiores en Antropología Social|||1991|107 pp.|Ilus|
Van de Fliert|Lydia||Guía para pueblos indígenas|||Primera|||México|Comisión Nacional de Derechos Humanos|||1997|512 pp.||
Fix-Zamudio|Héctor||Protección jurídica de los derechos humanos. Estudios comparativos.|||2a.|||México|Comisión Nacional de Derechos Humanos|||1999|651 pp.||
Estrada Martínez|Rosa Isabel|Gabriela Vega Carrillo|Informe sobre el programa de atención a comunidades indígenas de la Sierra Tarahumara|||Primera|||México|Comisión Nacional de Derechos Humanos|||1993|75 pp.|Fts|
|||Guatemala. Crónica de las violaciones de derechos humanos.|||Primera|||Madrid|Amnistía Internacional||||231 pp.|Fts - Cuad - Mps|
|||Segundo informe sobre las violaciones a los derechos humanos de los trabajadores migratorios mexicanos en su tránsito hacia la frontera norte, al cruzarla y al internarse en la franja fronteriza sur norteamericana|||Primera|||México|Comisión Nacional de Derechos Humanos|||1996|203 pp.|Cuad|
Restrepo|Iván||Agua, salud y derechos humanos|||Primera|||México|Comisión Nacional de Derechos Humanos|||1995|409 pp.|Fts - Cuad - Mps|
González Cruz|Arnoldo|Martha Cuevas García|Canto versus canto. Manufactura de artefactos líticos en Chiapa de Corzo, Chiapas|||Primera|||México|CONACULTA - INAH|Científica||1998|281 pp.|Ilus - Fts - Cuad - Mps|
Lowe|Gareth W.||Los olmecas de San Isidro en Malpaso, Chiapas|||Primera|||México|CONACULTA - INAH - CHIMECH - UNAM|Científica||1998|96 pp.|Ilus - Fts|
Tovalín Ahumada|Alejandro||Desarrollo arquitectónico del sitio arqueológico de Tlalpizáhuac|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1998|203 pp.|Fts - Cuad - Mps|
Tiesler Blos|Vera||La costumbre de la deformación cefálica entre los antiguos mayas. Aspectos morfológicos y culturales.|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1998|229 pp.|Fts - Cuad|
