Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
||||Cien Años De Censos De Población|||||||INEGI||||75-250|Cuadros|
||||Population||||||United States|Census Burea|||2003|65|Cuadros|
Jáuregui|Jesús|||Un antropólogo estudia el mariachi||| |||México|INAH|||2001|39|Ilustraciones y Fotos|
Burguetev|Araceli|Xochitl Leyva|Cordinadoras|Nuevos Municipios en Chiapas||||||México|CIESAS|||2001|23|Fotos y Mapas|
P||||Producción Forestal de México VII Censo Agropecuario, 1991||||||México|INEGI|||1995|170|Mapas y Cuadros|
||||Analisis E Implementaciones Del Subsector Riego En México VII Censo Agropecuario, 1991||||||México|INEGI|||1994|97|Cuadros|
López Barajas |Ma. De la Paz |Haydea Izazola Conde||El Perfil Censal De Los Hogares y Las Familias En México||||||México|INEGI|||1994|87|Cuadros|
Hermitte|M. Esther|||Poder Sobrenatural y Control Social||||||México|Instituto indigena interamericano|||1970|177|Fotos   |
Piñera Ramírez|David|||Vivencias Universitarias|||||||Universidad Autónoma de  Baja California|||1987|231||
González |Guadalupe|Marta Tienda|Editores|The Grug Connection In U.S Mexican Relations||4||||San Diego|Center for U.S |||1989|137||
Parent |Peter|John W. Shy|Editores|Guerrillas in the 1960´s|||||||Center of Internacional Studies||1|1962|98||
Yocelevzky R.|Ricardo A.|||El Sistema Político Británico||||||México|UNAM|||1986|29||
Benítez Liboro |Asunción|||Los Paises De La Ansea Desarrollo Pólitico |||Primera|||México|UNAM|||1986|31||
Sáinz |Luis Ignacio|Fernando Escalante||Nuevas Tendencias Del Estado Contemporaneo||||||México|UNAM|||1986|27||
Zeraoui |Zindae|||Argelia-Libra: Islam y Socialismo||||||México|UNAM|||1986|21||
Musalem|Doris|||Arabia Saudita: Petroleo y Modernidad||||||México|UNAM|||1986|27||
Comas Juan |Santiago Genovés T.|||Paleontropología y Evolución Varia-1||||||México|UNAM||56|1959|47||
Howell|F. Clark|||Un Lugar Que Ocupa El Hombre De Neandertal En La Evolución Humana|||||Santiago Genóves Tarazaga|México|UNAM|||1960|62||
||||Anuario de Antropólogia ||||||México|Universidad Autonoma Metropolitana|||1989|202|Cuadros|
Huberman|Leo|||Los Bienes Terrenales Del Hombre|||doceava|||México|Nuestro Tiempo|||1980|378||
||||Censos Económicos 1994 Nuevo Leon ||||||México|INEGI|||1995|269|Cuadros|
||||Sonora Resultados Definitivos VII Censo Ejidal||||||México|INEGI|||1994|87|Cuadros|
||||Cabeceras Municipales de Bala California ||||||México|INEGI|||1993|23||
||||Censos Económicos 1994 Coahuila||||||México|INEGI|||1995|225|Cuadros|
||||Estadísticas del Medio Ambiente del Distrito Federal y Zona Metropolitana||||||México|INEGI|||1999|231|Cuadros|
||||Xochimilco Distrito Federal||||||México|INEGI|||1999|153|Cuadros|
López Gonzalez|Juan|||Peregrinación de Nuestros Antepasados|||||||César Meraz|||2003|227|Fotos|
Garrido |Luis Javier|||Radiografía del Fraude Análisis de los datos oficiales del 6 de julio|||Primera|||México|Nuestro Tiempo|||1988|153|Cuadros|
||||Censos Económicos 1994 Baja Califronia||||||México|INEGI|||1995|151|Cuadros|
||||Industria Maquiladora De Exportación||||||México|INEGI|||1999|66|Cuadros|
||||Finanzas Públicas Estatales y Municipales De México, 1989-1990||||||México|INEGI|||1993|189|Cuadros|
||||Resultados Definitivos Tabulados Básicos XI Censo General de Población y Vivienda, 1990|II|||||México|INEGI|||1993|1013|Cuadros|2
Burguete |Araceli|Leyva Xochitl|Coordinadoras|Nuevos Municipios de Chiapas ||||||México|CIESAS|||2001|23|Imágenes y Fotos|
||||Campeche Resultados Definitivos Datos por Localidad (Integracion territorial)||||||México|INEGI|||1991|124|Cuadros|
||||Tabascos Resultados Definitivos VII Censo Ejidal||||||México|INEGI|||1993|39|Cuadros|
||||Tapachula Estado de Chiapas Cuaderno Estadistico Municipal ||||||México|INEGI|||1994|111|Cuadros|
||||Censos Económicos Chiapas||||||México|INEGI|||1995|327|Cuadros|
||||Atlas Ejidal Del Estado de Sonora||||||México|INEGI|||1991|45|Cuadros|
||||Frontera Norte Resultados Definitivos Tabulados Básicos|I|||||México|INEGI|||1993|734|Cuadros|
||||Encuesta Nacional De Empleo En Zonas Indigenas ||||||México|INI|||1998|95|Cuadros|
||||Yucatan Resultados Definitivos Datos de Localidad ||||||México|INEGI|||1991|156|Cuadros|
||||Antropología de Mesoamerica||||||Washington DC|Union Panamericana|||1960|53||
Campos Ponce|Xavier|||Español Guia de Conversación Rumano||||||Bucuresti|Stiintifica|||1964|145||
Il Sung|Kim|||La Gran Causa Revolucionaria Antiimperiialista De Los Pueblos de Asia||||||Corea||||1968|22||
Il Sung|Kim|||Materialicemos Mas Cabalmente El Espíritu Revolucionario De Soberanía||||||Corea||||1967|97||
||||Información Básica del Serctor Agropecuario||||||México|INEGI|||1889|55|Mapas y Cuadros|
||||Compendio Estadístico-Gráfico De Migración, 1997||||||México|INEGI|||1889|86|Cuadros|
Comas |Juan|||La Evolución Humana||||||Puerto Rico|La Torre||17|1957|117||
||||Finanzas Públicas Estatales y Municipales de México, 1989-1990||||||México|INEGI|||1993|189|Cuadros|
||||Indutria Maquiladora De Exportación||||||México|INEGI|||1999|66|Cuadros|
||||Censos Económicos 1994 Campeche||||||México|INEGI|||1995|145|Cuadros|
||||Censos Económicos 1994 Chihuahua||||||México|INEGI|||1995|263|Cuadros|
Burrus, S.J|Ernest J|Jose Porrua Turanza|Editor|La Obra Cartográfica De La Provincia Mexicana De La Compañía De Jesus|II|||||Madrid|||||25-46|Mapas|
||||Programas de Actividades Culturales||||||México|UNAM|||2010|224||
