Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Aguirre|Ángel||Editor|Conceptos clave de la Antropología Cultural|||Primera|||Barcelona|DAIMON|||1982|254||
De la Serna|Dr. Jacinto|||Manual de los ministros de Indios|||Primera|||México|Museo Nacional de Antropología|||1892|480|Cuadros|
Pearson|Scott R.|Francisco Avillez et al||Portuguese Agriculture in Transition|||Primera|||Londres|Cornell University Press|||1987|283|Cuadros|
||||Rough Rocks School|||Primera|||Covina, California|Taylor Publishing Company|||1970|14|Fotos|
Comas|Juan|||Bibliografía Morfológica Humana de América del Sur|||Primera|||México|Ediciones Instituto Indigenista Interamericano|||1948|9|Mapas|
Gerhard|Peter|||Geografía Histórica de la Nueva España, 1519-1821|||Segunda|||México|UNAM|||2000|495||
Leal|Hector Ulises|||Desarrollo de la economía campesina|||Primera|||[San Cristobal de las Casas, Chiapas]|Centro de Investigaciones Ecológicas del Sureste|||1980|279|Cuadros |
Ponce |Antonio|||Energía nuclear en México|||Primera||||Sindicato único de trabajadores de la industria nuclear||8||64|Cuadros|
Velasco Toro|José|||Fuentes para la historia del Totonacapan, Veracruz|||Primera|||Xalapa, Veracruz|IIESES|||1985|22||
Auerbach|Charlotte|||Notas para un curso de introducción a la genética|||Tercera||Trad. Por Dr. A. L de Garay|México|Comisión Nacional de Energía Nuclear|||1961|45|Cuadros|
González Pineda|Francisco|||El Mexicano|||Segunda|||México|Editorial Pax-México|||1963|268||
Maritain|Jacques|||Los grados del saber|I||Primera||Trad. Por Alfredo Frossard|Buenos Aires|DEDEBEC|||1947|388||
Russoli|Franco|||Renaissance Painting|||Primera|||Amsterdam|Weidenfeld & Nicolson|||1962|176|Fotos|
Katz|Friedrich|||La servidumbre agraria en México en la época porfiriana|||Primera|1987|Trad. Por Antonieta Sánchez|México|Ediciones Era|||1976|115||
Maquet|Carlos|||Roma|||Primera|||Buenos Aires|Librería Hachette|||1947|187||
Somolinos D´ardois|German|||Historia de la psiquiatría en México|||Primera|||México, D.F|SEP|SepSetentas||1976|149||
Nolasco Armas|Margarita|||Seris, Yaquis y Tarahumaras|||Primera|||México|SEO-INAH|Colección Breve|6|1968|30|Fotos|
Nutini|Hugo G.|Barry L. Isaac||Los pueblos de habla nahuatl de la región de Tlaxcala y Puebla|||Primera||Trad. Por Antonieta S. M de Hope|México|INI|||1974|463|Fotos|
Cardoso de Oliveira|Roberto|||A sociologia do Brasil Indigena|||Primera|||Rio de Janeiro|Edicoes Tempo Brasileiro|||1972|149||
Goldmann|Lucien|||Las ciencias humanas y la filosofía|||Primera||Trad. Por Josefina Martínez Alibari|Buenos Aires|Ediciones Galatea Nueva Visión|||1958|120||
Thompson|Lucy|||To the American Indian|||Primera|||Berkeley, CA.|Heyday Books|||1916|292|Fotos|
