Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Barba de Piña Chán|Beatriz||Coordinadora|Iconografía mexicana II. El cielo, la tierra y el inframundo|||Primera|||México, D.F|INAH|Colección Científica||2000|334|Ilustraciones y Fotos|
González de la Vara|Fernán|||El valle de Toluca hasta la caída de Teotihuacan|||Primera|||México, D.F|INAH|Colección Científica||1999|280|Ilustraciones|
González Arraitia|Leticia|||La arqueología de Coahuila y sus fuentes bibliográficas|||Primera|||México, D.F|INAH|Colección Científica||1999|121||
Álvarez |Ticul|Aurelio Ocaña||Sinopsis de restos arqueozoológicos de vertebrados terrestres|||Primera|||México, D.F|INAH|Colección Científica||1999|108|Cuadros|
Alcántara Hewitt|Rebeca|||Un análisis crítico de la teoría de la restauración de Cesare Brandi|||Primera|||México, D.F|INAH|Colección Científica||2000|148||
Pastrana |Alejandro|||La explotación azteca de la obsidiana en la Sierra de las Navajas |||Primera|||México, D.F|INAH|Colección Científica||1998|282|Ilustraciones y cuadros|
Del Olmo Frese|Alma|||Análisis de la ofrenda 98 en el Templo Mayor de Tenochtitlán|||Primera|||México, D.F|INAH|Colección Científica||1999|233|Ilustraciones, fotos y cuadros |
Reyna Robles|Rosa Ma.|Lauro González Quintero||Rescate arqueológico de un espacio funerario de época olmeca en Chilpancingo, Guerrero|||Primera|||México, D.F|INAH|Colección Científica||1998|143|Ilustraciones, fotos y cuadros |
||||Conservación del patrimonio monumental|||Segunda|||México, D.F|ICOMOS Mexicano|Colección Fuentes||2000|145||
León de Leal|Magdalena|||Mujer y Capitalismo Agrario|||Primera|||Bogotá, Colombia|ACEP|||1980|295|Cuadros|
Rendón|Teresa|Marcedes Pedrero||La mujer trabajadora|||Primera|||México|Secretaría de Trabajo y previsión social|Cuadernos de trabajo||1975|39|Cuadros|
Lingner|Joan W.|||A handbook for population analysis. Part B: Reference Tables|||Primera|||USA|POPLAB|||1974|61|Cuadros|
Sauvy|Alfred|||La población |||Segunda||Trad. Por Juan Carlos Larralde|Buenos Aires|EUDEBA|Colección Cuadernos|28|1960|63|Cuadros|
Mortensen|C.David|||Comunicación: El sistema socio-cultural|||Segunda||Trad. Por Mario Giacchino|Buenos Aires|Ediciones Tres Tiempos|Colección ensayos 11||1978|144|Cuadros e ilustraciones|
Moreno Jaramillo|Francisco|Hugo Martínez Moctezuma||Periódico Mural|||Primera|||México|IMSS|||1970|97|Cuadros e ilustraciones|
Valdés Suárez|Pedro|||Crecimiento de población y economía|||Primera|||La Habana, Cuba|Editorial de Ciencias de Sociales|||1980|77|Cuadros|
||||Demografía y economía||VIII|Primera|||México, D.F|Colegio de México||24|1974|417|Cuadros|
||||La ayuda alimentaria y el papel de la mujer en el desarrollo|||Primera|1983||Italia|FAO|||1976|47|Fotos|
||||Primer simposio Mexicano-Centroamericano de Investigación sobre la Mujer||||||México|UNAM-El Colegio de México||||73|Cuadro|
Llamas Jímenez |María del Refugio|Dolores Castro de Peñaloza et al||Mujer: La mitad oscura de la vida|||Primera|||México, D.F|Editorial Game|||1975|61|Ilustraciones|
Alonso H.|José A.|||Movimientos populares contemporáneos en centroamérica y el caribe|||Primera|||México, D.F|Universidad Autónoma Metropolitana||48|1980|30||
||||Informe presentado a la décimaséptima reunión de la comisión de la condición jurídica y social de la mujer de las naciones unidas|||Primera|||Washington, D.C|Organización de los Estados Americanos|||1963|38||
||||Brevario Sociodemográfico de la mujer||||||México|Secretaría de Gobernación|||1983|60|Cuadros|
Liebert|Robert M.|John M. Neale  et al||La TV y los niños|||Primera||Trad. Por Roser Berdagé|Barcelona|Editorial Fontanella|||1976|309|Ilustraciones|
Tope Lara |Hilario|Leif Korsbaek  et al|Editores|La organización social y el ceremonial|||Primera|||México, D.F|MC EDITORES|||2005|303|Cuadros|
Ramiro Beltrán|Luis|Elizabeth Fox Cardona||Comuncacion dominada. Estados Unidos en los medios de América Latina|||Primera|||México, D.F|ILET-Nueva Imagen|||1980|176||
Gattegno|Caleb|||Hacia una cultura visual|||Primera||Trad. Por Sergio Fernández Bravo|México, D.F|SEP|Sepsetentas|102|1973|159||
Enciso Rojas|Dolores|Jorge René González Marmolejo et al||Senderos de Palabras y Silencios. Formas de comunicación en la Nueva España|||Primera|||México, D.F|INAH|||2000|134||
Brie|Sonja|||Sobre los nexos existentes entre los medios de difusión masiva y los receptores|||Primera|||Stgo, Cuba|Editorial Oriente|||1980|75||
González A.|Jorge||Compilador|La cofradía de las emociones (in)terminables. Mirada sobre las telenovelas en México|||Primera|||Guadalajara, Jalisco|Universidad de Guadalajara|||1998|383|Cuadros e ilustraciones|
Mejía Banquera|Fernando|Florence Toussaint||Televisa. El quinto poder.|||Tercera|1985||México, D.F|Claves Latinoamericanas |||1988|237|Cuadros|
Prieto|Francisco|||Cultura y comunicación|||Segunda|||México|Premiá Editora|||1985|91||
