Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Camou Healy|Ernesto|||Potreros, vegas y mahuechis|||Primera|||Sonora|Gobierno del Estado de Sonora|||1991|472|Cuadros|
Ruvalcaba|Jesús|Graciela Alcalá|Coordinadores|Huasteca III. Movilizaciones Campesinas|III||Primera|||México, D.F|CIESAS|||1993|153||
Ruvalcaba|Jesús|Graciela Alcalá|Coordinadores|Huasteca II. Prácticas agrícolas y medicina tradicional|II||Primera|||México, D.F|CIESAS|||1993|211|Cuadro|
Ruvalcaba|Jesús|Graciela Alcalá|Coordinadores|Huasteca I. Espacio y tiempo Mujer y trabajo|I||Primera|||México, D.F|CIESAS|||1993|198||
De la Peña|Guillermo||Compilador|Antropología social de la región purépecha|||Primera|||Zamora, Michoacán|El Colegio de Michoacán|||1987|231||
Marcuse |Herbert|||Cultura y sociedad|||Cuarta||Trad. Por E. Bulyygin y E. Garzón Valdés|Buenos Aires|Editorial Sur|||1969|126||
Jaulin|Robert||Compilador|El etnocidio a gravés de las américas|||Primera||Trad. Por María Dolores de la Peña|México, D.F|Siglo XXI Editores|||1976|365|Cuadro|
Pitcharch Ramón|Pedro|||Ch´ulel: Una etnografía de las almas tzeltales|||Primera|||México, D.F|Fondo de Cultura Económica|||1996|274||
Ramírez Castañeda|Elisa|||El fin de los montiocs|||Primera|||México, D.F|INAH|Colección Divulgación ||1987|286||
Neff|Francoise|||El rayo y el arcoiris|||Primera|||México, D.F|INI|||1994|119||
Ramírez Aznar|Luis A.|||PUUC Testimonios del pueblo maya|||Primera|||Yucatán, México|Maldonado Editores|Colección Voces de Yucatán|15|1983|107|Fotos|
Abreu Gómez|Ermilo|||La conjura de Xinum|||Primera|||Yucatán, México|Maldonado Editores|Colección Voces de Yucatán|2|1983|107||
Llanes Marín|Elmer|||Los niños mayas de Yucatán|||Primera|||Yucatán, México|Maldonado Editores|Colección Voces de Yucatán|1|1983|64|Ilustraciones|
VelascoToro|José|||Los Yaquis: historia de una activa resistencia|||Primera|||Xalapa, Veracruz|Universidad Veracruzana|||1988|84|Cuadros|
Espín Díaz |Jaime L.|||Tierra Fría: Tierra de conflictos en Michoacán|||Primera|||Zamora, Michoacán|El Colegio de Michoacán|||1986|263|Cuadros|
||||Pueblos Indígenas de México. Huaves|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Huastecos de Veracruz|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Huastecos de San Luis Potosí|||Primera|||México, D.F|INI|||1993|24|Mapa y fotos|
||||Pueblos Indígenas de México. Guarijíos|||Primera|||México, D.F|INI|||1994|26|Mapa y fotos|
||||Pueblos Indígenas de México. Coras|||Primera|||México, D.F|INI|||1994|22|Mapa y fotos|
||||Pueblos Indígenas de México. Chontales de Tabasco|||Primera|||México, D.F|INI|||1993|21|Mapa y fotos|
||||Pueblos Indígenas de México. Chontales de los Altos de Oaxaca|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Chochos|||Primera|||México, D.F|INI|||1994|20|Mapa y fotos|
||||Pueblos Indígenas de México. Chinantecos|||Primera|||México, D.F|INI|||1994|23|Mapa y fotos|
||||Pueblos Indígenas de México. Chichimeca Jonaz|||Primera|||México, D.F|INI|||1994|22|Mapa y fotos|
||||Pueblos Indígenas de México. Chatinos|||Primera|||México, D.F|INI|||1994|23|Mapa y fotos|
||||Pueblos Indígenas de México. Amuzgos de Oaxaca|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Tomíes del Valle de Mezquital|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Otomíes del Estado de México|||Primera|||México, D.F|INI|||1994|22|Mapa y fotos|
||||Pueblos Indígenas de México. Nahuas de la Sierra Norte de Puebla|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Nahuas de la Huasteca veracruzana|||Primera|||México, D.F|INI|||1994|26|Mapa y fotos|
||||Pueblos Indígenas de México. Nahuas de Guerrero|||Primera|||México, D.F|INI|||1994|28|Mapa y fotos|
||||Pueblos Indígenas de México. Nahuas de Morelos|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Nahuas de Milpa Alta|||Primera|||México, D.F|INI|||1995|22|Mapa y fotos|
||||Pueblos Indígenas de México. Mochós|||Primera|||México, D.F|INI|||1994|19|Mapa y fotos|
||||Pueblos Indígenas de México. Mixtecos|||Primera|||México, D.F|INI|||1994|26|Mapa y fotos|
||||Pueblos Indígenas de México. Mixes|||Primera|||México, D.F|INI|||1995|22|Mapa y fotos|
||||Pueblos Indígenas de México. Mexicaneros|||Primera|||México, D.F|INI|||1994|22|Mapa y fotos|
||||Pueblos Indígenas de México. Mazatecos|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Mazahuas|||Primera|||México, D.F|INI|||1994|22|Mapa y fotos|
||||Pueblos Indígenas de México. Mayos|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Mayas de la Península de Yucatán|||Primera|||México, D.F|INI|||1994|27|Mapa y fotos|
