Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
||||Pueblos Indígenas de México. Matlatzincas|||Primera|||México, D.F|INI|||1995|22|Mapa y fotos|
||||Pueblos Indígenas de México. Mames|||Primera|||México, D.F|INI|||1994|26|Mapa y fotos|
||||Pueblos Indígenas de México. Lacandones|||Primera|||México, D.F|INI|||1994|21|Mapa y fotos|
||||Pueblos Indígenas de México. Kikapúes|||Primera|||México, D.F|INI|||1993|24|Mapa y fotos|
||||Pueblos Indígenas de México. Indígenas en la Selva Lacandona nuevos asentamientos|||Primera|||México, D.F|INI|||1995|21|Mapa y fotos|
||||Pueblos Indígenas de México. Zapotecos de la Sierra Norte de Oaxaca|||Primera|||México, D.F|INI|||1994|22|Mapa y fotos|
||||Pueblos Indígenas de México. Zapotecos de los Valles Centrales|||Primera|||México, D.F|INI|||1994|23|Mapa y fotos|
||||Pueblos Indígenas de México. Zapotecos del istmo de Tehuantepec|||Primera|||México, D.F|INI|||1993|24|Mapa y fotos|
||||Pueblos Indígenas de México. Yaquis|||Primera|||México, D.F|INI|||1995|22|Mapa y fotos|
||||Pueblos Indígenas de México. Tzotziles y Zeltales|||Primera|||México, D.F|INI|||1994|31|Mapa y fotos|
||||Pueblos Indígenas de México. Triquis|||Primera|||México, D.F|INI|||1994|23|Mapa y fotos|
||||Pueblos Indígenas de México. Totonacos|||Primera|||México, D.F|INI|||1994|26|Mapa y fotos|
||||Pueblos Indígenas de México. Tojolabales|||Primera|||México, D.F|INI|||1993|23|Mapa y fotos|
||||Pueblos Indígenas de México. Tlapanecos|||Primera|||México, D.F|INI|||1993|24|Mapa y fotos|
||||Pueblos Indígenas de México. Tepehuanes del Sur|||Primera|||México, D.F|INI|||1994|23|Mapa y fotos|
||||Pueblos Indígenas de México. Tepehuanes del Norte|||Primera|||México, D.F|INI|||1995|22|Mapa y fotos|
||||Pueblos Indígenas de México. Tarahuamaras|||Primera|||México, D.F|INI|||1994|26|Mapa y fotos|
||||Pueblos Indígenas de México. Seris|||Primera|||México, D.F|INI|||1993|24|Mapa y fotos|
||||Pueblos Indígenas de México. Purépechas|||Primera|||México, D.F|INI|||1994|25|Mapa y fotos|
||||Pueblos Indígenas de México. Popolucas|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Pimas|||Primera|||México, D.F|INI|||1994|26|Mapa y fotos|
||||Pueblos Indígenas de México. Pápagos|||Primera|||México, D.F|INI|||1994|24|Mapa y fotos|
||||Pueblos Indígenas de México. Pames de Querétaro|||Primera|||México, D.F|INI|||1994|28|Mapa y fotos|
||||Pueblos Indígenas de México. Pames de San Luis Potosí|||Primera|||México, D.F|INI|||1994|23|Mapa y fotos|
Mariátegui|José Carlos|||Siete Ensayos de interpretación de la realidad peruana|||Primera|||México, D.F|Ediciones Era|||1979|342||
Briseño Guerrero Juan||||Aquí nomás… aquí somos. Reproducción de la organización comunal de Ocui|||Primera|||México, D.F|CIESAS|||1994|232||
Hanke|Lewis|||Aristotle and the American Indias|||Primera|||Londres|Indian University Press|||1959|164|Ilustraciones|
Bonfil Batalla|Guillermo|||Utopía y revolución |||Primera|||México, D.F|Editorial Nueva Imagen|||1981|439|Cuadro|
Mangin|William|||Las comunidades alteñas|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1967|146|Fotos|
Buitron|Anibal|||Cómo llegó el proceso a Huagrapampa|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1966|121||
Constantino|Sotero|||Foto Estudio Jiménez|||Primera|||México, D.F|Ediciones Era|||1983|93|Fotos|
Zárate Miguel|Guadalupe|||México y la diáspora judía|||Primera|||México, D.F|INAH|Colección Divulgación ||1986|189||
Roa Bastos|Augusto||Compilador|Las culturas condenadas|||Primera|||México, D.F|Siglo XXI Editores|||1978|349||
Rafael Cabarrús |Carlos|||Génesis de una revolución|||Primera|||México, D.F|CIESAS|||1983|411|Cuadros|
Cruz Hernández|Modesta|||Los usos de la madera entre los amuzgos |||Primera|||México, D.F|CIESAS|||1993|269|Cuadros e ilustraciones|
Zárate Hernández|Eduardo|||Los señores de utopía|||Primera|||Zamora, Michoacán|CIESAS-El Colegio de Michoacán|||1993|268|Cuadros|
Beltrán|Aguirre|Villa Rojas et al||El Indigenismo en Acción|||Primera|||México, D.F|INI|||1976|270||
Solc |Vaclav|||Los aymaras de las islas|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1969|194[26]|Fotos|
Icaza|Jorge|||Huasipungo|||Primera|||Barcelona, España|Plaza & Janes Editores|||1979|188||
Cezar Melatti|Julio|||Los Indios del Brasil|||Primera||Trad. Por Carmen Viqueira de Palerm|México, D.F|SEP|SepSetentas |60|1973|281|Fotos|
||||Actas Finales de los tres primeros congresos Indigenistas Interamericanos|||Primera|||Ciudad de Guatemala|Congreso Indigenista Interamericano|||1959|205||
||||Definición de Género Humano|||Primera||Trad. Por Juan Comas|México|INAH|||1968|129|Cuadros|
Briseño Guerrero|Juan|||¿Cuántos muertos más quieren?|||Primera|||México, D.F|CIESAS|||1994|114||
Castañeda Paganini|Ricardo|||La cultura tolteca-pipil de Guatemala|||Primera|||Guatemala|"Editorial ""José de Pineda Ibarra"""|||1959|99|Fotos|
||||Los selvícolas en marcha|||Primera|||Lima, Perú|Ministerio de Educación Pública de Perú|||1959|92|Fotos|
Whitecotton|Joseph W.|||Los Zapotecos|||Primera|1992|Trad. Por Stella Mastrangelo|México, D.F|Fondo de Cultura Económica|||1985|383|Cuadros, fotos e ilustraciones|
Friede |Juan|||Los andaki|||Primera|||México, D.F|Fondo de Cultura Económica|||1953|304|Mapas|
García |Antonio|||La Legislación Indigenista de Colombia|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1952|88|Ilustraciones|
Alvarado García|Ernesto|||Legislación Indigenista de Honduras|||Primera|||México, D.F|Instituto Indigenista Interamericano||35|1958|97||
Flury|Lázaro|||Legislación Indigenista de Argentina|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1957|42||
Comas |Juan|||Principales Aportaciones Indígenas Precolombinas a la Cultura Universal|||Primera|||México|Instituto Indigenista Interamericano|||1957|54|Ilustraciones|
Alavaro |Jara|||Legislación Indigenista de Chile|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1956|124||
||||Geografía|||Segunda|||La Habana, Cuba|Pueblo y educación|||1972|71|Ilustraciones y fotos|
Fernández García |Darío||Editor|Directorio de Profesionistas |||Primera|||México, D.F|Ediciones Ferdez|||1965-66|24|Fotos|
Frisius|G.|G. Arsenius||Sobre el astrolabio |||Primera|||México, D.F|INAH-SEP|Colecciones de los museos||1976|23|Iustraciones y fotos|
Mazzoleni|Gilberto|||I buffoni sacri d´america |||Primera|||Roma|Bulzoni Editore|||1973|135|Mapas|
||||Foro de discusión de la propuesta de reforma constitucional para reconocer los derchos culturales de los pueblos indígenas de México|||Primera|||México|CONACULTA-INAH|||1989|85||
Aguilar|Íñigo|||El problema de la educación Indígena|I||Primera|||México, D.F|INAH|||1991|237|Cuadros|
||||Soviet Studies in ethnography|||Primera|||Moscú|Social Sciences Today|||1978|243||
||||Acta final del séptimo Congreso Indigenista Interamericano|||Primera|||Brasilia, Brasil|Instituto Indigenista Interamericano|||1972|40||
||||Acta final del séptimo Congreso Indigenista Interamericano|||Primera|||Quito, Ecuador |Instituto Indigenista Interamericano|||1964|53||
Rodríguez |Nemesio J.|Stefano Varese||El pensamiento indígena contemporánea |||Primera|||México, D.F|SEP|||1981|183||
Rosenblat|Ángel|||La población indígena y el mestizaje en América|II||Primera|||Buenos Aires|Editorial Nova|||1954|188|Fotos|
Rosenblat|Ángel|||La población indígena y el mestizaje en América|I||Primera|||Buenos Aires|Editorial Nova|||1954|324|Cuadros e ilustraciones|
Holland|William R.|||Medicina Maya en Los Altos de Chiapas|||Primera||Trad. Por Daniel Cazes|México, D.F|INI|Colección de Antropología Social||1963|321|Ilustraciones y fotos|
Gómez Hernández|Tomás|||Tuxtepec ante la historia|||Primera|||México, D.F|CONACULTA-Club Rotario de Tuxtepec|||1989|186|Cuadros y fotos|
||||Program of the history of american indians|||Primera|||Washington, D.C|Pan American Union|||1958|68||
Esteva-Fabregat|Claudio|||Sistemas de tranajo en la América Indígena|||Primera|||Quito, Ecuador |Ediciones Abya-Yala||13|1994|387|Cuadros|
Mac-Lean y Estenos|Roberto|||Presencia del Indio en América|||Primera|||México, D.F|Universidad Nacional|||1958|273||
Rodríguez|Nemesio J.|||Experiencias organizativas indígenas en América Latina|||Primera|||México, D.F|SEP|||1981|168||
Collier|John|||Los Indios de Las Américas|||Primera|||México, D.F|Fondo de Cultura Económica|||1960|301|Fotos|
Marroquín|Alejandro|||La ciudad mercado|||Primera|||México, D.F|UNAM||19|1957|274||
Borricaud|Francois|||Cambios en Puno|||Primera|||México, D.F|Instituto Indigenista Interamericano||48|1967|257||
Ríos M.|Manuel||Compilador|Los zapotecos de la Sierra Norte de Oaxaca|||Primera|||Oaxaca, Oax.|CIESAS|||1994|271|Cuadros e ilustraciones|
De la Torre Yarza|Rodrigo|||Chiapas: entre la Torre de Babel y la lengua nacional|||Primera|||México, D.F|CIESAS|||1994|147|Cuadros|
Smith|E.B||Compilador|[Indian tribal Claims]|||Primera|||Washington, D.C|University Publications of America|||1947|[5]|Foto e ilustraciones|
||||Nebraska|||Primera|||Lincoln, Nebraska|University of Nebraska Press|||1977|19|Ilustraciones|
||||Indian and Eskimo Children|||Primera|||Washington, D.C|U.S Government|||1996|48|Fotos|
||||Office Procedures Manual|||Primera|||Tucson, Arizona|University of Arizona|||1974|73|Cuadros|2
Weaver|Thomas|Theodore E. Downing et al||Summary of the tribal managment procedures study|||Primera|||Tucson, Arizona|University of Arizona|||1974|18||
Curriden|Nancy|||Tribal managment procedures study of the Payson Tonto-Apachereservation|||Primera|||Tucson, Arizona|University of Arizona|||1974|28||
Newmark|Sanford C.|||Tribal managment procedures of the Cocopah reservation|||Primera|||Tucson, Arizona|University of Arizona|||1974|23||
Ruppert|David E.|||Tribal managment procedures study of the Havasupai reservation|||Primera|||Tucson, Arizona|University of Arizona|||1974|51|Cuadros|
Dajevski|Peteris|||Tribal managment procedures study of the Hualapai Reservation|||Primera|||Tucson, Arizona|University of Arizona|||1974|49|Cuadros|
Hugues Gartell|Ruth|||Tribal managment procedures study of the Camp Verde Yavapai-Apache Reservation|||Primera|||Tucson, Arizona|University of Arizona|||1974|72||
Villegas|Olivia A.|||Tribal managment procedures of the Ak Chin Reservation|||Primera|||Tucson, Arizona|University of Arizona|||1974|41|Cuadros|
Mudgett|Carol A.|||Tribal managment procedures study of the Ft. Mcdowell Mohave-Apache Reservation|||Primera|||Tucson, Arizona|University of Arizona|||1974|30||
Romano |Arturo |||Estudio morfológico de la deformación craneana en Tamuin, S.L.P. y en la Isla del Ídolo, Ver.|||Primera|||México|INAH||10|1965|71|Cuadros y fotos|
Ferre D´amare|Ricardo |||El antropogeno de Siberia y el hombre americano|||Primera|||México|INAH||8|1965|97|Ilustraciones y Cuadros|
Moore|Ruth|||Evolución |||Primera||Trad. Por Carmelo Saavedra|Nederland|Time Inc.|Life Colección Popular||1969|127|Cuadros, fotos e ilustraciones|
Moctezuma Yano|Patricia|||Artesanos y artesanías frente a la globalización: Zipiajo, Patamban y Tonalá|||Primera|||Zamora, Michoacán|El Colegio de Michoacán|||2002|237|Cuadros y mapa|
Moctezuma Yano|Patricia|Juan Carlos Ruiz Guadalajara et al||Guanajuato: aportaciones recientes para su estudio|||Primera|||Guanajuato, Guanajuato.|CICSUG|||2004|526|Cuadros|
Peterson Royce|Anya|||Prestigio y Afiliación en una Comunidad Urbana: Juchitán, Oaxaca|||Primera||Trad. Por Carlos Guerrero|México, D.F|INI|||1975|221||
Molina Ludy|Virginia|||Los indios de Veracruz|||Primera|||Xalapa, Veracruz|Gobierno del Estado de Veracruz|Colección Bicentenario||1992|195|Cuadros y mapas|
||||Indicadores activides científicas y tecnológicas |||Primera|||México, D.F|SEP-CONACYT|||1991|101[15]|Cuadros y gráficas|
Gamow|G.|||En el país de las maravillas Relatividad y cuantos|||Segunda||Trad. Por Juan Almela Castell|México, D.F|Fondo de Cultura Económica|||1965|116|Ilustración|
Hagan|William T.|||American Indians |||Primera|||Chicago|University of Chicago Press|||1961|190|Fotos|
