Apellido del autor|Nombre del autor|Segundo Autor, nombre y apellido|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número|Año|Num de paginas|Ilustraciones, fotos, mapas |Cantidad
Calaforra |Gabriel|||República popular de Mongolia|||Primera|||Cuba|Editorial gente nueva|||1980|107|Fotos|
Swadesh|Mauricio|||Mapas de clasificación lingüística de México y las Américas|||Primera|||México|UNAM|||1959|36|Mapas|
Caso |Alfonso|Manuel German Parra|Prologo/ Introducción|Densidad de la pablación de habla indigena en la republica Mexicana||1|Primera|||México|Intituto Nacional Indigenista|||1950|75|Mapas|
Chomsky|Noam|||El lenguaje y el entendimiento|||Primera||||Planeta-Agostini, S.A.|||1992|317||
Celorio Blasco|Eduardo|||Guía para el promotor castellanizador |||Primera|||México|Instituto de investigación social del estado de Oaxaca|||1973|61|Ilustraciones |
Wallis |Emilia|||Alfabeto otomi|||Segunda |||México|Instituto de alfabetización para indígenas monolingues|||1954|23|Ilustraciones|
Wallis |Emilia|||Cuentos otomies|||Primera|||México|Instituto de alfabetización para indígenas monolingues|||1955|19|Ilustraciones|
Wallis |Emilia|||Mi primer libro en otomi|||Primera|||México|Instituto de alfabetización para indígenas monolingues|||1953|45|Ilustraciones|
Medina Pérez |Alberto|||Juchari uandakuecha|||Primera|||México|Instituto Nacional Indigenista ||||40|Ilustraciones|
Medina Pérez |Alberto|||Parte cartilla purépecha|||Primera|||México|Instituto Nacional Indigenista |||1966|57|Ilustraciones|
Villafuerte Solís|Daniel|||El café frontera sur|||Segunda |||México|Universidad de Ciencias y Arte de Chiapas|||2000|175||
Vázquez|Josefina Zoraida|Lorenzo Meyer||México frente a Estados Unidos|||Segunda |1992||México|Fondo de Cultura Económica|||1989|247||
Sierra|Carlos J.|||Los indios de la frontera|||Primera|||México|Ediciones de la Muralla|||1980|113|Fotos y mapas|
Ramírez Acosta|Ramón de Jesús||Compilador|Temas sobre México y su frontera norte|||Primera|||México|Universidad Autonoma de Baja California|||1991|199||
Teran|Cuauhtemoc L.|||Jesús García - Heroe de Nacozari|||Segunda |||México|Artes Gráficas y Editoriales Yescas, S.A.|||2000|170|Fotos y mapas|
Zorrilla|Juan Fidel|Maribel Miró y Octavio Herrera Pérez|Compiladores|Tamaulipas textos de su historia 1810-1921|||Primera|||México|Instituto de Investigaciones Dr. José María Mora|||1990|382||
Bartolomé|Miguel A.||Coordinador|Visiones de la diversidad ||II|Primera|||México|INAH|||2005|371||
Barabas|Alicia|||Utopías indias- Movimientos sociorreligiosos en México|||Tercera|||México|CONACULTA- INAH|||2002|282||
