Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Ruz|Mario Humberto||Memoria eclesial guatemalteca. Cisitas pastorales|I||Primera|||México|Arzobispado primado de Guatemala - Universidad Nacional Autónoma de México - Consejo Nacional de Ciencia y Tecnología|||2002|492 pp.|Mps|
Ruz|Mario Humberto||Memoria eclesial guatemalteca. Cisitas pastorales|II||Primera|||México|Arzobispado primado de Guatemala - Universidad Nacional Autónoma de México - Consejo Nacional de Ciencia y Tecnología|||2002|492 pp.|Mps|
|||América 92. Raízes e trajetórias.|||Primera|||Brasil|Jornal Da Tarde|||1992|231 pp.||
Basauri|Carlos||La población indígena de México|II||Primera|||México|Secretaría de Educación Pública|Etnografía||1940|568 pp.|Fts|
Bonfil Batalla|Guillermo||Diagnóstico sobre el hambre en Sudzal, Yucatán|||2a.|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Universidad Autónoma Metropolitana - Universidad Iberoamericana|Clásicos y contemporáneos en antropología|1|2006|244 pp.|Ilus - Cuad - Mps|
Vogel|Susana||Chiapas. Historia, arqueología, tradiciones.|||Primera|||México|Monclem Ediciones|||1997|47 pp.|Fts - Mps|
Brunhouse|Robert L.||En busca de los mayas. Los primeros arqueólogos.|||Primera|2a.|Trad. Por Jorge Ferreiro|México|Fondo de Cultura Económica|||2000|219 pp.|Fts|
Taipe Campos|Nestor Godofredo||Dos soles y lluvia de fuego en los Andes: estudio de los valores sociales en los mitos andinos.|||Primera|||México|Escuela Nacional de Antropología e Historia - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||2000|259 pp.|Cuad - Mps|
Sánchez Novelo|Faulo||Yucatán durante la intervención francesa|||Primera|||México|Maldonado Editores|Voces de Yucatán|6|1983|163 pp.||
Tax|Sol||The setting of the science of man|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||8 pp.||
Geertz|Clifford||The transition to humanity|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||10 pp.||
Clark Howell|F.||The hominization process|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||9 pp.||
Livingstone|Frank B.||Human populations|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||10 pp.||
Sahlins|Marshall D.||Culture and environment: the study of cultural ecology|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||9 pp.||
Nader|Laura||Field work|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||10 pp.||
Wolf|Eric R.||The study of evolution|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||9 pp.||
Nash|Manning||The organization of economic life|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||8 pp.||
Fallers|Lloyd||Equality and inequality in human societies|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||9 pp.||
Fried|Morton H.||Anthropology and the study of politics|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||8 pp.||
Bruner|Edward M.||Culture and personality|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||8 pp.||
Merriam|Alan P.||The arts and anthropology|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||10 pp.||
Hymes|Dell H.||A perspective for linguistic anthropology|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||12 pp.||
Norbeck|Edward||The study of religions|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||9 pp.||
Bohannan|Paul||Anthropology and the law|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||7 pp.||
Polgar|Steven||Evolution and the ills of mankind|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||10 pp.||
Tax|Sol||Summary: the uses of anthropology|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||9 pp.||
Gibbs, Jr.|James L.||Social organizational studies in american anthropology|||Primera|||Washington, D.C.|The Voice of America|Forum lectures|||9 pp.||
