Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Diaduik|Alicia||Viajeras anglosajonas en México|||Primera|||México|Secretaría de Educación Pública|SepSetentas|62|1973|205 pp.||
Poniatowska|Elena||Hasta no verte, Jesús mío|||2a.|||México|Ediciones Era|||1970|315 pp.||
Guarch|J.M.|R. Payares|Excavación en el caney del castillo|||Primera|||La Habana [Cuba]|Academia de Ciencias de la República de Cuba|||1964|35 pp.|Ilus - Cuad - Mps|
Martínez Marín|Carlos||Los aztecas|||Primera|||México|Instituto Nacional de Antropología e Historia|||1965|34 pp.|Ilus - Fts|
Saenz|Adela F. de|Carlos Melendez Ch.|Nueva historia de Costa Rica|||2a.|||Costa Rica|Las Américas|||1972|258 pp.|Ilus|
Griffin|James B.||United States and Canada|||Primera|||México|Instituto Panamericano de Geografía e Historia - Editorial Fournier|Comisión de historia|52|1953|104 pp.||
Benedetti|Mario|et. al.|Nuestra américa frente al V centenario|||Primera|||Colombia|El Búho|||1990|229 pp.|Ilus|
Lehmann|Henri||Las culturas precolombinas|||Primera||Trad. por Mariana Payró de Bonfanti|Argentina|Editorial Universitaria de Buenos Aires|||1960|134 pp.|Ilus - Mps|
Toussaint Ribot|Mónica||Guatemala|||Primera|||México|Instituto de Investigaciones Dr. José María Luis Mora - Universidad de Guadalajara - Alianza Editorial Mexicana|Centroamérica y el caribe - una historia breve||1988|166 pp.||
Pritchard|James B.||La arqueología y el antiguo testamento|||Primera||Trad. por Guillermo Koehle|Argentina|Editorial Universitaria de Buenos Aires|||1962|308 pp.|Ilus - Fts - Mps|
Hinton|Thomas B.||A survey of indian assimilation in eastern Sonora|||Primera|||Tucson|University of Arizona|Anthropological Papers|4|1959|32 pp.|Fts - Mps|
Rodríguez Lamus|Luis Raúl|Vidal Antonio Rozo|Banco popular Museo Arqueológico. Casa del marqués de San Jorge|||Primera|||Colombia|Litografía Arco|||1974|110 pp.|Ilus - Fts - Cuad - Mps|
Marion|Marie-Odile||Entre anhelos y recuerdos|||Primera|||México|Plaza y Valdés|||1997|175 pp.|Cuad|
Collin|Laura||Ritual y conflicto|||Primera|||México|Instituto Nacional Indigenista - Secretaría de Desarrollo Social|Fiestas de los pueblos indígenas||1994|123 pp.||
Valdivia Dounce|Teresa||Sierra de nadie|||Primera|||México|Instituto Nacional Indigenista|||1994|107 pp.||
Appendini|Guadalupe||A la memoria de Ramón López Velarde|||Primera|||Zacatecas|Gobierno del Estado de Zacatecas|||1988|226 pp.|Ilus - Fts|
González Ramos|Gildardo||Los coras|||Primera|Primera||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional Indigenista|Presencias|55|1992|179 pp.|Fts - Cuad|
Chapman|Anne M.||Puertos de intercambio en mesoamérica prehispánica|||Primera||Trad. por Felipe Montemayor|México|Instituto Nacional de Antropología e Historia|Historia|3|1959|77 pp.|Mps|
Jármy Chapa|Martha de||Un eslabón perdido en la historia|||Primera|||México|Universidad Nacional Autónoma de México|||1983|291 pp.||
Henriquez Ureña|Pedro||Historia de la cultura en la América hispánica|||2a.|||México|Fondo de Cultura Económica|Tierra firme|28|1949|237 pp.|Ilus - Fts - Mos|
Sigüenza Orozco|Salvador||Minería y comunidad indígena: el mineral de Natividad, Ixtlán, Oaxaca (1900-1940)|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|||1996|157 pp.|Ilus - Mps|
León-Portilla|Miguel||Imagen del México antiguo|||Primera|||Argentina|Editorial Universitaria de Buenos Aires|Biblioteca de América / Libros del tiempo nuevo||1963|118 pp.||
Laet|Sigrfried J. de||La arqueología y sus problemas|||Primera||Trad. por Eduardo Ripoll Perelló|Barcelona|Editorial Labor|Biblioteca de iniciación cultural - Colección Labor - Sección VI: Ciencias históricas|507-508|1960|213 pp.|Fts|
Bernal|Ignacio||Mesoamérica|||Primera|||México|Instituto Panamericano de Geografía e Historia - EDIMEX|Comisión de historia|50|1953|114 pp.||
Childe|V. Gordon||Reconstruyendo el pasado|||Primera||Trad. por María Teresa Rabiela de Rojas|México|Universidad Nacional Autónoma de México|Problemas científicos y filosóficos||1958|171 pp.|Ilus - Mps|
Bernal|Ignacio||Tenochtitlan en una isla|||Primera|||México|Instituto Nacional de Antropología e Historia|Historia|2|1959|147 pp.|Ilus - Fts - Mps|
León-Portilla|Miguel||De Teotihuacán a los aztecas. Antología de fuentes e interpretaciones históricas.|||Primera|||México|Universidad Nacional Autónoma de México|Lecturas universitarias|11|1971|611 pp.|Ilus - Fts|
Childe|V. Gordon||Qué sucedió en la historia|||2a.||Trad. por Elena Dukelsky|Buenos Aires|Leviatán|||1960|305 pp.||
Matos Moctezuma|Eduardo||Manuel Gamio. La arqueología mexicana.|||Primera|||México|Universidad Nacional Autónoma de México|Argumentos. Ideas de nuestro tiempo.|2|1983|22 pp.||
Childe|V. Gordon||Progreso y arqueología|||Primera|||Buenos Aires|Dédalo|||1960|151 pp.||
Childe|V. Gordon||Los orígenes de la civilización|||Primera||Trad. por Elí de Gortari|México|Fondo de Cultura Económica|Los orígenes de la civilización|92|1954|291 pp.|Ilus - Cuad|
Cottrell|Leonard||El toro de minos|||Primera||Trad. por Margarita Villegas de Robles|México|Fondo de Cultura Económica|Breviarios|138|1958|301 pp.|Ilus - Fts|
Navarrete|Carlos||La piedra del sol|||Primera||Trad. por Doris Hayden|México|Museo - Nacional de Antropología - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|Colección Breve|1|1968|31 pp.|Ilus - Fts|
Bate|Luis F.||Arqueología y materialismo histórico|||Primera|||México|Ediciones de Cultura Popular|||1977|65 pp.||
Vandenberg|Philipp||Nefertiti|||Primera||Trad. por Manuel Vázquez|Barcelona|Plaza y Janes|||1979|299 pp.|Ilus - Cuad - Mps|
Wheeler|Mortimer||Archaeology from the Earth|||Primera|||Gran Bretaña|Penguin Books|Pelican books|A356|1956|252 pp.|Ilus - Fts - Cuad - Mps|
Childe|V. Gordon||Introducción a la arqueología|||Primera||Trad. por Ma. Eugenia Aubet|Barcelona|Ariel|||1972|180 pp.|Ilus|
Soustelle|Jacques||Daily life of the aztecs on the eve of the Spanish conquest|||Primera|Primera|Trad. por Patrick O'Brian|Gran Bretaña|Penguin Books|Pelican books|A678|1968|302 pp.|Fts - Mps|
