Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Bernal|Ignacio|G. Reichel-Dolmatoff|Mesoamérica y Colombia (Suplementos)|||Primera|||México|Instituto Panamericano de Geografía e Historia - Editorial Fournier|Comisión de historia|56|1953|53 pp.||
Matos Moctezuma|Eduardo||El templo mayor de México. Crónicas del siglo XVI.|||Primera|||México|Asociación Nacional de Libreros|||1981|155 pp.|Ilus - Fts|
Comas|Juan||Origen de las culturas precolombinas|||Primera|||México|Secretaría de Educación Pública|SepSetentas||1975|158 pp.|Ilus - Fts - Mps|
Castañeda Paganini|Ricardo||Tikal. La ciudad arqueológica más grande de la civilización maya.|||Primera|||Guatemala|Editorial del Ministerio de Educación Pública|||1962|113 pp.|Fts|
Gómez|Herinaldy|Carlos Ariel Ruiz|Los paeces: gente territorio|||Primera|||Colombia|Fundación para la Comunicación Popular - Universidad del Cauca|||1997|219 pp.|Cuad|
VV.AA.|||Homenaje a Rafael García Granados|||Primera|||México|Instituto Nacional de Antropología e Historia|||1960|362 pp.|Ilus - Fts - Mps|
Grinberg-Zylberbaum|Jacobo||Pachita||III|Primera|||México|Colofón|||1994|229 pp.|Fts|
VV.AA.|||Homenaje a Silvio Zavala|||Primera|||México|Museo Nacional de Historia . Instituto Nacional de Antropología e Historia|||1994|30 pp.||
Kenneth Turner|John||México bárbaro|||Primera|||México|Ediciones Leyenda|||1999|275 pp.||
Cosío Villegas|Daniel||Memorias|||Primera|||México|Joaquín Mortiz|||1976|320 pp.|Fts|
Vaillant|George C.||La civilización azteca|||2a.||Trad. por Samuel Vazconcelos|México|Fondo de Cultura Económica|||1955|316 pp.|Ilus - Fts - Cuad|
Balansó|Juan||Las perlas de la corona|||Primera|||Barcelona|Plaza y Janes|Así fue. La historia rescatada.||1997|284 pp.|Fts|
VV.AA.|||National profile. Indigenous peoples of Mexico.|||Primera|||||||1999|88 pp.|Cuad - Mps|
Barabas|Alicia M.|Miguel A. Bartolomé|Configuraciones étnicas en Oaxaca. Perspecctivas etnográficas para las autonomías.||III|Primera|||México|Instituto Nacional Indigenista - Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia.|||1999|240 pp.|Fts - Cuad - Mps|
VV.AA.|||Etnografía de las regiones y grupos indígenas de México|||Primera|||México|Instituto Nacional de Antropología e Historia||||120 pp.|Cuad - Mps|
Hammersley|Martyn|Paul Atkinson|Etnografía|||Primera||Trad. por Mikel Aramburu Otazu|Barcelona|Paidos|||1994|297 pp.|Cuad|
Doolittle|William E.||Pre-hispanic occupance in the Valley of Sonora, Mexico. Archaeological confirmation of early spanish reports.|||Primera|||Tucson|University of Arizona|Anthropological papers of the University of Arizona|48|1988|87 pp.|Ilus - Fts - Cuad - Mps|
Winter|Marcus C.||La sociedad del formativo tardío en el Valle de Oaxaca y la mixteca alta, México|||||||Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|Cuadernos de los centros|6||21 pp.|Cuad - Mps|
Crespo|Ana María|et. al.|Querétaro Prehispánico|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica||1991|305 pp.|Ilus - Fts - Cuad - Mps|
Reina|Leticia||Los retos de la etnicidad en los estados-nación del siglo XXI|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista - Miguel Ángel Porrúa|||2000|347 pp.||
Gómez Carpinteiro|Francisco Javier||Tanto que costó. Clase, cultura y nueva ley agraria en un ejido.|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica||1998|216 pp.|Cuad|
Millán|Saúl|Julieta Valle|Las regiones indígenas||II|Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2003|296 pp.||
Barabas|Alicia M.||Las regiones indígenas||I|Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2002|332 pp.||
Goetz|J.P.|M.D. LeCompte|Etnografía y diseño cualitativo en investigación educativa|||Primera||Trad. por Antonio Ballesteros|Madrid|Morata|Pedagogía||1984|279 pp.||
Adams Dennis|Philip||Conflictos por tierras en el Valle de Oaxaca|||Primera|Primera|Trad. por Celia Paschero|México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional Indigenista|Presencias|33|1990|239 pp.|Fts|
Ortiz Espejel|Benjamín||La cultura asediada: espacio e historia en el trópico veracruzano (el caso del Totonacapan)|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto de Ecología|||1995|118 pp.|Ilus - Mps|
Guevara Sánchez|Arturo||Arqueología del Valle de las Cuevas, Chihuahua. Reconocimientos.|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuaderno de trabajo|5|1988|56 pp.|Ilus - Fts - Mps|
Seligson|Silvia||Los judíos en México: un estudio preliminar|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa chata|88|1983|200 pp.|Cuad|
Martin|Paul S.||Indians before Columbus|||Primera|||Chicago|University of Chicago Press|||1947|582 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Cuba arqueológica|II||Primera|||Cuba|Editorial Oriente|||1980|238 pp.|Ilus - Fts - Cuad - Mps|
Mongait|Alexandr||La arqueología en la URSS|||Primera||Trad. por L. Vladov|Moscú|Academia de Ciencias de la URSS - Instituto de historia de la cultura material|||1960|448 pp.|Ilus - Fts - Cuad - Mps|
Acosta|Jorge R.|et. al.|Esplendor del México antiguo|||Primera|||México|Centro de Investigaciones Antropológicas de México|||1959|1280 pp.|Ilus - Fts - Cuad - Mps|
Krickeberg|Walter||Las antiguas culturas mexicanas|||2a.||Trad. Por Sita Garst y Jasmin Reuter|México|Fondo de Cultura Económica|||1964|476 pp.|Ilus - Fts - Mps|
Bartra|Roger||La tipología y la periodificación en el método arqueológico|||Primera|||México|Escuela Nacional de Antropología e Historia|||1964|48 pp.|Cuad|
Ford|James A.||Método cuantitativo para establecer cronologías culturales|||Primera|||Washington, D.C.|Unión Panamericana|Manuales técnicos|3|1962|122 pp.|Ilus - Cuad|
Sociedad Mexicana de Antropología|||XIII Mesa redonda. Balance y perspectiva de la antropología de mesoamérica y el norte de México.|||Primera|||México|Sociedad Mexicana de Antropología|||1973|171 pp.|Cuad|
The World Bank|||Mexico. Indigenous people's profile|||Primera|||Estados Unidos|The World Bank|||1999|44 pp.|Cuad - Mps|
