Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas.|Cantidad
Ichon|Alain||La religion de los totonacas de la sierra|||Primera|||México|Libros Mexico.|Sepini|16|1973|512 pp.|Mps|
Inchaustegui|Carlos||Relatos del Mundo Magico Mazateco.|||Primera|||México|||||222 pp.||
Instituto Federal Electoral|||Constitucion Politica de los Estados Unidos Mexicanos.|||Primera|||México|||||||
Instituto nacional Indigenista.|||Derechos Indigenas.|||Primera|||México|Multigrafica Cueto hnos. S.A de C.V.|||1995|128 pp.||
Iszaevich|Abraham||Modernizacion en una comunidad oaxaqueña del valle. |||Primera|||México|Fuentes Impresores, S.A. |SepSetentas.||1973|182 pp.|Fts - Cuad|
Jimenez Castillo|manuel||Huancito. La alafereria en una comunidad purepecha.|||Primera|||México|Universidad Autonoma Metropolitana|||1982|83 pp.|Cuad|
Kearney|Michael||The winds of ixtepeji.|||Primera|||Estados Unidos de America.|Library of congress catalog card.|||1972|140 pp.|Fts|
Larin|Nicolas||La rebelion de los cristeros.|||Primera|||México|Ediciones Era.|||1965|260 pp.||
Larraya|Juan||El libro de los Muertos|||Primera|||México|Editora Zarco|||1954|366 pp.||
Leñero|Luis||Desarrollo y cambio Socio - Religioso.|||Primera|||México|Imprenta San Carlos|||1966|49 pp.|Cuad|
Leon Portilla|Miguel||Ritos, sacerdotes y atavios de los Dioses.|||Primera|||México|Talleres I.L.S.A|||1958|164 pp.|Ilus|
Lewis|H.D.|R. Lawson Slater.|Religiones orientales y cristianismo.|||Primera|||España|Printer, industria grafica.|Nueva Colección Labor.||1968|164 pp.||
Lewis|Oscar||Tepoztlan un pueblo de Mexico.|||Primera|||México|Editora Americana.|||1968|221 pp.|Ilus|
Lewis Berg Jr.|Richard||El impacto de la Economia Moderna.|||Primera|||México|talleres de libros de mexico|Sepini|24|1974|253 pp.|Fts - Cuad|
Loera|Ruben||Agarrote Vil. Tormentos y crueldades en España. |||Primera|||México|Editoral Posada S.A. |||1975|253 pp.|Ilus - Fts|
Lombardo Toledano|Vicente||El problema del Indio.|||Primera|||México|Fuentes Impresores, S.A. |||1973|207 pp.||
Lopez Barcenas|Francisco||Expropiacion, Reacomodos y derechos de los pueblos indigenas|IV.||Primera|||México|Talleres Graficos de Instituto Nacional Indigenista. |Serie Politica Indigenista|4|1997|89 pp.||
Mair|Lucy||La brujeria en los pueblos primitivos actuales.|||Primera|||España.|Ediciones Guadarrama.|||1969|254 pp.|Fts - Cuad|
Martinez|Humberto||Hacia el Nuevo Milenio.|II||Primera|||México|Editorial Villicaña.|||1986|279 pp.||
Martinez|Humberto||Hacia el Nuevo Milenio. II|II||Primera|||México|Editorial Villicaña.|||1986|279 pp.||
Matias Alonso|Marcos||Medidas indigenas de longitud.|94||Primera|||México|Taller Grafico Imprelit|Cuadernos de la casa Chata||1984|106 pp.|Ilus - Cuad|
Menzel|Theophil||Mohammed. The man and his faith.|||Primera|||New York.|Harper & Row, Publishers.|||1960|194 pp.||
Meyer |Jean||El coraje cristero Testimonios.|4||Primera|||México|Universidad Autonoma Metropolitana|Cultura Universitaria.||1981|160 pp.|Ilus|
Meyer |Jean||La cristiada. 1 - la guerra de los cristeros.|||4a.|||México|CEMONT|||1976|409 pp.||
Ministerio de Trabajo y Comunidades|||Insituto Indigenista Peruano.|||Primera|||México||||1966|28 pp.||
Moctezuma Matos|Eduardo||Muerte a Filo de Obsidiana.|||Primera|||México|Editorial Melo. |SepSetentas.||1975|159 pp.|Ilus|
Moiron|Sara||En el nombre del indio.|||Primera|||México|Talleres de Impresora de Industria y Comercio.|||1972|190 pp.||
Montoya Briones|Jose de Jesus||Atla: Etnografia de un Pueblo Nahuatl.|||Primera|||México|Talleres de edimex.|||1964|201 pp.|Fts - Cuad - Mps|
Muchen|Stuttgart||Verhandlungen des XXXVIII. Internationalen Amerikanistenkongresses. COPIAS.|||Primera|||México||||1968|||
Museo Nacional del Virreinato|||Museo Nacional del Virreinato IV ciclo de conferencias 1995|||Primera|||México|Impresora  pacheco del Rio|||1997|203 pp.|Fts|
Nuñez Corona |Jose||mitologia tarasca|||Primera|||México|Grafica Panamericana, S. de R.L|||1957|112 pp.|Ilus - Fts|
Ochoa Zazueta|Jesus Angel||Muerte y Muertos|||Primera|||México|Melo, SA|||1974|168 pp.|Fts - Cuad - Mps|
Ortiz|Fernando||El huracan|||Primera|||México|Grafica Panamericana, S. de R.L|||1947|686 pp.|Ilus|
Ortiz|Fernando||Contrapunteo cubano del tabaco y el azucar.|||Primera|||España|Editorial Uriel|||1973|377 pp.||
Ortiz Echaniz|Silvia M. ||Religiones Creencias. Organización Ideologica.|||Primera|||México|Direccion general de publicaciones y Bibliotecas SEP.|||1981.|45 pp.|Ilus - Fts - Cuad|
Oursler|Fulton||El libro de los libros.|||Primera|||México|Zig - Zag.||||224 pp||
Pescados Y mariscos Tepepan.|||Recetario. |||Primera|||México|||||10 pp.||
Philip J.|King||Good News for Modern Man.|||Primera|||Estados Unidos de America.|American Bible Society.|||1967|599 pp.|Ilus|
Quillet|Aristides||Enciclopedia Autodidactica Quillet.|II||Primera|||México|Litoarte|||1963|506 pp.||
Restrepo|Daniel||La liturgia en el Hogar.|||Primera|||México|Buena Prensa|||1949|152 pp.||
Robles.|Carlos.||Problemas que se presentan en la expresion de los conceptos filosoficos del cristianismo en las lenguas indigenas de america. |||Primera|||México||Actas y memorias.||1964|15 pp.||
Robles.|Carlos||Los lacandones.|||Primera|||México|Edimex|||1967|69 pp.|Mps|
Rocca|Antonio||Sociedad Perfecta.|||Primera|||Buenos Aires.|Ediciones C.C.U.|||1949|140 pp.|Ilus|
Roman Rodriguez Diaz|Jose||El movimiento cristero. Sociedad y conflicto en los altos de Jalisco.|||Primera|||México|Editorial Nueva Imagen|||1979|242 pp.|Ilus - Fts - Cuad|
Rubio Vega|Blanca|Hubert Carton de Grammont, Julio Moguel.|Cuadenos de Investigacion. |||Primera|||México|talleres ENEP.|||1984|276 pp.||
Ruiz Avila|Dalia||Tejiendo Discursos se Tejen Sombreros. Identidad y practica Discursiva. |Tesis||Primera|||México||||1998|||
Sanchez|P.||Nueva  Semana Santa|||3a.|||España|Apostolado de la prensa.|||1956|232 pp.||
Sanchez Valderrama|Guillermina|isidro Olvera Jimenez|los pueblos indigenas en la legislacion Nacional.|III||Primera|||México|Talleres Graficos de Instituto Nacional Indigenista. |Serie Politica Indigenista|3|1997|86 pp.||
Santiago Montes |Andres|Gaston Garcia Cantu|Calendario Civico. |||Primera|||México|Talleres del I.N.I y en Offset Beltran.|||1957|41 pp.|Ilus|
Schmidt |Guillermo||Manual de Historia Comparada de las Religiones.|||Primera|||España|Espasa - Calpe, S.A. |||1947|286 pp.||
Schnepp|Gerald||El concepto de mana.|II||Primera|||México||||1947|110 pp.||
Sociedad Agropecuaria del CEPEC|||Maseual Sanilmej 2 Cuentos Indigenas de la region de San Miguel Tzinacapan. |2||Primera|||México|CEPEC|Maseual Sanilmej|1|1986|40 pp.|Ilus|
Sociedad Agropecuaria del CEPEC|||Maseual Sanilmej 3 Cuentos Indigenas de la region de San Miguel Tzinacapan. |3||Primera|||México|CEPEC|Maseual Sanilmej|1|1986|40 pp.|Ilus|
Sociedad Agropecuaria del CEPEC|||Maseual Sanilmej 4 Cuentos Indigenas de la region de San Miguel Tzinacapan. |4||Primera|||México|CEPEC|Maseual Sanilmej|1|1987|40 pp.|Ilus|
Sociedad Agropecuaria del CEPEC|||Maseual Sanilmej 5 Cuentos Indigenas de la region de San Miguel Tzinacapan. |5||Primera|||México|CEPEC|Maseual Sanilmej|1|1987|36 pp.|Ilus|
Sociedad Agropecuaria del CEPEC|||Maseual Sanilmej 7 Cuentos Indigenas de la region de San Miguel Tzinacapan. |7||Primera|||México|CEPEC|Maseual Sanilmej|1|1987|40 pp.|Ilus|
Sociedad Agropecuaria del CEPEC|||Maseual Sanilmej 9 Cuentos Indigenas de la region de San Miguel Tzinacapan. |9||Primera|||México|CEPEC|Maseual Sanilmej|1|1988|44 pp.|Ilus|
Sociedad Agropecuaria del CEPEC|||Maseual Sanilmej 10 Cuentos Indigenas de la region de San Miguel Tzinacapan. |10||Primera|||México|CEPEC|Maseual Sanilmej|1|1988|56 pp.|Ilus|
Suares|Luis||mexico sobreviviente|||Primera|||México|Talleres Linotipograficos.|||1961|115 pp.|Fts|
Sujov|A.D.||Las raices de la Religion.|||Primera|||México|La impresora Azteca.|||1968|159 pp.|Fts - Mps|
Tello|Carlos||Nueva Relacion Estado Pueblos Indigenas|II||Primera|||México|Talleres Graficos de Instituto Nacional Indigenista. |Serie Politica Indigenista|2|1996|11 pp.||
Thomas|Norman||Envidia, brujeria y organización ceremonial. Un pueblo zoque.|||Primera|||México|Sep Setentas.|||1974|175 pp.|Fts|
Tibon|Gutierre||Los ritos magicos y tragicos de la pubertad femenina.|||Primera|||México|editorial Diana.|||1984|315 pp.|Fts - Cuad - Mps|
Troeltsch|E||El protestantismo.|||Primera|||México|Grafica Panamericana, S. de R.L|||1951|137 pp.||2
Tschopik Jr.|Harry||Magia en Chucuito.|||Primera|||México|edimex|||1968|382 pp.||
Turberville|A.S.||La inquisicion Española.|||2a.|||México|Grafica Panamericana, S. de R.L|||1950|206 pp.||
Universidad Nacional de Mexico.|||Evangelios|||Primera|||México|Talleres del departamento Editorial d ela Secretaria de Educacion Publica.|||1923|472 pp.||
Wasserstrom|Robert||A case war ar that never was: The tzeltal conspiracy of 1848|||Primera|||México|||||||
Watch|J.||Sociologia de la Religion.|||Primera|||México|Grafica Panamericana, S. de R.L|||1946|563 pp.||
Williams Garcia|Roberto.||Mitos Tepehuas|||Primera|||México|Sep Setentas.|||1072|156 pp.|Ilus|
Wilson |Edmundo||Los rollos del mar muerto.|||Primera|||México|Talleres de Litografia Azteca.|||1972|125 pp.||
Wright Carr|David Charles||Los franciscanos y su labor educativa en la nueva españa (1523 - 1580).|||Primera|||México|Genesis|Colección Divulgacion||1998|81 pp.|Fts|
Yañes |Agustin||Mitos Indigenas|||Primera|||México|Imprenta Universitaria|||1942|200 pp.|Ilus|
|||Nuevo Testamento.|||Primera|||||||1968|639 pp.||
