Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad||||||||||
Sántiz Luna|Miguel||Ja junini ta tseltal|||Primera|||México|Secretaría de Educación Pública|||1981|215 pp.|Ilus - Fts|||||||||||
Guerra|Roberto||Yuun ya jkaitik lek te ch'ul misa|||Primera||Trad. por Jorge Díaz Olivares|México|Buena Prensa|||1960|70 pp.|Ilus|||||||||||
Reyes Garrido|Benito|Margarita Martínez Ramírez|Cuaderno de trabajo driqui|||Primera|||México|Instituto Nacional Indigenista|||1978|112 pp.|Ilus|||||||||||
Coronado de Caballero|Gabriela||El bilingüismo y su problemática|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de la Casa Chata|10|1978|175 pp.||||||||||||
Restrepo|Iván||Reportaje en Vietnam y Kampuchea|||Primera|||México|Asociación de Universitarios Amigos de China Popular|||1979|64 pp.||||||||||||
Honie|Lorraine||Télii hataa? yóhoo?'aah|||Primera||Trad. por Rena Talk y Babbette Holiday|Arizona|Navajo Curriculum Center - Rough Rock Demonstration School|||1972|16 pp.|Ilus|||||||||||
Pérez Hernández|Uriel||Cuaderno zoque|||Primera|||México|Instituto Nacional Indigenista|||1978|164 pp.|Ilus|||||||||||
Cuervo Ruiz|Julián||Noamoch tlen se xuitl tlamachtilistli|||Primera|||México|Secretaría de Educación Pública|||1980|79 pp.|Ilus - Fts|||||||||||
Schwanke|Jack||Three coyote plays and notes on using pantomime with children|||Primera|||Arizona|Navajo Curriculum Center - Rough Rock Demonstration School|||1972|16 pp.||||||||||||
|||Five one-act plays for navajo high school students|||Primera|||Arizona|Navajo Curriculum Center - Rough Rock Demonstration School|||1972|24 pp.||||||||||||
Wallace|Laura|et. al.|Aka?ii ch??'??|||2a.|||Arizona|Navajo Curriculum Center - Rough Rock Demonstration School|||1971|58 pp.|Ilus|||||||||||
Cruz|Lupe||Los dos asnos|||Primera|||California|Bay Area Bilingual Education League|||1975|11pp.|Ilus|||||||||||
Vergara Sotelo|Jaime|et. al.|Libro del niño. Educación preescolar bilingüe-bicultural|||Primera|||México|Secretaría de Educación Pública|||1982|90 pp.|Ilus|||||||||||
|||Chu|||Primera|||México|Secretaría de Educación Pública - Instituto Lingüístico de Verano|||1959|86 pp.|Ilus|||||||||||
Yanes Rizo|Emma||Los días del vapor|||Primera|||México|Ferrocarriles Nacionales de México - Museo Nacional de los Ferrocarriles - Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia|||1994|231 pp.|Fts|||||||||||
Jiménez|Julio||Jihui jumee. Cartilla guajiba.|I||Primera|||Venezuela|Ministerio de Justicia Comisión Indigenista|||1959|24 pp.|Ilus|||||||||||
Jiménez|Julio||Jihui jumee. Cartilla guajiba.|II||Primera|||Venezuela|Ministerio de Justicia Comisión Indigenista|||1959|27 pp.|Ilus|||||||||||
Mills de Wares|I. Luisa||Cartilla maya. Cuaderno de trabajo.|I||Primera|||México|Secretaría de Educación Pública||||119 pp.|Ilus|||||||||||
Mills de Wares|I. Luisa||Cartilla maya. Cuaderno de trabajo.|II||Primera|||México|Secretaría de Educación Pública||||77 pp.|Ilus|||||||||||
Alianza Nacional de Profesionales Indígenas Bilingües|||II Asamblea nacional de la ANPIBAC. Reglamento y programa de actividades.|||Primera|||Guelatao de Juárez|Alianza Nacional de Profesionales Indígenas Bilingües|||1981|13 pp.||||||||||||
Chuc Pech|Pedro Pablo|Urbano Dzul Uitzil|Alfabetización región maya peninsular. Libro de trabajo bilingüe|||Primera|||Yucatán|Instituto Nacional Indigenista|||1978|97 pp.|Ilus|||||||||||
Secretaría de Educación Pública|||Atlas cultural de México. Lingüística.|||Primera|||México|Secretaría de Educación Pública - Instituto Nacional de Antropología e Historia - Planeta|Atlas Cultural||1988|182 pp.|Ilus - Fts - Mps - Cuad|||||||||||
Díaz Flores|Raymundo||Textos en idioma cora|||Primera|||México|Escuela Nacional de Antropología|||1945|24 pp.||||||||||||
Alianza Nacional de Profesionales Indígenas Bilingües|||Acta constitutiva, declaración de principios, programa de acción y estatutos de la Alianza Nacional de Profesionales Indígenas Bilingües, A.C.|||Primera|||México|Alianza Nacional de Profesionales Indígenas Bilingües|||1979|27 pp.||||||||||||
Ministerio de Educación|||Reglamento de educación bilingüe|||Primera|||Perú|Ministerio de Educación|||1975|10pp.||||||||||||
Swadesh|Mauricio||Seminario de estudios antropológicos. Mesa redonda. Factores sociales, lingüísticos y pedagógicos en la castellanización y alfabetización de indígenas|||Primera|||México|Seminario de Estudios Antropológicos|||1960|6pp.||||||||||||
Hildebrandt|Martha||Wayúunaíki. Cartilla guajira.|III||Primera|||Venezuela|Ministerio de Justicia Comisión Indigenista|||1959|41 pp.|Ilus|||||||||||
Ciencia y Tecnología para Guatemala|||Crisis en Centro América y refugiados guatemaltecos en México|||Primera|||Guatemala|Ciencia y Tecnología para Guatemala|Cuadernos|5|1985|54 pp.||||||||||||
Instituto Mexicano del Seguro Social|||22 Pintores mexicanos y las etapas de la vida de la mujer|||Primera|||México|Instituto Mexicano del Seguro Social|Catálogo||1974||Ilus|||||||||||
Díaz Olivares|J.J.||Yabal a?an yacawil jun? ¿Te gustaría aprender a leer?|||Primera|||México||||||Ilus|||||||||||
Pérez Elías|Antonio||Dos revoluciones islámicas|||Primera|||México||||1980|61 pp.||||||||||||
St. Martin Parish|||St. Martin Parish bilingual program curriculum guide. Grade 5.|I||Primera|||Estados Unidos|St. Martin Parish||||115 pp.|Ilus - Cuad - Mps|||||||||||
|||A kindergarten guide for Spanish reading|||Primera|||California|Bay Area Bilingual Education League|||1971|38 pp.|Cuad|||||||||||
|||Bilingual typing and Spanish business correspondence at the secondary level|||Primera|||Estados Unidos|Milwaukee Public Schools|||1976|42 pp.|Ilus - Cuad|||||||||||
Alianza Nacional de Profesionales Indígenas Bilingües|||I Seminario de educación bilingüe-bicultural. Materiales de consulta.|||Primera|||México|Alianza Nacional de Profesionales Indígenas Bilingües|||1979|||||||||||||
Alianza Nacional de Profesionales Indígenas Bilingües|||La educación indígena bilingüe bicultural|||Primera|||México|Alianza Nacional de Profesionales Indígenas Bilingües|||1979|161 pp.||||||||||||
|||1er Encuentro de radioproductores culturales de la frontera norte de México|||Primera|||México|Universidad Autónoma Agraria Antonio Narro - Gobierto del Estado de Coahuila - Programa Cultural de las Fronteras - Universidad Autónoma de Coahuila|Memorias||1987|104 pp.||||||||||||
Manrique Castañeda|Leonardo||Lingüística computacional en México|||Primera|||México|Museo Nacional de Antropoligía - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||1968|21 pp.||||||||||||
Instituto Nacional Indigenista|||Nueva cartilla mixteca|||Primera|||México|Instituto Nacional Indigenista|||1962|50 pp.|Ilus|||||||||||
Alianza Nacional de Profesionales Indígenas Bilingües|||La ANPIBAC y su devenir político|||Primera|||México|Alianza Nacional de Profesionales Indígenas Bilingües|||1981|260 pp.||||||||||||
Instituto de Investigación e Integración Social del Estado de Oaxaca|||Instituto de investigación e integración social del estado de Oaxaca|||Primera|||México|Instituto de Investigación e Integración Social del Estado de Oaxaca||||20 pp.|Fts - Cuad|||||||||||
