Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Pérez Granados|Ma. de Lourdes||Relatos Zoques|||Primera|||México|Dirección General de Culturas Populares|Lenguas de México|17|1997|75 pp.|Ilus|
Marion Singer|Marie - Odile||Las organizaciones campesinas autónomas: un reto a la producción|||Primera|||México|Instituto Nacional de Antropología e Historia||38|1989|80 pp.|Mps|
Geddings Gray|John||Expedición memorial Frans Blom|||Primera|||México|Patronato Fray Bartolomé|||1988|64 pp.|Mps - Fts|
Piel|Jean||Sajcabaja Muerte y resurreción de un pueblo de Guatemala|||Primera||Eliana Castro Ponlsen|México|Centrode estudios mexicanos y centroamericanos|||1989|456 pp.|Tbls|
Enríquez Terrazas|Eduardo|José Luis García Valero|Coahuila una historia compartida|||Primera|||México|Instituto de investigaciones Dr. José María Luis Mora|||1989|497 pp.||
Molina Ludy|Virginia||Los mayas y los recursos de la frontera sur de México|||Primera|||México|Centro de ecología y desarrollo|||1995|145 pp.||
Navarrete|Carlo||Un reconocimiento de la sierra madre de Chiapas|||Primera|||México|Univesridad Nacional Autonóma de México|Cuadernos|13|1978|79 pp.|Mps - Tbls - Ilus - Fts|
Romero|César||Marcos ¿Un profesional de la esperanza?|||Primera|||México|Editorial Planeta Mexicana|México vivo||1994|190 pp.|Fts|
Flores Estrada|Francisco||Fue Chiapas por Don Sam|||Primera|||México|"Editorial ""La noticia"""|||1994|138 pp.||
Fábregas Puig|Andrés||Chiapas culturas en movimiento|||Primera|||México|Editorial viento al hombro|||2006|103 pp.|Fts|
|||Los Zoques de Chiapas|||Primera|1990||México|Consejo Nacional para la Cultura y las Artes|||1975|278 pp.|Mps - Fts|
Negroe Sierra|Genny M.||Guerra de castas: Actores postergados|||Primera|||México|Consejo Nacional para la Cultura y las Artes|||1997|191pp.||
Soriano Hernández|Silvia||Lucha y resistencia indígena en el México colonial|||Primera|||México|Univesridad Nacional Autonóma de México|||1994|385 pp.|Mps - Ilus|
Nolasco A.|Margarita||Aspectos sociales de la migración en México|2||Primera|||México|Instituto Nacional de Antropología e Historia|||1980|332 pp.|Mps - Tbls|
Orozco y Jiménez|Francisco||Documentos Inéditos de la Historia de la Iglesia de Chiapas|2||Primera|||México|Coneculta|||1999|264 pp.||
Orozco y Jiménez|Francisco||Documentos Inéditos de la Historia de la Iglesia de Chiapas|1||Primera|||México|Coneculta|||1999|195 pp.||
Gutíerrez Chong|Natividad|Marcela Romero García|Indigenismos: Reflexiones criticas|||Primera|||México|Instituto Nacional Indigenista|||2000|255 pp.|Fts|
