Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Oswald|Úrsula||Coordinadora|Mercado y dependencia |||Primera|||México, D.F|Editorial Nueva Imagen|||1979|409|Cuadros|
Boudon|Raymond|||Los métidos en sociología|||Primera||Trad. Por Francpise Charpentier|Barcelona|A. redondo|||1969|136|Cuadros|
||||Sureste|||Primera|||México, D.F|INI|||1995|276|Cuadros|
Rosaldo|Renato|||Cultura y verdad|||Primera||Trad. Por Wendy Gómez Togo|México, D.F|Editorial Grijalbo|||1991|229||
Popper|Karl|||El mito del marco común|||Primera||Trad. Por Marco Aurelio Galmarini|Buenos Aires|Editorial Paidós|||1997|225||
Wagensberg|Jorge|||Ideas sobre la  complejidad del mundo|||Primera|||Barcelona|Tusquets Editores|||1985|154||
Masini|Eleanora|Johan Galtung et al|Compiladores|Sociedad y Utopía|||Primera|||México, D.F|Editorial Nueva Imagen|||1983|287||
Guiraldes|Ricardo|||Don segundo sombra|||Primera|||España|Salvat Editores|||1982|190||
Almada|Francisco|||Diccionario de Historia, Geografía y Biografía Sonorenses|||Tercera|||[Hermosillo, Sonora]|Instituto Sonorense de Cultura|||1990|746||
Rojas Soriano|Raul|||Guía para realizar investigaciones sociales|||Octava|||México, D.F|UNAM|||1985|280|Cuadros|
Barabas|Alicia|Miguel Bartolomé|Coordinadores|Etnicidad y pluralismo cultural: la dinámica étnica en Oaxaca|||Primera|||México, D.F|INAH|||1986|485||
Fromm|Erich|||El miedo a la libertad|||Primera||Trad. Por Gino Germani|Buenos Aires|Editorial Paidós|||1971|345||
Mead|Margaret|||Adolescencia y cultura en Samoa|||Cuarta|||Buenos Aires|Editorial Paidós|||1973|307||
Cuahutémoc|Héctor|Hernández Silva||Historia de los pueblos indígenas de México|||Primera|||México, D.F|CIESAS|||1996|185|Fotos|
||||El valor de la palabra|||Primera|||Cuernavaca, Morelos|CIDHM|||1998|42|Foto|
Olmos Aguilera|Miguel|||El sabio de la fiesta|||Primera|||México, D.F|INAH|||1998|172|Fotos|
Stern|Claudio||Compilador|La desigualdad social I|||Primera|||México, D.F|SEP|SepSetentas||1974|218||
Habermas|Jurgen|||Respuestas a Marcuse|||Primera||Trad. Por Manuel Sacristán|Barcelona|Editorial Anagrama|||1969|154||
León Portilla |Miguel|||Los antiguos mexicanos|||Primera|2003||México|Fondo de Cultura Económica|Colección Biblioteca del INAH||1995|198|Ilustraciones|
Bartra |Roger|||Breve diccionario de socioligía marxista|||Primera|||México, D.F|Editorial Grijalbo|Colección 70|127|1973|148|Cuadros|
Perissinotto|Giorgio|||Juan Suárez de Peralta: tratado del descubrimiento de las Indias y su conquista|||Primera|||Madrid|Alianza Editorial|||1990|268||
Heller|Ágnes|||Sociología de la vida cotidiana|||Segunda|||Barcelona|Ediciones Península|||1987|418||
Azuela|Mariano|||3 Novelas de Mariano Azuela|||Primera|1980||México, D.F|Fondo de Cultura Económica|||1958|177||
Lapassade|Georges|||Las claves de la sociología |||Primera|||Barcelona|Editorial Laia|||1973|279||
||||El antiguo Palacio Imperial|||Primera||||||||16||
Alcalá Moya|Graciela|||Con el agua hasta los aparejos|||Primera|||México, D.F|CIESAS-SEP-CIAD|||1999|287||
Calvo|Angelino|||Nuevo San Juan Chamula, Nuevo Huixtán, Nuevo Matzam|||Primera|||San Cristóbal de las casas, Chiapas|DESMI-CEI-UNACH|||1989|85|Ilustraciones|
||||Panorama actual de los derechos humanos de las personas de edad: La situación de México frente a los compromisos internacionales|||Primera|||México, D.F|CNDH|||2003|317||
Millán|Saúl|Paola García Souza||Lagunas del tiempo|||Primera|||México, D.F|INAH|||2003|161|Ilustraciones|
Castillo|Víctor|||Econompia fronteriza desarrollo regional|||Primera|||Mexicali, B.C|UABC|||1990|97|Cuadros|
