Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Bernal|Ignacio|Alfonso Vélez Orozco et al||Tres científicos mexicanos|||Primera|||México, D.F|SEP|SepSetentas||1974|212|Ilustración|
Gállego|Julián|||Velázquez|||Primera|||Madrid, España|Alianza Editorial|||1994|62||
||||Cancionerillo|||Primera|||México, D.F|Ediciones Oasis|Colección Literaria Servet||1964|125||
Ebersole|Robert P.|||La Artesania|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1968|150|Fotos|
Warman|Arturo|||La danza de moros y cristianos|||Primera|||México, D.F|SEP|SepSetentas||1972|165|Fotos|
Rueda R.|Emma|||El musiquito coyolli|||Primera|||México, D.F|FEM|Colección Infantil y juvenil |3|1979|75|Fotos|
Zaldívar Guerra|María Luisa Laura|||De maestros, oficiales y aprendices a maquiladores. Los talabarteros de Yucatán en 1978|||Primera|||México, D.F|INAH|||1998|225|Fotos|
Pérez Montfort|Ricardo|||Estampas de nacionalismo popular mexicano|||Primera|||México, D.F|CIESAS|||1994|217|Fotos|
Pérez Martínez|Hector|||Cuahutemoc|||Segunda|||Buenos Aires, Argentina|ESPASA-CALPE ARGENTINA|Colección Austral|807|1956|210||
Pereyra|Carlos|||Hernán Cortés|||Primera|||Buenos Aires, Argentina|ESPASA-CALPE ARGENTINA|Colección Austral||1941|287||
Horcasitas de Barras|María Luisa|||La Artesanía de Santa Clara del cobre|||Primera|||México, D.F|SEP|SepSetentas||1973|186|Mapas y fotos|
Rojas Garcidueñas|José|||El teatro de Nueva España en el siglo XVI|||Segunda|||México, D.F|SEP|SepSetentas||1973|191||
Sten|María|||Vida y muerte del Teatro Nahuatl|||Primera|||México, D.F|SEP|SepSetentas||1974|214|Ilustraciones|
Cortés Ruíz|Efraín|||Tejedores de la naturaleza. La cestería en cinco regiones de México|||Primera|||México, D.F|INAH|||1999|179|Fotos y mapas |
Reyes de la Maza|Luis|||Cien años de teatro en México|||Primera|||México, D.F|SEP|SepSetentas||1972|159|Fotos|
Phillips|Allen W.|||Cinco estudios sobre literatura mexicana moderna|||Primera|||México, D.F|SEP|SepSetentas||1974|183||
Schneider |Lui Mario |||Dos poetas rusos en México: Balmont y Maikovski|||Primera|||México, D.F|SEP|SepSetentas|66|1973|203||
Saenz|Carlos Luis|||Yorusti|||Primera|||San José, Costa rica|Editorial Costa Rica|||1975|91|Ilustraciones|
Fallas|Carlos Luis|||Mamita Yunai|||Primera|||San José, Costa rica|Librería Lehmann|||1977|222||
De Luna García|Pablo|||Reflexiones sobre las causas de la diversificación dialectal y comparación de dos variantes del Totonaco que se dan en la costa y sierra de Papantla, Veracruz|||Primera|||México, D.F|INI-SEP|Etnolinguística |2|1982|220||
De Zayas Enríquez|Rafael|||Benito Juárez su vida y obra|||Primera|||México, D.F|SEP|SepSetentas||1971|355||
Bustillo Oro|Juan|||Vientos de los veintes|||Primera|||México, D.F|SEP|SepSetentas||1973|183||
Espejel|Carlos|||Las artesanias tradicionales en México|||Primera|||México, D.F|SEP|SepSetentas||1972|158|Fotos|
Bozal|Valeriano|||Goya|||Primera|||Madrid, España|Editorial Alianza|||1994|63|Ilustraciones|
Muller|Florencia|Barbars Hopkins||A guide to mexican ceramics|||Primera|||México, D.F|Editorial Minutiae Mexicana|||1974|128|Fotos|
Caballero|Juan Julian|||"""El papel del maestro en el etnocidio en San Antonio Huitepec, Oax."""|||Primera|||México, D.F|INI-SEP|Etnolinguística |20|1982|209|Fotos|
Reyes Antonio|Agustín|||"""Plantas y medicina nahua en Matlapa indígena"""|||Primera|||México, D.F|INI-SEP|Etnolinguística |21|1982|246|Ilustraciones y fotos|
Hernández Carmona|Amador|||Análisis morfosintáctico del constituyente nominal en el Totonaco de Caxhuacan, Puebla.|||Primera|||México, D.F|INI-SEP|Etnolinguística |16|1982|199|Cuadros|
||||Poesía social del siglo XX: España e Hispanamérica|||Primera|||Buenos Aires, Argentina|Centro Editorial de América Latina|||1971|156||
Hernández García|Epifanio|||Descripción de la sintaxis del Totonaco de Papantla, Veracruz|||Primera|||México, D.F|INI-SEP|Etnolinguística |5|1982|237||
Sweig|Stefan|||Brasil, país del futuro|||Primera|||Buenos Aires, Argentina|ESPASA-CALPE ARGENTINA|Colección Austral||1943|257||
Firbank|Ronald|||Las exentricidades del cardenal Pirelli|||Primera|||Buenos Aires, Argentina|ARCA-GALERNA|||1968|146||
Vargas Martínez|Ubaldo|||Ludwing Van Beethoven|||Primera|||México, D.F|SEP|SepSetentas||1972|207|Fotos|
Urquizo|Francisco L.|||Asesinato de Carranza|||Primera|||México, D.F|"Populibros ""La prensa"""|||1959|234||
Iturribarria|Jorge Fernando|||Benito Juárez-Porfirio Díaz|||Primera|||México, D.F|"Populibros ""La prensa"""|||1960|382||
Galeana|Benita|||Benita|||Segunda|||México, D.F|Extemporaneos|||1979|205||
Jiménez Peraza|Pedro|||Lealtad hacia la lengua maya|||Primera|||México, D.F|INI-SEP|Etnolinguística |6|1982|212|Cuadros|
Gómez Barranco|Victorino Vicente|||La pérdida de la lengua otomi en San Miguel Tlazintla|||Primera|||México, D.F|INI-SEP|Etnolinguística |3|1982|232|Cuadros|
Castillo Ramírez|María Gracia|||La noble tarea de educar. Recuerdos y vivencias de una maestra jaliciense |||Primera|||México, D.F|INAH|Colección Divulgación||2000|220|Fotos|
Valdivoeso|Enrique |||Murillo|||Primera|||Madrid, España|Alianza Editorial|||1994|62|Fotos|
Tatum|Armand|||El jazz|||Primera|||Barcelona|Ediciones G.P|||1962|54|Ilustraciones|
Claro Moreno|Gilberto|Anastacio Marcelino Botho Gazpar||¿Qué somos los maestros bilingues en el valle del mezquital?|||Primera|||México, D.F|INI-SEP|Etnolinguística |1|1982|148||
León-Portilla |Miguel|||Trece poetas del mundo azteca|||Primera|||México, D.F|SEP|SepSetentas||1967|251|Ilustraciones|
||||Los huicholes|||Primera|||México|Museo Nacional de Artes e Industrias Populares|||1954|78|Ilustraciones|
Rodríguez Peña|Hilda|||Índice bibliohemorográfico de la danza tradivional mexicana|||Primera|||México, D.F|Dirección General de Culturas Populares-CONACULTA|||1989|183||
Stavenhagen|Rodolfo|Mario Margulis||La cultura popular|||Primera|||Tlahuapan, Puebla.|Premiá Editora|||1982|145||
