Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
Fitch|Bob|Mary Oppenheimer||Ghana: El fin de una ilusión|||Primera||Trad. Por Horacio Zalce|México|Editorial Nuestro Tiempo|Temas de actualidad||1967|174|Cuadros
De Lameiras|Brigitte|||Indios de México y viajeros extranjeros|||Primera|||México, D.F|SEP|SepSetentas||1973|198|Ilustraciones
Toriello Garrido|Guillermo|||Tras la cortina de banano|||Primera|||La Habana, Cuba|Editorial de ciencias sociales|||1979|339|
Leante|César|||Los guerrilleros negros|||Primera|||La Habana, Cuba|Unión de Escritores y Artistas|||1976|330|
Paulat Legorreta|Jorge|||Una crónica de la condición humana|||Primera|||México|Editorial Nuevas Soluciones|||1972|266|
Djordjevich|Jovan|||Yugoslavia, democracia socialista|||Primera||Trad. Por Julieta Campos y Enrique González Pedrero|México, D.F|Fondo de Cultura Económica|||1961|266|
Cosío Villegas|Daniel|||La constitución de 1857 y sus críticos|||Segunda|||México|SEP|SepSetentas||1973|205|
Lefebvre|Henri|||Manifiesto diferencialista|||Primera||Trad. Por Julio Moguel y  Saúl Escobar|México|Siglo XXI|||1972|129|
Beer|Samuel H.||Editor|The communist manifiesto|||Primera|||New York|Appleton-century-crofts, Inc.|||1955|96|
Fu-Chun|Li|||Mao Tse-Tung sobre la política|||Segunda|||Pekin|Ediciones Lenguas Extranjeras|||1960|44|
Miranda|Anisia|||Treinta días en Viet Nam|||Primera|||La Habana, Cuba|Editorial Letras Cubanas|||1981|242 [38]|Fotos
Paulantzas|Nicos|||La internalización de las relaciones capitalistas y el estado-nación|||Primera||Trad. Por José Sazbón|Buenos Aires, Argentina|Ediciones Nueva Visión|||1974|76|
||||Engels del socialismo utópico al socialismo científico|||Primera|||Moscú|Editorial Progreso||||78|
Harnecker|Marta|Gabriela Uribe et al||Estrategia y táctica|||Primera|||Argentina|Editorial Centro de Estudios Políticos|Colección tercer mundo||1974|62|
Pereyra|Carlos|||Sobre la democracia|||Primera|||México|Cal y Arena|||1991|301|
Castro Gutiérrez|Felipe||Editor|Estudios de historia novohispana||13|Primera|||México, D.F|UNAM|||1993|225|
Castro Gutiérrez|Felipe||Editor|Estudios de historia novohispana||12|Primera|||México, D.F|UNAM|||1992|281|
Gerhard|Peter|||Síntesis e índice de los mandamientos virreinales|||Primera|||México, D.F|UNAM||21|1992|774|
González de Cossío|Francisco|Rosa Castañeda et al|Recopiladores|Legislación indigenista de México|||Primera|||México, D.F|Instituto Indisgenista Interamericano||38|1958|198|
||||Estudios de historia novohispana||10|Primera|||México, D.F|UNAM|||1991|459|Fotos y cuadros
González y González|Luis|||La magia de la nueva España|III||Primera|||México, D.F|Editorial Clío|||1995|231|Ilustraciones
González y González|Luis|||Atraídos por la Nueva España|II||Primera|||México, D.F|Editorial Clío|||1995|196|Ilustraciones
Helia D´Acosta||||Beato Junípero Serra|||Primera|||México|Editorial Tradición|||1990|43|Fotos y mapas
Aguilar Marco|José Luis et al|||Misiones en la península de Baja California|||Primera|||México, D.F|INAH|Colección Científica||1991|327|Fotos y planos
Noelle Chamoux|Marie|||Trabajo, técnicas y aprendizaje en el México indígena|||Primera||Trad. Por Paloma Bonfil|México, D.F|CIESAS|||1992|104|
