Mapas||||||
Copia de Plano de la Nueva Misión del Pápalo. 1750||||||
Copia de Mapa Río Colorado. 1740||||||
Copia de Mapa de Sonora. 1771||||||
4 Fotos de Mapa de Misiones. 1980. Parte del Archivo General de la Nación. ||||||
Mapa del Norte y Sur de California. 1980. Parte del Archivo General de la Nación.||||||
