Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
McQuown|Norman|Julian Pitt-Rivers|Compiladores|Ensayos sobre antropología en la zona central de Chiapas|||Primera|1990|Trad. Por Daniel Cazés|México, D.F|INI|Colección Presencias|7|1970|441|Fotos e ilustraciones|
Boltvinik Kalinka|Julio|||Pobreza y estratificación social en México|||Primera|||México, D.F|INEGI|||1994|111|Cuadros|
||||Cashiers des Ameriques Latines 1975|||Primera|||París|Université de la Sorbonne Nouvelle-Centre National de la Recherche scientifique ||12|1975|434|Cuadros|
Alder |Ken|||La medida de todas las cosas|||Primera||Trad. Por José Manuel Álvarez Flórez|Bogota, Colombia|Taurus|||2003|494|Ilustraciones|
Ciplijauskaité|Biruté|||Deber de plenitud. La poesía de Jorge Guillén|||Primera|||México, D.F|SEP|SepSetentas||1973|207||
Bee|Robert L. |||Patrones y Procesos|||Primera||Trad. Por José Manuel Balaguer|México|Logos consorcio editorial|||1975|213||
Altamirano|Graziella|Guadalupe Villa|Compiladoras|Chihuahua, textos de su historia|||Primera|||México, D.F|Gobierno del Estado de Chihuahua-Instituto de Investigaciones Dr. José María Luis Mora-Universidad Autónoma de Ciudad Juaréz|||1988|658|Cuadros|
Marsé|Juan|||Esta cara de la luna|||Primera|||Barcelona, España|Editorial Seix Barral|||1970|272||
Giner|Salvador|||Sociología|||Tercera|||Barcelona, España|Ediciones Península|||1972|125||
Simpson||George||El hombre en la sociedad|||Cuarta||Trad. Por Elizabeth Gelin|Buenos Aires|Editorial Paidos |||1972|190||
Marquéz Montiel|Joaquín|||Hombres Célebres de Puebla|I||Primera|||México|Editorial Jus|||1952|407|Fotos |
Heller|Celia S.|||Structured Social Inequality|||Primera|||United States|The Macmillan Company-Collier-Macmillan Limited|||1969|548|Cuadros|
Ojeda|Jorge Arturo|||Cartas Alemanas|||Primera|||México, D.F|SEP|SepSetentas||1972|210||
Glantz|Margo|||La aventura del conde de Raousset-Bulbon|||Primera|||México, D.F|SEP|SepSetentas||1973|172|Fotos|
Sánchez|Hector|||México nueve veces contado por narradores extranjeros|||Primera|||México, D.F|SEP|SepSetentas||1974|215|Ilustraciones|
Garrido|Felipe|||Viejo Continente|||Primera|||México, D.F|SEP|SepSetentas||1973|160|Fotos|
Phillips|Allen W.|||Cinco estudios sobre literatura mexicana moderna|||Primera|||México, D.F|SEP|SepSetentas||1974|183||
Paz|Octavio|||Claude Lévi-Strauss o el nuevo festín de Esopo|||Primera|||México, D.F|Editorial Joaquín Mortiz|||1967|134||
Chesnaux|Jean at al|||El modo de producción asiático|||Primera|||México, D.F|Editorial Grijalbo|Colección 70|102|1969|157|Cuadros|
||||Memoria. XV simposio de Historia y Antropología de Sonora||II|Primera|||Hermosillo, Sonora|Univesidad de Sonora|||1991|508|Cuadros|
Márquez Montiel|Joaquín|||Hombres Célebres de Puebla|II||Primera|||México|Editorial Jus|||1955|181|Fotos|
||||Civilización. Configuraciones de a diversidad|||Primera|||México, D.F|CEESTEM-CADAL|||1983|423||Este libro es repetido.. Existe una copia en alguna otra caja.
Morales|Mario|||Milenarismo|||Primera|||Barcelona, España|GEDISA|||1980|125||
Casimir|Jean|||La cultura oprimida|||Primera|||México, D.F|Editorial Nueva Imagen|||1981|290||
||||Utopías del renacimiento|||Tercera|||México, D.F|Fondo de Cultura Económica|||1966|273||
Chance|John K.|||Comparative studies in society and history||19|Primera|||New York|Cambridge University Press||4|1977|454-487|Cuadros|
Bejar Navarro|Raúl|||La conciencia nacional en la frontera norte mexicana|||Primera|||Cuernavaca, Morelos|UNAM|||1988|60 [52]|Cuadros|
Malagamba Ansótegui|Amelia|||La televisión y su impacto en la poblacion infantil de Tijuana|||Primera|||Tijuana, B.C|CEFNOMEX|||1986|46|Cuadros|
Cornelius|Wayne A.|Jorge A. Bustamante|Editores|Mexican migration to the United States||3|Primera|||San Diego, CA|Center for U.S-Mexican Studies-University of California|||1989|181|Cuadros|
Mac Iver|R.|||Causación social|||Primera|||México, D.F||||1949|338|Cuadro|
Vélez-Ibañez|Carlos G.|||Rituals of marginality|||Primera|||Los Angeles, CA|University of California Press|||1983|296|Cuadros y fotos|
Rosenthal-Urey|Ina||Editora|Regional impacts of U.S-Mexican Relations|||Primera|||San Diego, CA|Center for U.S-Mexican Studies-University of California||16|1986|154|Cuadros|
Shaiken|Harley|Stephen Herzenberg||Automation and Global Production|||Primera|||San Diego, CA|Center for U.S-Mexican Studies-University of California||26|1987|118|Cuadros|
Gilbert|Alan||Editor|Housing and Land in Mexico|||Primera||Trad. Por Alan Gilbert y Fay Henderson de Díaz|San Diego, CA|Center for U.S-Mexican Studies-University of California||31|1989|189|Cuadros|
Sklair|Leslie|||Maquiladoras: Annotated Bibliography and Guide|||Primera|||San Diego, CA|Center for U.S-Mexican Studies-University of California||24|1988|217||
De Oliveira|Orlandina|||Migración y absorción de mano de obra en la ciudad de México|||Primera|||México, D.F|El Colegio de México||14|1976|37|Cuadros|
Bustamante|Jorge A.|||Espaldas mojadas: materia prima para la expansión del capital norteamericano|||Segunda|1983||México, D.F|El Colegio de México|||1976|45|Cuadros|
García |Brígida|Humberto Muñoz||Migración, familia y fuerza de trabajo en la ciudad de México|||Primera|||México, D.F|El Colegio de México|||1979|27|Cuadros|
Stoddard|Ellwyn R.|||"A conceptual analysis of the ""Alien invasion:"" institutionalizad support of illegal mexican aliens in the U.S"||10|Primera|1976||New York|Center for migration studies of New York||2|1976|189||
Machuca Ramírez|Jesús Antonio|||Internacionalización de la fuerza de trabajo y acumulación de capital: México-Estados Unidos|||Primera|||México, D.F|INAH|Colección Científica||1990|255||
Trueba Lara |José Luis|||Los chinos en Sonora: una historia olvidada|||Primera|||Hermosillo, Sonora|UNISON|Colección El Tejabán|2|1990|95|Cuadros e ilustraciones|
Perlman|Janice E.|||O mito da marginalidade. Favelas e política no Rio de Janeiro|||Primera||Trad. Por Waldivia Marchiori Portinho|Río de Janeiro|Paz e Terra|||1977|377|Cuadros, fotos y mapas|
||||Estudios fronterizos México-Estados Unidos. Directorio General de investigadores|||Primera|||Tijuana, B.C|CEFNOMEX|||1982|282||
Anda|Enrique |Jean-Marie Ansion et al||Dependencia y estructura de clases en América Latina|||Primera||Trad. Por Sergio da Silva et al|Argentina|Ediciones megápolis|||1975|305|Cuadros|
Weaver|Thomas|Theodore Downing|Editores|The Douglas Report: The community context of housing and social problems|||Primera|||Tucson, Arizona|The University of Arizona|||1975|375|Fotos y cuadros|
Uribe |Alfredo |Álvaro Ochoa||Emigrantes del oeste|||Primera|||México, D.F|CONACULTA|||1990|164|Cuadros|
Elster|Jon|||El cemento de la sociedad|||Tercera|||Barcelona, España|GEDISA|||1997|349|Cuadros|
