Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Silva Herzog|Jesús|||El agrarismo mexicano y la reforma agraria|||Primera|||México, D.F|Fondo de Cultura Económica|||1959|602||
Rivera Farfán|Carolina|María del Carmen García Aguilar et al||Diversidad religiosa y conflicto en Chiapas|||Primera|||México|UNAM-SEGOB de Chiapas-COCyTECH-CIESAS|||2005|412|Cuadros y gráficas|
Villafuerte Solís|Daniel et al|||La tierra en Chiapas |||Primera|||México, D.F|Fondo de Cultura Económica|||2002|429|Cuadros|
||||El plan de Santa Bárbara|||Primera|1971||Alta California de Aztlán|La causa Publications|||1970|154|Fotos e ilustraciones|
Z. Vogt|Evon|||Ofrendas para los dioses|||Primera|1993|Trad. Por Stella Mastrangelo|México|Fondo de Cultura Económica|||1979|328|Fotos, cuadros e ilustraciones|
||||Images of repression: A critical time for Human Rights in México 1996-1998|||Primera|||México|"Human Rights Centre ""Miguel Agustín Pro Juaréz"""|||1999|216|Cuadros|
Quezada|Sergio|||Historia de los pueblos indígenas de México/Los pies de la república|||Primera|||México|INI-CIESAS|||1997|263|Fotos, cuadros e ilustraciones|
López Bonilla|Ma. Guadalupe|||Verdad y discurso en las cartas en relación de Hernán Cortés|||Primera|||México|UAM|Colección Laberinto|32|1983|21||
Wassertrom|Robert|||Clase y sociedad en el centro de Chiapas|||Primera|1992|Trad. Por Laura Elena Pulido V.|México|Fondo de Cultura Económica|||1989|310|Cuadros|
Nader|Laura|||Ideología armónica. Justicia y control en un pueblo de la montaña zapoteca|||Primera|||Oaxaca|Instituto Oaxaqueño de las Culturas-Instituto para la cultura y las artes-CIESAS||Serie:Dishá|1998|414|Cuadros|
Lomelí González|Arturo|||Los servidores de nuestros pueblos|||Primera|||Tuxtla Gutiérrez, Chiapas|Consejo Estatal para la Cultura y las Artes de Chiapas||21|2002|183|Cuadros y mapas|
León-Portilla|Miguel|||Pueblos originarios y globalización|||Primera|||México, D.F|El Colegio Nacional|||1997|63||
Bejler|Juan|||Clase y estratificación social|||Primera|||México, D.F|Editorial Edicol|||1977|244||
Melotti |Umberto|||Sociología del hambre|||Primera||Trad. Por Carlos Sierra|México, D.F|Fondo de Cultura Económica||919|1969|167|Cuadros y mapas|
Germani|Gino|||Sociología de la modernización. Psicologia social y psicología Paidós||36|Primera|||Buenos Aires, Argentina|Editorial Paidós|||1971|225|Cuadros|
Klein |Josephine|||Estudio de los grupos|||Primera||Trad. Por Julieta Campos|México, D.F|Fondo de Cultura Económica|||1961|205|Cuadros|
Mendieta y Nuñez|Lucio|||Político Agraria|||Primera|||México|UNAM|||1957|314||
Peréz Luna|Julio Alfonso|||El inicio de la evangelización novohispana. La obediencia|||Primera|||México, D.F|INAH|Colección biblioteca del INAH||2001|109|Escrito anexo|
Fluviá S.J|Francisco Javier||Editor|Apostólicos afanes de la compañía de Jesús|||Primera|||México, D.F|INI-Centro Francés de Estudios Mexicanos y Centroamericanos|||1996|452||
Fernández|Ana Carmen||Coordinadora|Foro con los pueblos originarios. 1 |||Primera|||Argentina|Universidad Nacional de Rosario Argentina|||2005|134|Fotos|
||||Basic Industries in Texas and Northern Mexico|||Primera|||Austin, Texas|The University of Texas Press|||1950|193|Cuadros y mapas|
Voorhies|Bárbara||Editora|La economía del Antiguo Soconusco, Chiapas|||Primera||Trad. Por Raúl del Moral|México, D.F|UNAM|||1991|378|Mapas, cuadros e ilustraciones|
De Mendizabal|Miguel O.|||La evolución del noroeste de México|||Primera|||México|Departamento de la Estadística Nacional|||1930|139|Mapas|
Yebenes Escardo|Zenia|||Las trincheras de la fe. Un análisis antropológcico sobre el proceso de producción, apropiación y consumo de los bienes de salvación, en un caso concreto|||Primera|||México, D.F|INAH|||2001|296|Ilustraciones y mapas|
Anderson|Arthur J.O||Editor|Fray Bernardino de Sahagún: Adiciones, apéndice a la postilla y ejercicio cotidiano|||Primera|||México, D.F|UNAM|||1993|203||
L. Carlos|Manuel|||Politics and development in Rural Mexico|||Primera|||Londres, Inglaterra|Praeger Publishers|||1974|128|Cuadros|
||||Sistemas de plantaciones en el nuevo mundo||VII|Primera|||Washington, D.C|UNION PANAMERICANA|||1960|236||
Romano Delgado|Agustín|||Historia evaluativa del centro coordinador indigenista Tzeltal-Tzotzil||1|Primera|||México, D.F|INI|||2002|360|Fotos, cuadros y mapas|
López Castro|Gustavo|||El cholo: Origen y Desarrollo|||Primera|||Mexicalli, B.C|Universida Autónoma de Baja California|||1981|109|Fotos y cuadros|
Leyva-Solano|Xochitl|||Neo-zapatismo:Networks of power and war||1|Primera|||Manchester|University of Manchester|||2001|417||
Huidobro Goya|José Alejandro|||Los Fandangos y los Sones, la experiencia del Son Jarocho|||Primera|||México|UAM|||1996|204|Fotos|
García Mendez|José Andrés|||Entre el apocalipsis y la esperanza: La presencia protestante en Chiapas.|||Primera|||México, D.F|INAH|||1993|362|Cuadros y mapas|
Castro Silva|José Tonatiuh|||Urbanización y cultura popular, Cuaresma y Semana Yaqui en Hermosillo|||Primera|||Hermisillo, Sonora|Universidad de Sonora|||1995|191|Planos|
Llano Sotelo|Gabriela|||Pentecostalismo y cambio social|||Primera|||México, D.F|INAH|||1995|273|Planos, fotos y cuadros|
||||[Grandes centros comerciales promovidos por la unidad de desarrollo comercial de la frontera]|||Primera|||[México, D.F]|Secrearía de Comercio|||[1977]|199|Cuadros|
Humberto Ruz|Mario|||Las lenguas del Chiapas colonial|||Primera|||México|UNAM|||1997|359||
Messmacher|Miguel|Florencio Sánchez Cámara||Del mito de la cultura a la realidad de la independencia|||Primera|||México, D.F|CIESAS|Colección Cuadernos de la Casa Chata|70|1982|127|Cuadros|
