Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Goetz|Hermann||India|||Primera||Trad. por Gabriel Ferrater|Barcelona|Editorial Praxis - Editorial Seix Barral|El Arte de los Pueblos: Culturas no europeas||1961|277 pp.|Ilus - Fts|
Wagner|Frits A.||Indonesia|||Primera||Trad. por Manuel Sacristán|Barcelona|Editorial Praxis - Editorial Seix Barral|El Arte de los Pueblos: Culturas no europeas||1961|245 pp.|Ilus - Fts - Mps|
Griswold|Alexander B.|et. al.|Birmania, Corea y Tibet|||Primera||Trad. por Jorge Deike y Carlos Martín|Barcelona|Editorial Praxis - Editorial Seix Barral|El Arte de los Pueblos: Culturas no europeas||1964|307 pp.|Ilus - Fts - Mps|
Groslier|Bernard Philippe||Indochina y Málaga|||Primera||Trad. por Margarita Fontseré|Barcelona|Editorial Praxis - Editorial Seix Barral|El Arte de los Pueblos: Culturas no europeas||1962|275 pp.|Ilus - Fts - Mps - Cuad|
Hauser|Arnold||Historia social de la literatura y el arte|II||Primera|||Cuba|Edición Revolucionaria|||1966|493 pp.|Fts - Ilus|
Arundel|Honor||La libertad en el arte|||Primera||Trad. por Ángel González Vega|México|Grijalbo|Colección 70||1967|159 pp.||
Martí|Samuel||Canto, danza y música precortesianos|||Primera|||México|Fondo de Cultura Económica|||1961|379 pp.|Fts - Ilus|
Universidad de la Ciudad de México|||La universidad y su ciudad|||Primera|||México|Universidad de la Ciudad de México|||2004|261 pp.|Fts|
Westheim|Paul||Ideas fundamentales del arte prehispánico en México|||Primera||Trad. por Mariana Frenk|México|Fondo de Cultura Económica|||1957|285 pp.|Fts - Ilus|
Sociedad Mexicana de Antropología|||Los mayas del sur y sus relaciones con los nahuas meridionales|||Primera|||México|Sociedad Mexicana de Antropología|||1961|341 pp.|Mps - Cuad|
Galarza|Joaquín||Códices testerianos. Catecismos indígenas. El pater noster.|||2a.|||México|TAVA Editorial|Códices Mesoamericanos||1992|170 pp.|Cuad - Ilus|
Chávez Hayhoe|Salvador||Códice franciscano|||Primera|||México|Salvador Chávez Hayhoe|||1941|299 pp.||
Gómez Tabanera|José Manuel|et. al.|El folklore español|||Primera|||España|Instituto Español de Antropología Aplicada|||1968|455 pp.|Fts - Ilus - Mps|
Landa Abrego|María Elena||Contribución al estudio de la formación cultural del valle poblano-tlaxcalteca|||Primera|||México|Instituto Poblano de Antropología e Historia|||1962|215 pp.|Fts - Mps|
Flores Guerrero|Raúl||5 Pintores mexicanos|||Primera|||México|Universidad Nacional Autónoma de México|||1957|147 pp.|Ilus|
Bastide|Roger||Les sciences de la folie|||Primera|||Francia|École Pratique des Hautes Études - Mouton & Co.|||1972|143 pp.||
Mendieta y Núñez|Lucio||Temas sociológicos de actualidad|||Primera|||México|Universidad Nacional Autónoma de México|||1978|238 pp.||
Reyes-Valerio|Constantino||Arte indocristiano|||Primera|||México|Instituto Nacional de Antropología e Historia|||1978|326 pp.|Ilus - Fts - Mps - Cuad|
Díaz Cíntora|Salvador||Oraciones, adagios, adivinanzas y metáforas. Libro sexto del códice florentino.|||2a.|||México|Universidad Nacional Autónoma de México|||1995|191 pp.||
Guiteras Holmes|Calixta||Diario de San Pablo Chalchihuitán|||Primera|||México|Consejo Estatal para la Cultura y las Artes de Chiapas|Biblioteca Popular de Chiapas||2002|368 pp.||
Martínez Caraza|Leopoldo||El norte bárbaro de México|||Primera|||México|Panorama|Biblioteca del Oficial Mexicano||1984|146 pp.|Ilus - Mps|
Barnett|R. D.|D. J. Wiseman|Fifty masterpieces of ancient near eastern art|||Primera|||Gran Bretaña|The Trustees of the British Museum|||1960|96 pp.|Fts|
Mannheim|Karl||Sociología sistemática. Introducción al estudio de la sociedad.|||Primera||Trad. por Luis Legaz Lacambra|Madrid|Editorial Revista de Derecho Privado|||1960|200 pp.||
Ruz Lhuillier|Alberto||The civilization of the ancient maya|||2a.|||México|Instituto Nacional de Antropología e Historia|||1970|123 pp.|Fts - Ilus - Mps|
Taracena|Berta||Francisco Corzas|||Primera|||México|Secretaría de Educación Pública|SepSetentas|70|1973|153 pp.|Fts - Ilus|
Rawson|Philip S.||Pinturas búdicas japonesas|||2a.|||Argentina|UNESCO - Hermes|||1963|24 pp.|Fts - Ilus|
Abbate|Francesco||Art nouveau: the style of the 1890s|||Primera|||Gran Bretaña|Octopus Books|||1972|158 pp.|Fts - Ilus|
Fischer|Ernst||The necessity of art. A marxist approach.|||Primera||Trad. por Anna Bostock|Estados Unidos|Penguin Books|Pelican Books|A632|1963|234 pp.||
Martínez Cortés|Fernando||Pegamentos, gomas y resinas en el México prehispánico|||Primera|||México|Secretaría de Educación Pública|SepSetentas|124|1974|158 pp.|Ilus - Cuad|
Rodríguez Prampolini |Ida||Una década de crítica de arte|||Primera|||México|Secretaría de Educación Pública|SepSetentas|145|1974|198 pp.|Ilus - Fts|
Barrera Vázquez|Aldredo|Silvia Rendón|El libro de los libros de Chilam Balam|||Primera|||México|Fondo de Cultura Económica|Colección Popular|42|1972|212 pp.||
Roger-Marx|Claude||Degas. Dancers.|||Primera|||Francia|Fernand Hazan - Methuen & Co.|||1956|13 pp.|Ilus|
|||La pinacoteca: Francisco de Goya|||Primera|||México|Ediciones Mexicanas|||1952|14 pp.|Ilus|
Istituto Italo-Latino Americano|||Arte maya del Guatemala|||Primera|||Italia|Istituto Italo-Latino Americano|||1969|47 pp.|Ilust - Fts - Mps - Cuad|
