Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
Montané Martí|Julio César||Intriga en la Corte |||Primera|||Hermosillo|Editorial UniSon |||1997|224 pp.|
König|René||Sociología|||Primera||Trad. Adolfo Von Ritter- Zahony|Buenos Aires|Compañía General Fabril Editora|||1963|322 pp.|
Medina Echavarría|José||Sociología: Teoría y Técnica|||2a.|||México|Fondo de Cultura Económica|||1946|193 pp.|
F. Escardó|||Anatomía de la Familia|||3a.|||Buenos Aires|"Librería ""El Ateneo"" Editorial"|"Colección ""Cultura Universal"""||1960|151 pp.|
De la Graza|Rudolph|Kruszewski Anthony, et al.|Chicanos and Native Americans. The Territorial Minorities|||Primera|||New Jersey|A Spectrum Book|||1973|203 pp.|
Laub Coser|Rose||The Family: Its structure and functions |||Primera|||New York |St Martin`s Press|||1964|678 pp. |
Bermeo Vega|José Luis||Formaciones y Dinamismo étnicos en el Guerá. República del Chad|||Primera|||México|Universidad Iberoamericana, CONACULTA, INAH|||2006|160 pp.|Fts- Mps-Cuad
Sorokin |Pitirim||Sociedad, Cultura y Personalidad. Su estructura y su dinámica sistema de sociología general|||Primera||Trad. Anibal del Campo|Madrid|Aguilar|||1960|1122 pp.|
Ayora Díaz|Steffan Igor||Globalización, conocimiento y poder. Médicos locales y sus luchas por el reconocimiento en Chiapas|||Primera|||México|Universidad Autónoma de Yucatán. Facultad de Ciencias Antropológicas. Plaza y Valdés|||2002|205 pp.|
García Canclini|Néstor|Signorelli Amalia, et al.|De lo local a lo global. Perspectivas desde la antropología|||Primera|||México|Universidad Autónoma Metropolitana |||1994|189 pp.|
Armendariz|María Luisa||Chiapas, una radiografía|||Primera|||México|Fondo de Cultura Económica|||1994|403 pp.|
Muñoz Camargo|Diego|Chavero Alfredo, et al.|Historia de Tlaxcala |||Primera|||México|Oficina Tip. De la Secretaría de Fomento|||1966|280 pp. |
Universidad de Ciencias y Artes del Estado de Chiapas|||Anuario 1996. Centro de Estudios Superiores de México y Centroamérica|||Primera|||Chiapas|Gobierno del Estado de Chiapas. Gobierno del Estado de Chiapas|||1997|659 pp.|Ilus-Cuad
Genaro Guzmán Mayer|||La Erección del Estado de Hidalgo|||2a.|||Hidalgo|Talleres Gráfico del Estado|Cuadenos de Cultura Hidalguense||1962||Fts-Ilus
Skidmore|William ||Theoretical Thinking  In Sociology  |||Primera|||Estados Unidos |Cambridge University Press|||1975|277 pp. |Cuad
Vecinos de Tetelcingo||Bartolome  Miguel, Barbas Alicia|Historia de Tetelcingo|||Primera|||Morelos|Instituto Nacional de Antropología e Historia. Secretaría de Educación Pública|||||
Hernández Díaz|Miguel||Ideas y Creencias en San Andrés Larráinzar|||Primera|||México|Gobierno del Estado de Chiapas. Consejo Estatal para la Cultura y las Artes de Chiapas, Centro Estatal de Lenguas, Arte y Literatura Indígenas|||1997|220 pp.|
Roher|Guy||L'Organisation sociale|2||Primera|||Francia|Éditions HMH|Pointd Sciences Humaines||1968|252 pp.|
|||Diccionario Enciclopédico Hachette Castell|||Primera|||España|Ediciones Castell|||1981|816 pp.|
Instituto Nacional de Antropología e Historia|||Vida Cotidiana y Cultura en el México Virreinal|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica|401|2000|390 pp.|
Gutiérrez|Celedonio||A narrative of Human Response to Natural Disater: The Eruption of Paricutin|||Primera|||Texas|Texas A&M University|||1972|78 pp.|Cuad-Fts
Maquivar|María del Consuelo||Los retablos de Tepoztlán|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica|47|1976|105 pp.|Ilus-Fts
|||Noticia Histórica de la Fundación de la Ciudad de Puebla de los Ángeles|||Primera|||Puebla|Comisión Organizadora de los Festejos y Eventos Conmemorativos del 450 Aniversario de la Fundación de Puebla|||1981||Ilus
Aguirre Tinoco|Humberto ||Tlacotalpan. Complación Histótica Preliminar de una localidad Típica|||Primera|||Veracruz|Direcció General de Arte Popular|||1972|65 pp.|
Clark University |||Population, Society and Desertification|||Primera|||Massachusets|Program in Internationa Development and ocial Change|||1976|121 pp.|Mps- Ilus
Megchun Rivera|Rodrigo||Los terrenos recuperados. Construcción Identitaria de los Zapatistas de la Cañada Patwitz(Ocosingo, Chiapas) en torno al Principo sociocultural del Trabajo|||Primera|||México||||2005||
Aguilar Zeleny|Alejandro Sergio ||Noreste de México|||Primera|||Sonora|Consejo Nacional para la Cultura y las Artes. Instituto Nacional de Antropología e Historia|Colección Noreste de México |14|2003|199 pp.|Cuad-Ilus
