Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Thevenin|R.|||El origen de los animales domésticos |||Primera||Trad. Por Mario Testa|Buenos Aires|Editorial Universitaria de Buenos Aires|Colección Cuadernos|40|1961|59||
||||El origen de las especies|||Primera|||México|CONACYT|||1982|120|Fotos e ilustraciones|
Ochoa Zazueta|Jesús Angel|||Sociolinguistica de Baja California|||Primera|||Los Mochis, Sinaloa.|Universidad de Occidente de B.C|Colección Científica y Teconológica||1982|321|Fotos y cuadros|
Hossein Nasr|Seyyed|||Islam, Religion, History and Civilization|||Primera|||New York, NY.|HarperSanFrancisco|||2003|198||
Berger|Peter|||El Dosel Sagrado|||Tercera|||Barcelona|Editorial Kairós|||1999|258||
Giménez|Gilberto||Coordinador|Identidades religiosas y sociales en México|||Primera|||México|UNAM|||1996|266|Cuadros|
González Marmolejo|Jorge René|||Sexo y confesión|||Primera|||México|Plaza y Valdés|||2002|249|Cuadros|
||||Los niños de los países en desarrollo|||Primera||Trad. Por Julieta Campos|México, D.F|Fondo de Cultura Económica|||1964|149|Mapa y Cuadros|
||||La profesionalización de la educación normal en México|||Primera|||México, D.F|SEP|||1984|41||
Herrera y Lasso|José|||Apuntes de irrigación. Notas sobre su organización económica en el extranjero y en el país|||Primera|||México, D.F-Morelos|CIESAS-IMTA|||1994|242||
||||El comportamiento animal|||Primera|||Barcelona, España|Salvat Editores|||1973|140|Fotos|
Levine|Robert Paul|||Genética|||Primera|1970|Trad. Por Fidel Márquez Sánchez|México, D.F|Compañía Editorial Continental|||1964|237|Cuadros|
Macías|Jesús Manuel|||Desastre en Guadalajara: Notas preliminares y testimonios|||Primera|||México, D.F|CIESAS|||1994|234||
Mejía Piñeros |María Consuelo|Sergio Sarmiento Silva||La lucha indígena: un reto a la ortodoxia |||Primera|||México, D.F|Siglo XXI Editores|||1987|290||
Ochoa Zazueta|Jesús Ángel|||Estefania|||Primera|||Mexicalli, B.C|Editorial el Correo de Mexicalli|||1997|103||
Modiano|Nancy|||La educación indígena en los Altos de Chiapas|||Primera|1990||México, D.F|INI|Colección Presencias||1974|276|Cuadros y Fotos|
Vargas|María Eugenia|||Educación e Ideología|||Primera|||México, D.F|CIESAS|Colección Miguel Othón de Mendizábal||1994|261||
Bevan|Bernard|||Los Chinelos y su habitat|||Primera||Trad. Por Celia H. Paschero|México, D.F|INI|Colección INI|75|1987|229|Cuadros y Fotos|
Heinich|Robert|||Tecnología y administración de la enseñanza|||Primera||Trad. Por Francisco González Aramburo|México|Editorial Trillas|||1975|235|Cuadros|
Valencia|Atilano A.|||Bilingual-Bicultural Education for the Spanish-English Bilingual|||Primera|||Las Vegas, New Mexico|New Mexico Highlands University|||1972|83|Cuadros|
Townsend Coles|Edwin|||Adult Education in Developing Countries|||Primera|||Gran Bretaña|Pergamon Press|||1969|144||
Sáenz|Carlos Luis|||Doña Ana|||Primera|||San José, Costa Rica|Edición de Trejos Hermanos|||1969|122|Ilustraciones|
||||Anales de Antropología|||Primera|||México|UNAM||82|1964|248|Cuadros y Fotos|
García|María del Carmen|||Los cuentos de Juan Bobo|||Primera|||Bronx, New York|CANBEE||||19|Ilustraciones|
||||Manual de organización de la dirección general de educación indígena|||Primera|||México, D.F|SEP|||1980|48|Cuadro|
||||Síntesis de los Programas de Estudio del Tercer Año del Ciclo Secundario con Opciones Tecnológicas|||Primera|||México|SEP|||1968|53||
Beancourt Pérez|Antonio|||La pedagogía del anarquismo en México|II|4|Primera|||Merida|Estudios y Ensayos|||1969|85||
||||Documentos sobre la ley general de educación|||Primera|||México|SEP|||1974|76||
||||Plan y Programa de educación prescolar indígena|||Primera|||México|SEP|||1981|71||
