Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Harvey|Neil||La rebelión de Chiapas. La lucha por la tierra y la democracia|||Primera|Primera|Trad. Por Rafael Vargas|México|Ediciones Era|Problemas de México||2000|301 pp.|Cuad - Mps|
Rozo B.|Carlos A.|et. al.|México en la división internacional del trabajo|||Primera|||México|Centro de Investigación y Docencia Económicas|Estudios de caso|1|1984|221 pp.|Cuad|
Vos|Jan de||La paz de Dios y del Rey. La conquista de la Selva Lacandona|||2a.|3a.||México|Secretaría de Educación y Cultura de Chiapas - Fondo de Cultura Económica|||1996|504 pp.|Fts - Mps|
Maldonado Jiménez|Druzo||Deidades y espacio ritual en Cuauhnáhuac y Huaxtepec|||Primera|||México|Universidad Nacional Autónoma de México|||2000|267 pp.|Ilus - Fts - Cuad - Mps|
Comisión Nacional de Derechos Humanos|||Informe sobre el problema de las expulsiones en las comunidades indígenas de los Altos de Chiapas y los derechos humanos|||2a.|||México|Comisión Nacional de Derechos Humanos|||1993|47 pp.||
|||Haciendas de Yucatán. Crónicas de un renacimiento.|||Primera|||México|Editorial Dante|||2004|119 pp.|Fts|
Vélez-Ibáñez|Carlos G.||Border visions. Mexican cultures of the southwest United States|||Primera|2a.||Tucson|The University of Arizona Press|||1996|360 pp.|Ilus - Fts - Cuad - Mps|
Galeana|Patricia||La condición de la mujer indígena y sus derechos fundamentales|||Primera|||México|Federación Mexicana Universitaria - Comisión Nacional de Derechos Humanos - Universidad Nacional Autónoma de México - Secretaría de Gobernación|||1997|462 pp.|Cuad - Mps|
Barabas|Alicia Mabel|et. al.|Los pueblos indígenas de Oaxaca. Atlas etnográfico.|||Primera|||México|Fondo de Cultura Económica - Secretaría de Asuntos Indígenas - CONACULTA - INAH|||2003|255 pp.|Fts - Cuad - Mps|
Ochoa|Arnulfo||Antropología de la gente del mar|||Primera|||México|Instituto Nacional de Antropología e Historia|Divulgación||1988|158 pp.|Ilus - Fts - Cuad - Mps|
Cárdenas Barahona|Eyra||Memoria. 60 años de la ENAH.|||Primera|||México|Instituto Nacional de Antropología e Historia|||1999|484 pp.||
Gutiérrez|Alfonso René||Edición crítica de la vida del V.P. Juan María de Salvatierra escrita por el V.P. César Felipe Doria|||Primera||Trad. Por Lucía Pardo Vda. De Chávez|México|Consejo Nacional para la Cultura y las Artes|||1997|258 pp.||
Diguet|León||Por tierras occidentales entre sierras y barrancas|||Primera||Trad. Por Aurelia Álvarez Urbajtel y Ana Laura Aguilar Retes|México|Centro de Estudios Mexicanos y Centroamericanos de la Embajada de Francia en México - Instituto Nacional Indigenista|||1992|238 pp.|Ilus - Fts|
Buelna|Eustaquio||Peregrinación de los aztecas y nombres geográficos indígenas de Sinaloa|||Primera|||México|Del Agua Impresores|||1887|146 pp.||
Río|Ignacio del||Conquista y aculturación en la California jesuítica|||Primera|||México|Universidad Nacional Autónoma de México|||1984|242 pp.|Mps|
Acevedo Conde|María Luisa|et. al.|Educación internética|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1996|108  pp.||
Mirafuentes Galván|José Luis||Movimientos de resistencia y rebeliones indígenas en el norte de México|I||Primera|||México|Archivo General de la Nación|Documental|3|1975|201 pp.|Mps|
Moya Rubio|Víctor José||La vivienda indígena de México y del mundo|||3a.|||México|Universidad Nacional Autónoma de México|||1988|252 pp.|Ilus - Fts|
Las niñas y los niños de San Ildefonso|||Nuestro pensamiento|||Primera|||México|Consejo Nacional para la Cultura y las Artes|||1998|108 pp.|Ilus|
Olmos Aguilera|Miguel||El sabio de la fiesta. Música y mitología en la religión cahita-tarahumara.|||Primera|||México|Instituto Nacional de Antropología e Historia|Biblioteca del INAH||1998|172 pp.|Ilus - Fts - Cuad - Mps|
Gamboa Carrera|Eduardo||El México desconocido cien años después|||Primera|Primera||México|Instituto Nacional de Antropología e Historia|Divulgación||2000|105 pp.|Fts - Mps|
Tamayo Sánchez|Jesús||La ocupación española de las Californias|||Primera|||México|Plaza y Valdés Editores|||1992|104 pp.|Ilus - Mps|
Escalante H.|Roberto|Zarina Estrada Fernández|Textos y gramática del Pima bajo|||Primera|||México|Universidad de Sonora|||1993|267 pp.|Ilus - Fts - Cuad|
Ochoa Zazueta|Jesús Ángel||Los mayos|||Primera|||México|Universidad de Occidente|||1998|348 pp.|Ilus - Fts - Cuad|
Terrazas Basante|Marcela||En busca de una nueva frontera. Baja California en los proyectos expansionistas norteamericanos 1846-1853|||Primera|||México|Universidad Nacional Autónoma de México|||1995|158 pp.|Mps|
Weber|David J.||La frontera norte de México, 1821-1846|||Primera|||España|Mapfre|Mapfre|1492|1992|525 pp.|Mps|
Giuriati|Paolo|Elio Masferrer Kan|No temas… yo soy tu madre. Estudios socioantropológicos de los peregrinos a la basílica.|||Primera|||México|Plaza y Valdés Editores - Centro Ricerche Socio Religiose|||1998|264 pp.|Fts - Cuad|
Chenaut|Victoria||Aquellos que vuelan. Los totonacos en el Siglo XIX|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista|Historia de los Pueblos Indígenas de México||1995|302 pp.|Ilus - Fts - Mps - Cuad|
Radding|Cynthia||Entre el desierto y la sierra. Las naciones o'odham y tegüima de Sonora, 1530-1840|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista|Historia de los Pueblos Indígenas de México||1995|213 pp.|Ilus - Fts - Mps - Cuad|
Romero Frizzi|María de los Ángeles||El sol y la cruz. Los pueblos indios de Oaxaca colonial.|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista|Historia de los Pueblos Indígenas de México||1996|291 pp.|Ilus - Fts - Mps - Cuad|
Cerón Velázquez|María Enriqueta||Redes sociales y compadrazgo. Indicadores de vitalidad lingüística en una comunidad indígena de Puebla.|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1995|110 pp.|Ilus - Mps - Cuad|
