Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
González Santiago|María Virginia|||Saberes y agricultura como forma de vida.|||Primera|||México, D.F|ENAH|||2003|414|Cuadros, mapas y fotos
Palerm|Ángel|||Sobre la fórmula M-D-M y la articulación del modo campesino de producción al sistema capitalista dominante|||Primera|||[México]|Cuadernos de La Casa Chata||5|1977|23|
||||Avance de Información Económica|||Primera|||Aguascalientes, Ags. |INEGI|||1995|16|Cuadros
Roberts|Bryan|||The Changing Nature of Informal Employment: The Case of Mexico|||Primera|||Austin, Texas|University of Texas at Austin||90-02||29|
Gabayet|Luisa|||Women Transnational Industry: The Case of the Electronics Industry in Guadalajara, Mexico|||Primera|||Guadalajara, México|CIESAS Occidente||90-04||17|
Wilson|Patricia|||Maquiladoras|||Primera|||Austin, Texas|University of Texas at Austin||90-03||38|Cuadros
Wilson|Patricia A.|||The New Maquiladoras: Flexible Prouction in Low Wage Regions|||Primera|||Austin, Texas|University of Texas at Austin||89-01||24|
Brown|Jonathan C.|||Labor and State in the Mexican Oil Expropiation|||Primera|||Austin, Texas|University of Texas at Austin||90-10||33|
Carrillo V. |Jorge|||The Restructuing of the Car Industry in Mexico: Adjustment Policies and Labor Implications|||Primera|||México|El Colegio de la Frontera Norte ||90-05||45|Cuadros
Revel-Mouroz|M. Jean||Responsable|Documents de Recherche|||Primera|||Paris|[CREDAL]|||1981|44|Cuadros, mapas e ilustraciones
Alonso |Angelina|||Los libaneses y la industria textil en puebla|||Primera|||México, D.F|CIESAS |Cuadernos de la Casa Chata|89|1983|181|Cuadros
Javier Ramos |Francisco|||El principio de las ventajas comparativas de Ricardo |||Primera|||México, D.F|UAM Azcapotzalco||35||28|
||||Testimonios para la historia. El Canal Samaria -Golfo de Méxio|||Primera|||[Tabasco]|Colegio Nacional de Economistas -Economistas Tabasqueños A.C|||1979-1981|89|
Revel- Mouroz|Jean||Responsable|Documents de Recherche|||Primera|||Paris|[CREDAL]||||52|Cuadros
||||Sistema de cuentas nacionales de México|||Primera|||Aguascalientes, Ags. |INEGI|||1996|134|Cuadros
Michael|Banton|||The social anthropology of complex societies|||Primera|||New York|Tavistock Publications||||37-69|
Cresson|A.|||La filosofía francesa|||Primera||Trad. Por María Isabel Mármora de Rozitchner|Buenos Aires|Editorial Universitaria de Buenos Aires|||1963|63|
||||Rumania: Iglesias pintadas de Moldavia|||Primera|||Bucarest|UNESCO|||1966|15|
Carrasco |Pedro|||El barrio y la regulación del matrimonio en un pueblo del Valle de México en el Siglo XVI|||Primera|||México, D.F|"""Revista Mexicana de Estudios Históricos"""|||1961|25|Cuadros
D´orbigny|Alcides|||El hombre americano|||Primera||Trad. Por Alfredo Cepeda|Buenos Aires|Editorial Futuro|||1944|411|Cuadros
Basurto|Jorge|||El proletariado Industrial en México (1850-1930)|||Segunda|||México, D.F|UNAM|||1981|298|
Adams|Richard E.W||Compilador|Los orígenes de la civilizavión Maya|||Segunda|1992||México, D.F|Fondo de Cultura Económica|||1989|502|
||||Industrie sous-traitante au Mexique|||Primera|||[México]|IMCE|||1981|39|
Ilich|Ivan|||El mito liberal y la integración social.|||Primera|||México, D.F|CIDOC|||1968|15|
Barchfield|J.W|||Un marco para la elección de nuevas tecnologías en América Latino|||Primera|||[Guanajuato]|Universidad de Guanajuato|||1982|17|
||||Biological effects of radiation|||||||||||6|
Curtis|Robert A.|||Introduction to ionazing radiation|||||||OSHA||||8|
Fentiman|Audeen W.|Mitchell Smith et al||What are the Health Effects of Ionizing Radiation?||||||Ohio|The Ohio State University||||4|Cuadros
||||Ionizing Radiation Fact Sheets Series: No. 2|||||||EPA||||4|Cuadros
Chaudhry|M. Ahmad|Q. Jiang et al||Characterization of Multilocus Lesions in Human Cells Exposed to X Radiation and Radon|||Primera|||Canada|Radioation Research Society|||1996|31-37|Gráficas
Cole|Jane|Michael H.L||Lack of Evidence for an Association between the Frequency of Mutants or Translocations in Circulating Lymphocytes and Exposure to Radon Gas in the Home||||||Canada|Radioation Research Society|||1996|61-68|Gráficas
Selmeczi|D.|B. Szabó et al||Morphological changes in living cell cultures following x-particle irradiation studied by optical and atomic force microscopy||||||Caracas, Venezuela|Universidad Simón Bolivar|||2001|550-553|Ilustraciones
||||Lentes Culturales|||||||||||47|
||||Composición de las lenguas|||||||||||71-102|Cuadros
