Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Firth|Raymond||Tipos humanos|||Primera||Trad. Por Roxana Balay|Argentina|Editorial Universitaria de Buenos Aires|Lectores de EUDEBA||1958|250 pp.|Fts|
Castro|Carlo Antonio||Narraciones tzeltales de Chiapas|||Primera|||México|Universidad Veracruzana|Cuadernos de la facultad de filosofía, letras y ciencias|27|1965|130 pp.||
Mondragón|Lucila|et. al.|Relatos tzotziles. A'yej lo'il ta sot'ilk 'op|||Primera|||México|Consejo Nacional para la Cultura y las Artes|Lenguas de México|10|1995|91 pp.||
Auzias|Jean-Marie||La antropología contemporánea|||Primera||Trad. Por Enrique Molina|Venezuela|Monte Ávila|Estudios||1977|243 pp.||
Lévi-Strauss|Claude||The scope of anthropology|||Primera|3a.|Trad. Por Sherry Ortner Paul y Robert A. Paul|Londres|Jomathan Cape|Cape Editions|1|1969|53 pp.||
Mondragón|Lucila|et. al.|Relatos choles. Albilbä tyi lakty'añ|||Primera|||México|Consejo Nacional para la Cultura y las Artes|Lenguas de México|6|1995|91 pp.||
Goñi|Guillermo||De cómo los mayas perdieron Tulúm|||Primera|||México|Instituto Nacional de Antropología e Historia|Divulgación||1999|174 pp.|Ilus - Fts - Cuad - Mps|
Leach|E.R.||Replanteamiento de la antropología|||Primera||Trad. Por José R. Llobera|Barcelona|Seix Barral|Ciencias humanas||1971|225 pp.|Ilus - Cuad|
Mead|Margaret||Coming of age in Samoa|||Primera|4a.||Gran Bretaña|Penguin Books|Pelican books|A127|1965|240 pp.|Cuad|
Mead|Margaret||Growing up in New Guinea|||Primera|3a.||Gran Bretaña|Penguin Books|Pelican books|A117|1965|272 pp.||
Quintero|Rodolfo||Antropología del petróleo|||4a.|||México|Siglo XXI|||1978|252 pp.|Cuad|
Santiago Sierra|Augusto||Las misiones culturales|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|113|1973|188 pp.||
Freire|Paulo||¿Extensión o comunicación? La concientización en el medio rural|||4a.||Trad. Por Lilian Ronzoni|México|Siglo XXI|||1976|108 pp.||
Aguirre Beltrán|Gonzalo||Teoría y práctica de la educación indígena|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|64|1973|282 pp.||
Secretaría de Educación Pública|||San Luis Potosí|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|157 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Oaxaca|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|181 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Tabasco|||Primera|||México|Secretaría de Educación Pública|Sistema educativo|||132 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Puebla|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|220 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Campeche|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|139 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Zacatecas|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|173 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Aguascalientes|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|149 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Querétaro|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|131 pp.|Cuad - Mps|
Secretaría de Educación Pública|||Chihuahua|||Primera|||México|Secretaría de Educación Pública|Sistema educativo||1976|178 pp.|Cuad - Mps|
Carbó|Teresa||Educar desde la cámara de diputados|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Miguel Othón de Mendizábal|2|1984|420 pp.||
Bravo Ahuja|Victor||Educación media básica|||Primera|||México|Secretaría de Educación Pública|||1974|405 pp.|Cuad|
Jaulin|Robert||Juegos y juguetes. Ensayos de etnotecnología|||Primera||Trad. Por Eduardo Molina|México|Siglo XXI|||1981|220 pp.||
Campos de García|Margarita||Escuela y comunidad en Tepetlaoxtoc|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|89|1973|207 pp.|Fts - Cuad - Mps|
