Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Mead|Margaret||Educación y cultura|||Tercera|||Argentina|Editorial Paidos|Fundamental|4|1972|267 pp.|Mps|
R. Llobera|Josep||La identidad de la antropología|||Primera|||España|Editorial Anagrama|||1990|157 pp.||
Aguirre Beltrán|Gonzalo||Obra antropológica XIV Zongolica encuentro de dioses y santos patronos|||Segunda|||México|Fondo de Cultura Económica|||1992|211 pp.||
Amerlinck|Mari-Jose|Fernando Bontempo|El entorno construido y la antropología: introducción a su estudio interdisciplinar|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología SocialAntropolog|Cuadernos de la casa chata||1994|107 pp.||
Ríos|Guadalupe|Edelmira Ramírez|Día de muertos|||Primera|1997||México|Molinos de viento|Serie Mayor/Tradición|91|1995|181 pp.||
Augé|Marc||Los <<no lugares>> Espacios del anonimato|||Primera|1996|Margarita N. Mizraji|España|Gedisa editorial|Sociología / Comunicación||1992|125 pp.||
Garduño|Ana||Conflictos y alianzas entre Tlatelolco y Tenochtitlán|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección biblioteca del INAH||1997|185 pp.||
N. Adams|Richard||Introducción a la Antropología Aplicada|||Primera|||México|"Editorial ""José de Pineda Ibarra"""|||1964|379 pp.||
Clifford|James||Dilemas de la cultura|||Primera||Carlos Reynoso|España|Gedisa editorial|||1995|429 pp.||
De Vos|Jan||Vivir en la frontera|||Primera|||México|Instituto Nacional Indigenista|Historia de los pueblos indígenas de México||1994|313 pp.|Fts|
Castro|Felipe||La rebelión de los indios y la paz de los españoles|||Primera|||México|Instituto Nacional Indigenista|Historia de los pueblos indígenas de México||1996|170 pp.|Fts|
Cuevas|Mariano||Documentos inéditos del siglo XVI|||Primera|||México|Editorial Porrúa|Biblioteca Porrúa|62|1975|521 pp.||
Revilla Gigedo|||Informe sobre las misiones|||Primera|||México|Editorial Jus|México Heroico|30|1966|372 pp.||
Iparraguirre|Hilda|Mario Camarera|Tiempo y significados|||Primera|||México|Plaza y Valdez Editores|||1997|191 pp.||
Lombardi Satrani|L. M.||Análisis de la cultura subalterna|||Primera|||México|Editorial Galerna|||1974|197 pp.||
González Echeverría|Aurora||Etnografía y comparación|||Primera|||España|Universidad Autonóma de Barcelona|||1990|222 pp.||
Harris|Marvin||El desarrollo de la teoria antropológica|||Primera|||México|Siglo XXI Editores|||1979|690 pp.||
P. Savage|Stephen||Las teorías de Talcott Parsons|||Primera|||México|McGraw - Hill|||1999|251 pp.||
Malagón|Javier|José M. Ots Capdequí|Solórzano y la política indiana|||Segunda|||México|Fondo de Cultura Económica|||1983|115 pp.||
Zavala|Silvio||La colonización española en América|||Primera|||México|Secretaría de Educación Pública|Sepsetentas||1972|165 pp.||
Valdéz|Carlos Manuel|Idelfonso Dávila|Esclavos negros en Saltillo Siglos XVII a XIX|||Primera|||México|Universidad Autonóma de Coahuila|||1989|159 pp.||
D. Sullivan|Thelma||Documentos Tlaxcaltecas del siglo XVI|||Primera|||México|Universidad Nacional Autonóma de México|||1987|350 pp.||
García Icazbalceta|Joaquín||Colección de documentos para la historia de México|||Primera|||México|Editorial Porrúa|Biblioteca Porrúa|47|1858|557 pp.||
McMahon|David||Antropología de una presa|||Primera|1989|Carmen Viqueira|México|Instituto Nacional Indigenista|||1989|174 pp.||
Olivé|León||Ética y diversidad cultural|||Primera|||México|Universidad Nacional Autonóma de México|||1993|312 pp.||
Paz Arellano|Pedro||El otro significado de un monumento histórico|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Divulgación||1999|273 pp.||
Galaviz de Capdeville|Ma. Elena||Rebeliones indígenas en el Norte del Reino de la Nueva España|||Primera|||México|Editorial Campesina|||1967|219 pp.||
Sodré Muniz|||Reinventando la cultura|||Primera|||España|Gedisa editorial|El mamífero parlante||1998|186 pp.||
Sacchetti|Alfredo||Taxa anthropologica de México en el marco mesoamericano|||Primera|||México|Universidad Nacional Autonóma de México|||1983|310 pp.||
Jenkins Molieri|Jorge||El desafio indigena en Nicaragua: el caso de los miskitos|||Primera|||México|Editorial Katún|Realidad social|9|1986|301 pp.||
Stavenhagen|Rodolfo||Sociología y subdesarrollo|||Primera|||México|Editorial Nuestro Tiempo|La cultura al pueblo||1972|236 pp.||
Augé|Marc||La guerra de los sueños|||Primera|||España|Gedisa editorial|||1997|156 pp.||
R. Swanton|John||The indian tribes of north america|||Primera|||EUA|United States Goverment Printing Office|||1953|725 pp.||
Ruz|Mario Humberto||Los legitimos hombres||2|Primera|1990||México|Universidad Nacional Autonóma de México|||1983|323 pp.||
Chavez Orozco|Luis||Las Instituciones Democráticas de los Indígenas Méxicanos en la Epoca Colonial|||Primera|||México|Instituto Indigenista Interamericano|||1943|61 pp.||
Kirchhoff|Paul||Mesoamerica|||Primera|||México|Escuela Nacional de Antropología e Historia|||1960|13 pp.||
M. Moreno|Manuel||La organización política y social de los Aztecas|||Primera|||México|Instituto Nacional de Antropología e Historia|||1962|151 pp.||
Garibay K.|Angel Ma.||Vida economica de Tenochtitlán|||Primera|||México|Universidad Nacional Autonóma de México|||1961|183 pp.||
de la Barreda|Nicolás||Papeles de la Chinantla||2|Primera|||México|Museo Nacional de Antropología|Serie Científica||1960|151 pp.|Fts|
G. Saravia|Atanasio||Apuntes para la historia de la nueva Vizcaya|||Primera|||México|Universidad Nacional Autonóma de México|Nueva biblioteca mexicana|77|1980|380 pp.||
Chavez Orozco|Luis||Indice de ramo de indios||1|Primera|||México|Instituto Indigenista Interamericano|Archivo General de la Nación|4|1951|394 pp.||
Chavez Orozco|Luis||Indice de ramo de indios||2|Primera|||México|Instituto Indigenista Interamericano|Archivo General de la Nación||1953|409 pp.||
Kirchhoff|Paul||Las tribus de la baja california y el libro de P. Baegert|||Primera|||México|José Porrúa e Hijos|||1944|37 pp.||
Pérez de Ribas|Andrés||Páginas para la historia de Sinaloa y Sonora|2||Primera|||México|Editorial Layac|||1944|271 pp.||
Pérez de Ribas|Andrés||Páginas para la historia de Sinaloa y Sonora|3||Primera|||México|Editorial Layac|||1944|356 pp.||
Rebolledo Millán|Dulce María||El movimiento indigena en México|||Primera|||México|Escuela Nacional de Antropología e Historia|||1996|238 pp.||
Kroeber|A. L.||Anthropology Today|||Primera|||EUA|The University of Chicago Press|||1953|966 pp.||
Holbert Turney-high|Harry||General Anthropology|||Primera|||EUA|University of South Carolina|||1949|581 pp.||
Miranda|José||Las ideas y las instituciones politicas mexicanas||1|Primera|||México|Imprenta Universitaria|||1952|368 pp.||
Gortari|Ludka||Pueblos indios en la jurisdicción de la alcaldía mayor de Yahualica|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología SocialAntropolog|Cuadernos de la casa chata|80|1983|157 pp.||
García Acosta|Virginia||Los señores del maíz|||Primera|||México|Pangea Editores|||1990|59 pp.||
Gordon Childe|V.||La evolución social|||Primera||María Rosa de Madrariaga|España|Alianza editorial|||1973|199 pp.||
Benedict|Ruth||Patterns of culture|||Primera|1960||EUA|Mentor Book|||1946|254 pp.||
Barley|Nigel||El antropólogo inocente|||Novena||Ma. José Redellar|España|Editorial Anagrama|||1996|234 pp.||
Gage|Thomas||Viajes en la Nueva España|||Primera|||México|Ediciones casa de las Américas|||1980|247 pp.||
W. Lowe|Gareth||Mesoamérica olmeca: diez preguntas|||Primera|||México|Instituto Nacional de Antropología e Historia|||1998|117 pp.||
Abramo Lauff|Marcelo|Yolanda Barberena Villalobos|El estadio La prensa en México|||Primera|||México|Instituto Nacional de Antropología e Historia|||1998|271 pp.||
Mendez Martínez|Enrique||Indice de ramo de tierras del estado de puebla|||Primera|||México|Instituto Nacional de Antropología e Historia|||1979|300 pp.||
Reyes García|Luis||Documentos sobre tierras y señorios de cuauhtinchan|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Cientifica|57|1978|220 pp.||
Martinez Marín|Carlos||La etnohistoria: Un intento de explicación||8|Primera|||México||||1976|184 pp.||
|||Cartas de religiosos de Nueva España|||Primera|||México|Editorial Salvador Chavez Hayhoe|||1941|202 pp.||
Sullivan|Paul||Conversaciones inconclusas|||Primera||Carlos Gardini|México|Gedisa Editorial|||1991|287 pp.||
Avila Palafox|Ricardo||Jornadas de antropología|||Primera|||México|Editorial Universidad de Guadalajara|Fundamentos||1989|363 pp.||
Mair|Lucy||Introducción a la antropología social|||Primera|||México|Alianza Editorial|Ciencia y Técnica||1965|374 pp.||
|||Estudios de cultura Maya||7|Primera|||México|Universidad Nacional Autonóma de México|||1978|358 pp.||
|||Estudios de cultura Maya||10|Primera|||México|Universidad Nacional Autonóma de México|||1978|346 pp.||
|||Estudios de cultura Maya||11|Primera|||México|Universidad Nacional Autonóma de México|||1979|299 pp.||
|||Estudios de cultura Maya||15|Primera|||México|Universidad Nacional Autonóma de México|||1984|4001 pp.||
|||Estudios de cultura Maya||16|Primera|||México|Universidad Nacional Autonóma de México|||1986|378 pp.||
|||Estudios de cultura Maya||17|Primera|||México|Universidad Nacional Autonóma de México|||1988|489 pp.||
|||Iventario antropológico||4|Primera|||México|Universidad Autonóma Metropolitana|||1998|543 pp.||
