Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Evans - Pritchard|E. E.||Social Anthropology and other essays|||Primera|||EUA|Free Press|||1964|354 pp.||
Augé|Marc||Símbolo, Función e Historia|||Primera|||México|Editorial Grijalbo|Cultura y sociedad||1979|209 pp.||
Baudrillard|Jean||El espejo de la producción|||Primera|||México|Gedisa editorial|Filosofía||1983|178 pp.||
Ludwig|Ed|James Santibañez|The chicanos|||Primera|1977||EUA|Kingsport Press|||1971|286 pp.||
Vazquez|Hector||El estructuralismo, el pensamiento salvaje y la muerte|||Primera|||México|Fondo de Cultura Económica|||1982|247 pp.||
Wolf|Eric||Pueblos y culturas de mesoamérica|||Segunda|1972|Felipe Sarabia|México|Editorial Era|||1959|250 pp.||
Agué|Marc||Las formas del olvido|||Primera|||España|Editorial Gedisa|Antropología||1998|110 pp.||
Huerta Preciado|Maria Teresa||Rebeliones indígenas en el Noreste de México en la época colonial|||Primera|||México|Instituto Nacional de Antropología e Historia|||1966|108 pp.||
Buber|Martin||¿Que es el hombre?|||Primera|1992|Eugenio Ímaz|México|Fondo de Cultura Económica|||1942|153 pp.||
Gonzalez Navarro|Moises||Repartimientos de indios en Nueva Galicia|||Primera|||México|Instituto Nacional de Antropología e Historia|Serie cientifica|1|1977|237 pp.||
Sahlins|Marshall||Islas de historia|||Tercera||Carlos Reynoso|España|Editorial Gedisa|||1997|163 pp.||
Diaz Cruz|Rodrigo||Archipiélago de rituales|||Primera|||España|Anthropos Editorial|Autores, Textos y Temas Antropología||1998|333 pp.||
Evans - Pritchard|E. E.||Ensayo de Antropología Social|||Segunda|1978||España|Siglo XXI Editores|||1974|265 pp.||
Dumont|Louis||Introducción a dos teorias de antropología social|||Primera||José R. Llobera|España|Editorial Anagrama|||1975|278 pp.||
Marzal|Manuel||Historia de la antropología||1|Primera|||Ecuador|Ediciones Abya- Yala|||1998|418 pp.||
Marzal|Manuel||Historia de la antropología||2|Primera|||Ecuador|Ediciones Abya- Yala|||1998|343 pp.||
Marzal|Manuel||Historia de la antropología||3|Primera|||Ecuador|Ediciones Abya- Yala|||1998|237 pp.||
Piña Chan|Román||Cacaxtla|||Primera|2000||México|Fondo de Cultura Económica|||1998|130 pp.||
Basauri|Carlos||La población indígena de México|||Segunda|1990||México|Instituto Nacional Indigenista|||1990|638 pp.|Fts|
García Mora|Carlos||La antropología en México|||Primera|||México|Instituto Nacional de Antropología e Historia|||1988|566 pp.|Mps|
Sperber|Dan||El simbolismo en general|||Primera|1988||México|Anthropos Editorial|Autores, Textos y Temas Antropología||1978|187 pp.||
Cardoso de Oliveira|Roberto|Luís R. Cardoso de Oliveira|Ensaios Antropológicos sobre moral e ética|||Primera|||Brasil|Tempo Brasileiro|||1996|188 pp.||
Rutsch|Mechthild||La historia de la antropología en México|||Primera|||México|Instituto Nacional Indigenista|||1996|331 pp.||
D. Sahlins|Marshall||Las sociedades tribales|||Tercera||Francisco Payarols|España|Editorial Labor|Nueva Colección Labor|134|1984|180 pp.||
Burrus||Zubillaga|El noroeste de México documentos sobre las misiones Jesuíticas|||Primera|||México|Universidad Nacional Autonóma de México|Serie documental|18|1986|674 pp.||
González Rodríguez|Lui||El noroeste novohispano en la época colonial|||Primera|||México|Universidad Nacional Autonóma de México|||1993|613 pp.||
Zavala Castro|Palemón||El indio Tetabiate y la Nación del Río Yaqui|||Primera|||México|Secretaria de Fomento Educativo y Cultura|||1991|293 pp.||
Clavijero|Francisco Xavier||Historia de la antigua o Baja California|||Primera|||México|Editorial Porrúa|"""Sepan cuantos..."""|143|1970|227 pp.|Mps|
de Iturriaga|José Mariano||La Californiada|||Primera|||México|Universidad Nacional Autonóma de México|Cuadernos del centro de estudios clásicos|7|1979|93 pp.||
