Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Fuentes Mata|Irma||El diseño curricular en la danza folclórica: análisis y propuesta|||Primera|||México|Instituto Nacional de las Bellas Artes|Serie de investigación y documentación de las artes segunda epoca||1995|136 pp.||
Palerm Viqueira|||Santa María Tecuanulco|||Primera|||México|Universidad Iberoamericana|Colección Tepetlaostoc||1993|180 pp.||
Cruz Barney|Óscar|Pablo Montero|Historias de San Juan de Ulúa en la historia||IV|Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia - Internacional de Contenedores Asociados de Veracruz|Historias de San Juan de Ulúa en la historia||2001|102 pp.|Fts|
Paz Solorzano|Octavio||Hoguera que fué|||Primera|||México|Universidad Autónoma Metropolitana|||1986|351 pp||
Sarmiento|Sergio|et. al.|Coloquio Conflicto agrario y perspectivas del campo oaxaqueño|||Primera|||Oaxaca|Centro de Investigación y Estudios Superiores en Antropología - Universidad Autónoma Benito Juárezz de Oaxaca - Instituto Nacional Indigenista - Procuraduría Agraria - Secretaría de Desarrollo Agropecuario y Forestal - Secretaría de la Reforma Agraria|||2000|157 pp.|Cuad|2
Zárate Vidal|Margarita|Florence Rosemberg Seifer|Los indios del brasil Su proceso de lucha|||Primera|||México|Universidad Autónoma Metropolitana|Colección csh||1989|190 pp.||
Collin|Laura||Ritual y conflicto|||Primera|||México|Instituto Nacional Indigenista - Secretaría de Desarrollo Social|Fiestas de los pueblos indígenas||1994|123 pp.|Cuad|
Martinez Montiel|Luz María||Presencia africana en centroamérica|||Primera|||México|Consejo Nacional para la Cultura y las Artes|||1993|292 pp.|Mps|
Taipe Campos|Néstor G.||Movimientos campesinos en Colcabamba 1970-1990|||Primera|||Perú|Centro de Apoyo Rural, CEAR - Editorial Horizonte|Realidad peruana|20|1993|228 pp.|Mps|
Alonso|Jorge|Juan Manuel Ramírez Sáiz|La democracia de los abajo en México|||Primera|||México|La jornada ediciones|Colección: La democracia en México||1997|347 pp.||
Bartolomé|Miguel A.|Alicia M. Barabas|Autonomías étnicas y estados nacionales|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Instituto Nacional de Antropología e Historia|||1998|470 pp.|Cuad - Mps|
G. Neiburg|Federico||Identidad y conflicto en la sieerra Mazateca|||Primera|||México|Instituto Nacional de Antropológia e Historia||||||
|||Estudios de historia novohispana||VII|Primera|||México|Universidad Nacional Autónoma de México|||1981|282 pp.|Ilus|
Vargas Martínez|Gustavo||América en un mapa de 1489|||Primera|||México|Sociedad cooperativa de producción|||1996|135 pp.|Mps - Ilus|
