Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Bataillon|Claude|||Las regiones geográficas en México|||Primera|||México, D.F|Siglo XXI Editores|||1969|231|Mapas|
Bottomore|T.B|||Las clases en la sociedad moderna|||Primera||Trad. Por Aníbal Leal|Buenos Aires|Editorial La Pleyade|||1968|157||
Piñeira|David|||American and English Influence on the Early Development of Ensenada, Baja California, México|||Primera|||San Diego, CA|Intitute for Regional Studies of the Californias|||1995|162|Fotos, mapas, ilustraciones y cuadros|
Serradel|Narciso||Compilador|Botánica Agrícola|||Primera|||México, D.F|SEP||44|1945|93||
Solari|Aldo E.|||Sociología rural latinoamericana|||Primera|||Buenos Aires|EUDEBA|||1963|93||
Dumazedier|J.|R.Kaes et al||Ocio y sociedad de clases|||Primera|||Barcelona|Editorial Fontanella|||1971|223|Cuadros|
||||Las clases y la lucha de clases en la sociedad neocolonial cubana|||Primera|||La Habana, Cuba|Editorial de Ciencias Sociales||5|1981|63||
||||Las clases y la lucha de clases en la sociedad neocolonial cubana|||Primera|||La Habana, Cuba|Editorial de Ciencias Sociales||2|1981|65||
Touraine|Alain|||La Imagen Histórica de la sociedad de clases|||Primera|||Buenos Aires|Ediciones Nueva Visión||10|1973|72|Cuadro|
Sepp|Antonio|||Relación de viaje a las misiones jesuítas|I||Primera|||Buenos Aires|EUDEBA|||1971|244|Fotos|
Glantz|Susana|||Manuel. Una biografía político|||Primera|||México, D.F|Editorial Nueva Imagen|||1979|226||
Harnecker|Marta|Gabriela Uribe||Lucha de clases||II|Primera|||México|Editorial Nuevos Horizantes||5||62|Fotos y cuadros|
Gurvitch|Georges|||El concepto de clases sociales|||Segunda||Trad. Por Horacio Crespo|Buenos Aires|Ediciones Galatea-Nueva Visión|||1960|182||
||||La anestesia acupuntural|||Primera|||Pekín|Ediciones en Lenguas Extranjeras|||1973|28|Fotos|
Laroque|Pierre|||Las clases sociales|||Primera||Trad. Por J. Vilaseca|Barcelona|Oikos-tau|||1971|127||
Glezerman|G.|V. Smenov||Clases y lucha de clases|||Primera|||México, D.F|Editorial Grijalbo|Colección 70||1968|157||
Esteinou|Rosario|||Familias de sectores medios: perfiles organizativos y socioculturales|||Primera|||México, D.F|CIESAS|||1996|146|Cuadros|
Limoeiro|Miriam|||La ideología dominante|||Primera||Trad. Por Stella Mastrangelo|México, D.F|Siglo XXI Editores|||1975|298|Cuadros|
Evans|Peter B.|||High technology industry in the americas|||Primera|||La Jolla, CA|Institute of the Americas|||1989|52||
González |Álvaro|Marco Antonio Vásquez|Coordinadores|Etnias, desarrollo, recursos y tecnologías en Oaxaca|||Primera|||México, D.F|CIESAS|Colección Oaxaca||1992|312|Cuadros|
Sills|David L.||Editor|International Encyclopedia of the Social Sciences||5 y 6|Primera|1972||New York|The Macmillan Company & The Free Press|||1968|550|Cuadros|
Sills|David L.||Editor|International Encyclopedia of the Social Sciences||1 y 2|Primera|1972||New York|The Macmillan Company & The Free Press|||1968|567|Cuadros|
Sills|David L.||Editor|International Encyclopedia of the Social Sciences||11 y 12|Primera|1972||New York|The Macmillan Company & The Free Press|||1968|638|Cuadros|
Sills|David L.||Editor|International Encyclopedia of the Social Sciences||15, 16 y 17|Primera|1972||New York|The Macmillan Company & The Free Press|||1968|447|Cuadros|
Sills|David L.||Editor|International Encyclopedia of the Social Sciences||13 y 14|Primera|1972||New York|The Macmillan Company & The Free Press|||1968|586|Cuadros|
Sills|David L.||Editor|International Encyclopedia of the Social Sciences||3 y 4|Primera|1972||New York|The Macmillan Company & The Free Press|||1968|545||
||||Nueva Enciclopedia Temática|10||Primera|||Panama|Editorial Richards|||1963|569|Fotos e ilustraciones|
||||Nueva Enciclopedia Temática|12||Primera|||Panama|Editorial Richards|||1963|583|Fotos e ilustraciones|
||||Nueva Enciclopedia Temática|13||Primera|||Panama|Editorial Richards|||1963|582|Fotos e ilustraciones|
||||Nueva Enciclopedia Temática|6||Primera|||Panama|Editorial Richards|||1963|629|Fotos e ilustraciones|
||||Nueva Enciclopedia Temática|8||Primera|||Panama|Editorial Richards|||1963|533|Fotos e ilustraciones|
||||Nueva Enciclopedia Temática|7||Primera|||Panama|Editorial Richards|||1963|583|Fotos e ilustraciones|
