Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Frilley|Jorge|||La India literaria|||Primera||Trad. Por Dr. M. Rodríguez-Navas|México, D.F|Editora Nacional|Etnolinguística |33|1967|222|Imágenes|
Alonzo Caamal|Bartolomé|||Los mayas en a política, a través de Chichimilah, Yucatán|||Primera|||México, D.F|INI-SEP|||1982||Cuadros|
Guerrero Díaz|Gregorio|||La tierra y unidad familiar|||Primera|||México, D.F|INI-SEP|Etnolinguística |32|1982|96|Cuadros e ilustraciones|
Cruz Díaz|Oscar Alvaro|||La solidaridad social como base de la resistencia a partir del intercambio|||Primera|||México, D.F|INI-SEP|Etnolinguística |31|1982|120|Mapa y Cuadros|
Ibarguengoitia|Jorge|||El atentado|||Primera|||México, D.F|Editorial |Joaquín Mortiz||1978|80||
Khayyám|Omar|Saadi-Hafiz||Tres poetas persas|||Primera|||México, D.F|Ediciones Oasis |Colección Literaria||1964|120||
Cornelius|Wayne A.|Judith Gentleman et al |Editores|Mexico´s alernative political features|||Primera|||San Diego, CA|Center for U.S-Mexican Studies-University of San Diego.|||1989|471|Cuadros y mapas|
Drake|Paul W.|Eduardo Silva|Editores|Elections and Democratization in Latin America, 1980-85|||Primera|||San Diego, CA|Center for Iberian and Latin American Studies, University of San Diego|||1986|335|Cuadros y mapas|
