Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Castro Morales|Efraín ||Editor|Estudios y documentos de la región de Puebla y Tlaxcala||II|Primera|||Puebla, Puebla|Universidad Autónoma de Puebla-Instituto Poblano de Antropología e Historia|||1970|143|Fotos|
Castro Morales|Efraín ||Editor|Estudios y documentos de la región de Puebla y Tlaxcala||III|Primera|||Puebla, Puebla|Universidad Autónoma de Puebla-Instituto Poblano de Antropología e Historia|||1971|155|Cuadros y planos|
Sánchez Bueno|María Cristina|||El papel y la marca de agua en el México colonial|||Primera|||México, D.F|INAH|||1981|485|Ilustraciones|
Bonilla Contreras|Daisy Mary|Valeriano Bonilla Contreras||Antropología del exilio salvadoreño en la ciudad de México 1979-1992|||Primera|||México, D.F|INAH-SEP|||1993|85||
Medina |Andrés||Compilador|¿Existe una antropología marxista?|||Primera|||México|UNAM|||1982|134||
Wolf|Eric R.|||Europe and the people without history|||Primera|||Berkely and Los Angeles |University of California Press|||1982|503|Ilustraciones|
Haidar|Julieta|||El estructuralismo|II||Primera|||México, D.F|Juan Pablos Editor|||1990|196||
García Miranda|Juan José|Orrego Bejarano et al||Antropología: Proceso, mercado y perspectivas|||Primera|||Huancayo, Perú|CEAR- Ediciones Azalea|||1997|101||
Hernández Sifontes|Julio|||Realidad Jurídica del indígena guatemalteco|||Primera|||Guatemala|"Editorial ""José Pineda Ibarra"""|||1965|413|Mapa|
Doughty|Paul L.|||Huaylas|||Primera|||México|Instituto Indigenista Interamericano||54|1970|341|Cuadros |
Von Mentz|Brígida|||Pueblos de indios , mulatos y mestizos|||Primera|||México, D.F|CIESAS|Ediciones de La casa chata|30|1988|189|Fotos y cuadros|
Del Castillo V. |Gustavo|||Crisis y transformación de una sociedad tradicional |||Primera|||México, D.F|CIESAS|Ediciones de La casa chata|10|1979|177|Cuadros|
||||Desarrollo y cambio social en América Latina|||Primera|||Santiago de Chile|CEPAL|||1977|62|Cuadros|
Goldman|Irving|||Los cubeo|||Primera|||México|Instituto Indigenista Interamericano||49|1968|404||
|Sabogal Wiesse|José R.||La comunidad andina|||Primera|||México|Instituto Indigenista Interamericano||51|1969|272|Cuadros e ilustraciones|
Kardiner|Abram|Lionel Ovesey||La marca de la opresión|||Primera|||Xalapa|Universidad Veracruzana||16|1962|513||
||||Huexotzingo|||Primera|||[México]|INAH|||1956|37|Fotos|
||||Mundos Africanos|||Primera|||México, D.F|Fondo de Cultura Económica|||1959|349||
Kennedy|John G.|||INAPUCHI|||Primera|||México, D.F|Instituto Indigenista Interamericano||58|1970|255|Fotos y cuadros|
Monjarás-Ruiz|Jesús|Elena Limón et al|Editores|Obras de Robert H. Barlow. Fuentes y estudios sobre el México indígena||V|Primera|||México, D.F|INAH-UDLA|||1994|523|Ilustraciones|
||||Teoría e investigación antropológica social mexicana|||Primera|||México, D.F|CIESAS|Cuadernos de la casa chata|160|1988|362||
Rivera|Miguel||Editor|Chilam Balam de Chumayel|||Primera|||Madrid|Historia 16|||1986|165|Ilustraciones|
De Zorita |Alonso|||Los señores de la Nueva España|||Segunda|||México|UNAM|||1963|205||
Morales Bermúdez|Jesús|||Memorial del tiempo o vía de las conversaciones|||Primera|||Tuxtla Gutiérrez, Chiapas|Consejo Estatal para la Cultura y las Artes de Chiapas|||2003|201||
Perrot |Dominique |Roy Preiswerk||Etnocentrismo e historia|||Primera|||México, D.F|Editorial Nueva Imagen|||1979|397||
Claessen|Henri J.M|Peter Skalník||The study of the state|||Primera|||La Haya, Holanda|Mounton|||1981|535|Cuadros|
Faron|Luis C.|||Los mapuche |||Primera|||México|Instituto Indigenista Interamericano||53|1969|284|Cuadros e ilustraciones|
De León Pasquel|Lourdes|||La llegada del alma. Lenguaje, infancia y socialización entre los mayas de zinacantán|||Primera|||México, D.F|CIESAS-CONACULTA-INAH|||2005|396|Cuadros y fotos|
Freyre|Gilberto|||Cuadernos del Seminario de integración social Guatemalteca|||Primera|||Guatemala|"""José Pineda Ibarra"""|||1959|39||
Rojas Rabiela|Teresa||Coordinadora|Agricultura indígena: pasado y presente|||Primera|1994||México|CIESAS|||1994|397|Cuadros, mapas e ilustraciones|
||||Fray Alonso de Molina. Confesionario mayor en la lengua mexicana y castellana|||Quinta|||Mexico, D.F|UNAM|||1984|124|Ilustraciones|
Allen|George|Unwin Ltd||Horizons of Anthropology|||Primera|||Gran Bretaña|Aldine Publishing Company|||1965|288||
Worsley|Peter|||Una nueva fuerza vital en los asuntos internaconales|||Primera||Trad. Por Matí Soler|México, D.F|Siglo XXI Editores|||1966|269||
Thurnwald|Hilde|||Sociologus |||Primera|||Berlin|Duncker & Humbolt|||1970|17-41||
Stavenhagen|Rodolfo|||La cuestión étnica|||Primera||Trad. Por Francisco Segovia|México, D.F|El colegio de México|||2001|279||
Peréz Arce|Francisco|||Hotel Balmori|||Primera|||México, D.F|Editorial Joaquín Mortiz|||2004|215||
Illades Aguiar|Lilián|||La rebelión de Tomóchic|||Primera|||México, D.F|INAH|||1993|111|Foto|
||||El programa andino|||Segunda|||Ginebra, Suiza|Organización Internacional del Trabajo|||1961|128|Fotos|
||||Manual de la familia|||Primera|||México|CONAPO|||1982|120|Cuadros e ilustraciones|2
Gerhard|Peter|||La frontera norte de la Nueva España|||Primera|||México|UNAM|||1996|554|Mapas y cuadros|
Noelle Chamoux|Marie|Daniéle Dehouve et al|Coordinadoras|Prestar y pedir prestado. Relaciones sociales y crédito en México del siglo XVI al XX|||Primera|||México, D.F|CIESAS-Centro de Estudios Mexicanos y Centroamericanos|||1993|248|Mapas y cuadros|
Métraux|A.|||La isla de pascua|||Primera||Trad. Por J.J Arreola|México, D.F|Fondo de Cultura Económica|||1950|263|Fotos|
Schaedel|Richard P.|||La demografía y los recursos humanos del Sur del Perú|||Primera|||México|Instituto Indigenista Interamericano|||1967|129|Mapas |
Lewis|John|Bernard Towers||¿Mono desnudo u Homo Sapiens?|||Primera||Trad. Por Manuel Vázquez|Barcelona|Plaza & Janes|||1970|158||
Peristiany|J.G|||El concepto del honor en la sociedad mediterránea|||Primera||Trad. Por J.M García de la Mora|Barcelona|Editorial Labor|||1968|242|Cuadros|
Pitt-rivers|j.a|||Los hombres de la Sierra|||Primera||Trad. Por Ángel Arnau|Barcelona- México, D.F|Ediciones Grijalbo|Dimensiones Hispánicas|2|1971|259||
Echenique March|Felipe I.|||Historia de la Nueva México|||Primera|||México, D.F|INAH|||1993|517||
González|Luis|||El entuerto de la Conquista|||Primera|||México, D.F|SEP|||1984|269||
Klor de Alva|Jorge J.|Gary H. Gossen et al||De palabra y obra en el nuevo mundo   4.-Tramas de la Identidad|||Primera||Trad. Por Fernando Borrajo et al|Madrid|Siglo XXI Editores|||1995|555||
Ortiz-Osés|Andrés|||Antropología Hermenéutica |||Primera|||Madrid|Editorial Ricardo Aguilera|Colección Orbe|15|1973|144||
Díaz del Castillo|Bernal|||Historia de la conquista de La Nueva España|||Sexta|||México|Editorial Porrúa||5|1968|648|Mapa|
Gunder Frank|Andre|||Capitalism and underdevelopment in Latin Ameriva|||Primera|1969||Londres, Inglaterra|Modern Reader Paper|||1967|343||
De Vos|Jan|||Viajes al Desierto de la Soledad|||Primera|||México|Consejo Nacional de Fomento Educativo|||1988|323|Fotos y mapas|
Tapia Hernández|Silverio||Compilador|Principales declaraciones y tratados internacionales de derechos humanos ratificados por México|||Primera|||Mexico|Comisión Nacional de Derechos Humanos|||1999|540||
||||La república de Indios de Don Vicente González de Santianes|||Primera|||Ciudad Victoria, Tamaulipas|Editorial Jus|||1983|71||
Kuroda|Etsuko|||Los rituales mixes-entre sacrificio y catolicismo-|||Primera|||[Medio Oriente]||||1976|32|Cuadros|
Echenique March|Felipe I.|||Fuentes para el estudio de los pueblos de naturales de la Nueva España|||Primera|||México, D.F|INAH|||1992|463||
Díaz Cadena|Ismael|||Libro de tributos del marquesado del valle |||Primera|||México|BNAH-INAH|||1978|44[60]||
Palomo|Gerardo|||Tributo y sociedad: Notas en torno a una problemática del siglo XVI|||Primera|||México|CIESAS|||1981|88||
Mohar|Luz María|||Modificaciones del tributo prehispánico en Oaxaca en el sigo XVI|||Segunda|||México|CIESAS|Cuadernos de la casa chata||1983|104|Cuadros y mapas|
Muriel |Josefina|||Hospitales de la Nueva España|II||Primera|||México, D.F|Editorial Jus|||1960|403|Mapas y fotos|
Sekeli|Tibor|||Ocaso en el paraíso|||Primera|||México, D.F|Editorial Constancia|||1954|282|Fotos|
Goubaud Carrera|Antonio|||Indigenismo|||Primera|||Guatemala|Editorial José Pineda Ibarra|||1964|258|Cuadros|
Termer|Franz|||Etnología y etnografía de Guatemala|||Primera|||Guatemala|Editorial del Ministerio de Educación Pública|||1957|299|Ilustraciones|
Palmer |Paula|Juana Sánchez et al||Vías de extinción, vías de supervivencia|||Primera|||San José, Costa Rica|Editorial de la Universidad de Costa Rica|||1992|116|Ilustraciones, fotos y mapa|
Loeb|Edwin M.|||International Journal of American Linguistics|II|28|Primera|||Bloomington, Indiana|Indiana University Research Center||3|1962|383|Mapas, fotos e ilustraciones|
Mathes|Michael W.|||Apartación a la Historiografía de California|I||Primera|||Madrid|Ediciones José Porrúa Turanzas|Colección Chimalistac|45|1987|232|Cuadros|
Childe|V. Gordon|||Sociedad y conocimiento|||Primera|||Buenos Aires, Argentina|Ediciones Galatea Nueva Visión|||1958|141||
A. White|Leslie|||La ciencia de la cultura||22|Primera||Trad. Por Gerardo Steenks|Buenos Aires, Argentina|Editorial Paidós|||1974|398||
Larrañaga Salazar|Eduardo|||Ensayo de introducción al derecho de la cultura|||Primera|||México, D.F|Universidad Autónoma Metropolitana|||1980|66||
