Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Lisón Tolosana|Carmelo|||Ensayos de antropología social|||Segunda|||Madrid|Editorial Ayuso||5|1978|286|Cuadros|
Rumazo G.|Afonso|||Manuela Saenz|||Primera|||Quito, Ecuador|Clasicos Ariel||32||192||
Leclerc|G.|||Antropología y Conolialismo |||Primera||Trad. Por Jesús Martínez de Velasco|Madrid, España|Alberto Editor ||28|1973|274||
||||Historia del Movimiento campesino|||Primera|||Santiago de Chile|Grupo de Investigaciones Agrarias|||1983|85|Fotos y Cuadros|
Navarrete |Carlos|||Los arriegos del agua|||Primera|||Tuxtla Gutiérrez, Chiapas|Consejo Estatal para la Cultura y las Artes de Chiapas|||2001|178||
Flores |Edmundo|||Tratado de economía agrícola|||Primera|||México, D.F|Fondo de Cultura Económica|||1961|442|Cuadros|
Filgueira|Carlos|Carlo Geneletti||Estratificación y Movilidad Ocupacional en América Latina|||Primera|||Santiago de Chile|Naciones Unidas||39|1981|169|Cuadros|
||||Mecanismos de protección a los derechos humanos|||Primera|||México, D.F|Comisión Nacional de Derechos Humanos||9|2005|164|Cuadros|
Kobayashi|Munehiro|||Tres estudios sobre el sistema tributario de los mexicas|||Primera|||México, D.F|CIESAS- Kbe City University of Foreign Studies|||1993|171|Cuadros y mapas|
||||Colonialismo y neocolonialismo|||Primera|||Barcelona, España|SAVAT EDITORES||63|1973|142|Fotos y Cuadros|
Barrera Bassols|Dalia|Cristina Oehmichen Bazán|Editoras|Migración y relaciones de género en México|||Primera|||México|GIMTRAP-UNAM|||2000|414|Cuadros|
Tovar de Teresa|Guillermo|||La ciudad de los Palacios: crónica de un patrimonio perdido.|I||Segunda|||México, D.F|Fundación Cultural Televisa|||1991|191|Fotos|
Tovar de Teresa|Guillermo|||La ciudad de los Palacios: crónica de un patrimonio perdido.|II||Segunda|||México, D.F|Fundación Cultural Televisa|||1991|191|Fotos|
||||Catálogo Nacional. Monumetos Históricos Inmuebles. Baja California|||Primera|||México, D.F|SEP-INAH- Programa Cultural de las Fronteras|||1986|706|Cuadros, fotos y planos|
||||Teotenango: El antiguo lugar de la muralla|II||Primera|||Edo. Méx.|Gobierno del Estado de México|||1975|571|Cuadros, ilustraciones, fotos y mapas|
||||Teotenango: El antiguo lugar de la muralla|I||Primera|||Edo. Méx.|Gobierno del Estado de México|||[1975]|307|Cuadros, ilustraciones, fotos y mapas|
Peréz-Enriquez|Ma. Isabel|||Expulsiones Indígenas|||Primera|||México, D.F|Claves Latinoamericanas|||1994|315|Cuadros, mapas y fotos|
Young |Pauline V.|||Métodos Científicos de Investigación Social|||Segunda||Trad. Por Angela|México, D.F|Instituto de Investigaciones Sociales de la Universidad Nacional |||1960|665|Cuadros y mapas|
Vansina|Jan|||La tradición oral|||Segunda|||Barcelona, España|Editorial Labor|Nueva colección labor||1968|224|Cuadros|
Maisonneuve|Jean|||Las conductas rituales|||Primera||Trad. Por Viviana Ackerman|Buenos Aires|Ediciones Nueva Visión|Colección Claves||2005|110||
Beltrán|Delia|||Los ríos que van a dar en la mar|||Primera|||Códoba|Alción Editora|||1997|74||
Aceves Lozano|Jorge E.|||Historia oral e historias de vida|||Segunda|||México, D.F|CIESAS|Colección Miguel Othón de Mendizábal||1996|258||
