Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Wen|Qi||China. Geografía, historia, política, economía, cultura.|||2a.|||Beijing|Ediciones en Lenguas Extranjeras|||1981|273 pp.|Ilus - Fts - Cuad - Mps|
Mende|Tibor||La india contemporánea|||Primera|||México|Fondo de Cultura Económica|Breviarios|91|1954|321 pp.|Fts|
Cruz|Víctor de la||El general Charis y la pacificación del México postrevolucionario|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Ediciones de la casa Chata||1993|257 pp.|Ilus - Fts|
Rayón|Ignacio|et. al.|La independencia según Igracio Rayón|||Primera|||México|Secretaría de Educación Pública|||1985|273 oo.||
Herrejón|Carlos||Morelos. Antología documental.|||Primera|||México|Secretaría de Educación Pública|||1985|178 pp.||
Turner|Paul R.||Los chontales de los altos|||Primera||Trad. Por Carmen Viqueira de Palerm|México|Secretaría de Educación Pública|Sepsetentas|119|1972|175 pp.|Fts|
Alperóvich|M.S.|B.T. Rudenko|La revolución mexicana de 1910-1917 y la política de los Estados Unidos|||Primera||Trad. Por Makedonio Garza y Armén Ohanián, et. Al.|México|Fondo de Cultura Popular|Pasado y presente de México|1|1960|334 pp.||
Bosch García|Carlos||El endeudamiento de México|III||Primera|||México|Universidad Nacional Autónoma de México|Documentos de la relación de México con los Estados Unidos||1984|667 pp.||
Mena Brito|Bernardino||Carranza, sus amigos, sus enemigos.|||Primera|||México|Ediciones Botas|||1935|689 pp.|Fts|
Cottrell|Leonard||Egipto|||Primera||Trad. Por Martí Soler|México|Joaquín Moritz|Culturas básicas del mundo||1964|111 pp.|Ilus|
Murray|M.A.||The splendour that was Egypt|||Primera|7a.||Londres|Four Square|||1962|268 pp.|Ilus - Cuad - Mps|
Cervantes|Federico||Felipe Ángeles y la revolución de 1913|||Primera|||México||||1942|281 pp.|Fts|
Gurrión|Evaristo C.||Biografía de Adolfo C. Gurrión|||2a.|||Oaxaca|H. Ayuntamiento Popular de Juchitán, Oax.|||1983|43 pp.|Ilus|
VV.AA.|||Historia general de México|1||3a.|2a.||México|El Colegio de México - Harla|||1987|734 pp.|Ilus - Cuad - Mps|
VV.AA.|||Historia general de México|2||3a.|2a.||México|El Colegio de México - Harla|||1988|1585 pp.|Ilus - Cuad - Mps|
Chávez Orozco|Luis||El sitio de Cuautla|||Primera|||México|Comisión Nacional Editorial|||1976|200 pp.|Ilus - Mps|
Elliott|J.H.||El viejo mundo y el nuevo 1492-1650|||Primera||Trad. Por Rafael Sánchez Mantero|Madrid|Alianza Editorial|||1972|157 pp.||
Gouy-Gilbert|Cécile||Una resistencia india. Los yaquis.|||Primera||Trad. Por Rocío Alonzo Cabrera|México|Instituto Nacional Indigenista - Centre d'Études Mexicaines et Centramericaines|Colección INI|71|1985|221 pp.|Cuad - Mps|
Jaramillo|Rubén M.|Froylán C. Manjarrez|Rubén Jaramillo. Autobiografía y asesinato.|||Primera|||México|Editorial Nuestro Tiempo|Temas de actualidad||1967|167 pp.||
Kitto|H.D.F.||Los griegos|||Primera||Trad. Por Delfín Leocadio Garasa|Argentina|Editorial Universitaria de Buenos Aires|Lectores de EUDEBA||1962|357 pp.||
|||Great changes in Tibet|||Primera|||Pekín|Foreign Languages Press|||1972|53 pp.|Fts|
González Palencia|Ángel||Historia de la España musulmana|||4a.|||Barcelona|Editorial Labor|Labor. Ciencias históricas|69|1945|228 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||México. 50 años de revolución. I. La economía.|I||Primera|||México|Fondo de Cultura Económica|||1960|619 pp.|Cuad|
Brenner|Anita||El viento que barrió a México|||Primera|||México|Gobierno del Estado de Aguascalientes|||1975|321 pp.|Fts|
Gómez Robledo|Antonio||México y el arbitraje internacional|||Primera|||México|Editorial Porrúa|Biblioteca Porrúa|28|1965|412 pp.|Mps|
