Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Juárez Maza|Benito||Cartas y telegramas del archivo José F. Gómez|||Primera|||Oaxaca|H. Ayuntamiento Popular de Juchitán, Oax.|||1982|83 pp.|Ilus|
Gómez-Quiñonez|Juan||Sembradores. Ricardo Flores Magón y el partido liberal mexicano: a eulogy and critique|||Primera|||Los Ángeles|Aztlan Publications|||1973|172 pp.|Fts|
Aguilar Mora|Jorge||Un día en la vida del general Obregón|||Primera|||México|Martín Casillas|Memoria y olvido: imágenes de México|XVI|1982|62 pp.|Fts|
VV.AA.|||México. 50 años de revolución. IV. La cultura.|IV||Primera|||México|Fondo de Cultura Económica|||1962|635 pp.|Ilus - Fts - Cuad - Mps|
Nunis, Jr.|Doyce B.||The California diary of Faxon Dean Atherton 1836-1839|||Primera|||California|California Historical Society|||1964|246 pp.|Fts - Mps|
|||Benito Juárez. Correspondencia 1862 y 1867|||Primera|||México|Centro de Estudios de Historia de México CONDUMEX|||1972|60 pp.||
Tapia|Santiago||Diario de prisionero|||Primera|||Puebla|Instituto Poblano de Antropología e Historia|||1970|57 pp.|Fts|
Martínez Vásquez|Víctor Raúl|et. al.|La revolución en Oaxaca 1900-1930|||Primera|||México|Instituto de Administración Pública de Oaxaca|||1985|414 pp.|Fts|
Marschall|Wolfgang||Influencias asiáticas en las culturas de la América antigua. Estudios de su historia.|||Primera||Trad. Por Beatriz Medina|México|Ediciones Euroamericanas|||1979|201 pp.|Ilus - Fts - Mps|
Díaz|Luis Miguel||México y las comisiones internacionales de reclamación|II||Primera|||México|Universidad Nacional Autónoma de México|||1983|1778 pp.|Cuad|
Bassols Batalla|Narciso||Obregón|||Primera|||México|Editorial Nuestro Tiempo|Pensamiento político de México|1|1967|191 pp.|Cuad|
Yutang|Lin||China|||Primera||Trad. Por Carlos Villegas|México|Joaquín Moritz|Culturas básicas del mundo||1964|118 pp.|Ilus - Cuad - Mps|
Malet|Alberto|J. Isaac|La edad media|||Primera|||Buenos Aires|Librería Hachette|||1943|221 pp.|Ilus - Fts - Mps|
Myres|J.L.||El amanecer de la historia|||Primera|||México|Fondo de Cultura Económica|Breviarios|35|1950|198 pp.||
Secco Ellauri|Óscar|Pedro Daniel Baridon|Historia universal. Época moderna.|||10a.|||Buenos Aires|Rapelusz|||1959|316 pp.|Ilus - Fts - Cuad - Mps|
Frankfort|Henri||The birth of civilization in the near east|||Primera|||New York|Doubleday Anchor||||142 pp.|Ilus - Fts|
García Alcaraz|Agustín||Tinujei. Los triquis de Copala.|||Primera|||México|Comisión del Río Balsas|||1973|114 pp.|Ilus - Fts - Cuad - Mps|
Arnold|Prof. Robert F.||Cultura del renacimiento|||3a.|Primera|Trad. Por Prof. Salvador Minguijón y Adrián|Barcelona|Editorial Labor|Labor. Ciencias históricas|21|1949|174 pp.|Fts|
Sempat Assadourian|Carlos||El sistema de la economía colonial. El mercado interior, regiones y espacio económico|||Primera|||México|Editorial Nueva Imagen|||1983|367 pp.|Cuad|
Goodrich|L.C.||Historia del pueblo chino|||2a.||Trad. Por Vicente Gaos|México|Fondo de Cultura Económica|Breviarios|30|1954|298 pp.|Fts - Cuad - Mps|
Commons|Áurea||Las intendencias de la Nueva España|||Primera|||México|Universidad Nacional Autónoma de México|Espacio y tiempo|4|1993|253 pp.|Cuad - Mps|
Contenau|Georges||Antiguas civilizaciones del Asia anterior|||Primera||Trad. Por Eugenio Abril|Argentina|Editorial Universitaria de Buenos Aires|Cuadernos de EUDEBA|43|1961|62 pp.|Cuad - Mps|
Domínguez Ort+iz|Antonio||La sociedad española en el siglo XVIII||I|Primera|||Madrid|Instituto Balmes de Sociología|Monografías histórico-sociales||1955|396 pp.|Cuad|
Pérez-Rocha|Emma||Servicio personal y tributo en Coyoacán: 1551-1553|||Primera|||México|Centro de Investigaciones Superiores del INAH|Cuadernos de la casa Chata|8|1978|114 pp.|Cuad|
|||Acta constitutiva de la federación mexicana y otros documentos relativos al establecimiento de la República Federal|||Primera|||Puebla|Gobierno del Estado de Puebla|||1974|8 pp.|Ilus|
Pérez Montfort|Ricardo|Lina Odena Güemes|Por la patria y por la raza. Tres movimientos nacionalistas 1930-1940. Documentos.|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa Chata|54|1982|288 pp.||
|||Chapultepec en la guerra con los Estados Unidos|||Primera|||México|Instituto Nacional de Antropología e Historia - Museo Nacional de Historia|||1947|42 pp.|Ilus - Fts - Mps|
|||Churubusco en la acción militar del 20 de agosto de 1847|||Primera|||México|Instituto Nacional de Antropología e Historia - Museo Nacional de Historia|||1947|85 pp.|Ilus - Fts - Cuad - Mps|
Olveda Legaspi|Jaime||El iturbidismo en Jalisco|||Primera|||México|Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|Cuadernos de los centros|9|1974|15 pp.||
|||La villa de San Felipe de Linares en 1774|||Primera|||Monterrey|Universidad Autónoma de Nuevo León|Actas|4||16 pp.|Fts|
