Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad|
Horowitz|Irving Louis|||Revolución en el Brasil|||Primera||Trad. Por Florentino M. Torner|México, D.F|Fondo de Cultura Económica|Colección Popular||1966|254|||
López Barcenas|Francisco|||Entre lo propio y lo ajeno. El sistema electoral consuetudinario en el estado de Oaxaca|||Primera|||México, D.F|Ce-Acatl|||1998|103|Fotos||
Magnus|Enzensberger|||Política y delito|||Primera||Trad. Por Lucas Sala|Barcelona, España|Editorial Seix Barral|||1966|313|||
Bagú|Sergio|||Marx-Engels: Diez conceptos fundamentales en proyección histórica|||Segunda|||México, D.F|Editorial Nuestro Tiempo|Colección Teoría e Historia||1975|246|||
|Maquiavelo|||El príncipe|||29|||Madrid|Editorial Edaf||4|2004|126|||
Dinerman|Ina R.|||Los tarascos: campesinos y artesanos de Michoacán|||Primera|||México, D.F|SEP|SepSetentas|129|1974|221|||
Harnecker|Marta|Gabriela Uribe||El partido: vanguardia del proletariado|||Primera|||Córdoba|CEP||8|1973|62|||
Rosdolsky|Roman|||"Friedrich Engels y el problema de los pueblos ""sin historia"""|||Primera|||México, D.F|Ediciones pasado y presente ||88|1980|224|||
Valenzuela Feijoo|José C.|||El mundo de hoy. Mercado, razón, utopía|||Primera|||Barcelona, España|Editorial Anthropos||13|1994|56|||
Díaz Polanco|Héctor |Giberto López y Rivas||Nicaragua: Autonomía y revolución.|||Primera|||Panamá|Centro de Capacitación Social|||1986|122|Foto||
Singer|J. David|James N. Rosenau||Sistema global, subsistemas y vinculaciones nacionales internacionales|||Primera||Trad. Por Antonio Bonnano|Buenos Aires, Argentina.|Ediciones Nueva Visión|||1973|105|Cuadros||
Crossman|R.H.S|||Biografía del Estado Moderno|||Cuarta||Trad. Por J.A Fernández de Castro|México, D.F|Fondo de Cultura Económica|Colección Popular|63|1986|351|||
Russel |Bertrand|||Crímenes de guerra en Vietnam|||Tercera||Trad. Por Manuel Aguilar|Madrid|Aguilar Ediciones|||1968|235|||
Levy|Daniel|Gabriel Székely||Estabilidad y cambio: paradojas del sistema político mexicano|||Primera||Trad. Por Carmen Arizmendi|México, D.F|El Colegio de México|||1985|307|Cuadros||
Córdova|Arnaldo|Gerardo Estrada et al||Ciencia política, democracia y elecciones|||Primera|||México, D.F|UNAM|||1989|103|||
Escobar Toledo|Saúl|||La devaluación del poder|||Primera|||[México]|Aguirre Beltrán Editores|||1993|89|Ilustraciones||
Tse-Tung|Mao|||The orientation of the youth movement|||Primera|||Pekín|Foreing Language Press|||1965|15|||
Salazar Mallén|Rubén|||Desarrollo histórico del pensamiento político|I||Tercera|||México, D.F|UNAM|||1980|298|||
Ponce|Anibal|||Humanismo Burgues y Humanismo Proletario|||Primera|||[México]|Ediciones Solidaridad|||1969|158|||
