Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección|Edición|Tomo|Tema|Imprenta|Palabras Clave|Referencias
Cobel de Chedraui Bertha / Chedraui Cobel Carmen Ma.||Recetas para ti que tíenes poco tíempo|México|Aconcagua Ediciones y Publicaciones, S.A.|1985|161|5x8 pulg||||Cocina|Talleres de fotolito H.C.|Botanas, sopas, ensaladas, salsas y aderezos, vegetales, pasta, huevos y arroz, pescados y mariscos, pollo, carnes, postres y galletas, |El libro está formado por una selección de recetas rápidas su tiempo de preparación nunca excede de media hora, fáciles de elaborar y cuyo éxito está ampliamente asegurado.
Comité de Damas de la Sociedad Mexicana de Urología||Recetario de cocina|México||1971-1973|160|8x5 pulg||||Cocina|Editorial Estela, S.A.|Botanas, sopas, ensaladas, pescados, mariscos, carnes, postres, crepas, reposteria|La realización de esta obra ha sido posible gracias a la entusiasta y generosa colaboración de las esposas de los urólogos cristalizando así una idea del Comité de Damas de la Sociedad para recabar fondos que permitan actividades de beneficio para los enfermos necesitados que frecuentemente se encuentran en los hospitales.
Comité de Damas, Asociación de Ingenieros de Minas Metalurgistas y Geólogos de México, A.C.||Recetario Minero |México|Ediámac|1989|79|6.5x8.5 pulg||||Cocina|Imformex|Sopas, pastas, ensaladas, verduras, antojitos, sandwiches, pescados, aves, carnes, postres, |Recetario de la mujer minera 
Cruces Carvajal Ramón||Lo que México aportó al mundo|México|Panorama Editorial|1987|152|6x8.5 pulg||Segunda||Cocina||Antecedentes historicos de las culturas prehispanicas, la riqueza natural del México antiguo, el maiz, el frijol, el chile, el aguacate, la vainilla, el cacao, el chocolate, el tomate, la calabaza, el chayote, el zapote, el mamey, la papaya, la guayaba, el nopal, el maguey, el hule, la espirulina, el tabaco, el algodon, la flor de nochebuena, el guajolote, diferentes minerales, plantas y animales prehispanicos, glosario de voces indigenas|México ha brindado al mundo sus originales recursos naturales como por ejemplo el maíz, el tabaco, el cacao, el chocolate, el guajolote, la hermosa flor de Nochebuena, productos de nuestra fauna y flora que, entre otros, fueron dados a conocer al mundo después de la conquista. 
Cueto Consuelo||Economia domestica nociones de dietética y consejos prácticos para la cocina|México|Salvador Mayol|1942|122|6.5x4.5 pulg|Formación familiar |||Cocina|Ediciones del Comité Central de la J.C.F.M.|Alimentos, ración, peso, regímenes, vitaminas, liquidos, carnes, pescados, leche, mantequilla, huevo, queso, papas, grasas, legumbres, especies, condimentos, verduras, frutas, azúcar, miel, grenetina, horno, higiene, mariscos, cereales, tubérculos, chocolate, minerales, calidad|
D. Morales José||Guía práctica para el análisis de la leche |México||1905|30|8.5x6 pulg||||Cocina|Justo Palencia|Leche, consumo, público, clasificación, lactosa, mantequilla, sanitario|Muy importante para todos los comerciantes del ramo, así como para los inspectores sanitarios y para los ayuntamientos de la república.
De Carbia Maria A.||Marichu va a la cocina y recibe con distinción|México|Editorial Epoca, S.A.|1971|411|6.5x9 pulg||||Cocina|Publimex, S.A.|Consejos y sugerencias útiles para arreglar y servir una mesa, mantelería, servilletas, vajilla, cubiertos, cristalería, las flores y las velas, servicio, doble servicio, bufet, cocteles, vinos, el café, entremeses, sopas, pastas italianas y arroz, huevos, pescados, mariscos, aves, carnes, menudencias, verduras, salsas, ensaladas, dulces calientes y frituras, dulces frios, nieves y helados, repostería, sandwich, ensaladas para té, |Este libro tiene una colección de buenas y raras recetas que con seguridad ayudará a las amas de casa a salirse de la rutina en que todas caemos y a presentar a sus familias y amigos, platillos exquisitos y novedosos.                                                                           La mayoria de las recetas son sencillas y económicas y todas ellas explicadas en forma clara y concisa, no faltando las originales y novedosas del mejor gusto culinario.
De Carbia Maria A.||México en la cocina de Marichu|México|Libros y revistas, S.A.||255|5.5x7.5 pulg||Tercera||Cocina|Editorial Olimpo|Entremeses, sopas, pastas y arroz, huevos, salsas y encurtidos, pescados, carnes, aves, verduras y ensaladas, antojos, bebidas y tamales, dulces, reposteria |Cocina mexicana con recetas prácticas, bien explicadas y con las cantidades especificadas.
De la parra mercedes||Recetas prácticas de cocina y menús|Guadalajara Jal.|Librería Font, S.A.|1950|255|6X7.5 pulg||Segunda||Cocina||Recetas, cocina, sopas, pescados, mariscos, aves, carnes, guisados, ensaladas, verduras, dulces, jaletinas, reposteria |Recetas prácticas de cocina y menús arregladas por la profesora Mercedes de la Parra
De la parra mercedes||Recetas prácticas de cocina y menús|Guadalajara Jal.|Librería Font, S.A.|1945|289|7.5x9 pulg||Primera||Cocina|Grafica|Recetas, cocina, sopas, pescados, mariscos, aves, carnes, diversos guisados, ensaladas, verduras, dulces, jaletinas, reposteria |Recetas prácticas de cocina y menús arregladas por la profesora Mercedes de la Parra
