Nombre del autor|Traducción|Título del libro|Lugar de edicion|Editorial -les|Año|Páginas|Formato|Colección|Edición|Tomo|Tema|Imprenta|Palabras Clave|Referencias
Moreda de D. José||Libro de cocina|Oaxaca||1982||9.5x8 pulg||||Cocina||Pastel, picadillo, sopa, torta, tomates, lomo, mole, tortillas, quesadillas, huevos, salsa, pollo, gallina, cordero, guisado, pavo, pipian, ensaladas, alcachofas, leche, crema, cajeta, arroz, buñuelos, charamuscas, torrejas|Hace algún tiempo sentimos la inquietud de iniciar una investigación documental, anecdótica, costumbrista, de ingredientes y de elaboración, acerca de una de las manifestaciones culturales mas vivas e importantes del estado de Oaxaca: su gastronomía.
Muñoz Rodríguez Lidia||Comida tradicional de Tlaltizapan, Morelos|México|PACMyC|1999|51|5.5x8 pulg||Primera||Cocina|Talleres SUR Comunicación y Medios, S.A. de C.V.|Tlaltizapan: sobre la tierra blanca, recetas, preparados de maíz, guisados, postres, bebidas, bebidas de maíz|El recetario de Tlaltizapan trata sobre la gastronomía que es historia secular de lucha, trabajo y fraternidad.
Nieves||Ramillete del ama de casa|México||1956|422|5.5x7.5 pulg||Segunda||Cocina|Talleres de la Compañía Editorial Continental, S.A.|Sopas y potajes, salsas, huevos y tortillas, pescados, legumbres, carnes, aves y caza, cerdo, arroz, platos variados, repostería|Contiene fórmulas de cocina y reposteria.    Sopas las más variadas, gran número de platos de huevos, carne y pescados; embutidos de diversas clases, los más delicados postres, los mas sabrosos dulces de cocina, turrones, helados, licores.
Pardo Alejandro||El verdadero Práctico |México||1917|241|4.5x6.5 pulg||Tercera||Cocina|Antigua Imprenta de Murguia|Recetas, cocina, pasteleria, reposteria, caldo, sopas, salsas, huevos, pescados, guisados, verduras, pollos, ternera, asados, ensaladas, pastelería, dulcería, vigilia|Mejores formulas ensayadas y coreregidas, fruto de doce años de practicarlas y otros tantos de teoria en los mejores colegios y academias de Europa
Pardo Alejandro||Los 30 menus del mes |México|Herrero Hermanos Sucs|1929|301|4x6.5 pulg||Quinta||Cocina|Imprenta de los editores|Sopas, huevos, pescados, guisado, aves, caza, carne, asados, verduras, ensaladas, antojitos, postres|Manual de la Cocina casera exclusivamente para la republica mexicana
Pardo Alejandro ||El verdadero Práctico |México |Herrero Hermanos Sucesores|1928|676|6x9 pulg||Segunda|único|Cocina|Herrero Hnos|Cocina, alimentos, caldos, sopas, salsas, huevos, tortillas, pescados, carnes, cereales, verduras, aves, ensaladas, menus, pasteleria, pastas, bizcochos, pasteles, dulces, fondant, merengue, levadura, reposteria, refrescos, helados, ponches, rellenos, camisados, mermeladas, confituras, frutas|Cocina, pasteleria, reposteria
Plascencia Q. Ma. Isabel||En cualquier día o mes del año: Maíz y amaranto Raices y alimentos|Cuernavaca||1986|79|8x6 pulg||||Cocina|Talleres gráficos de Impresores de Morelos|Maíz, amaranto, dieta, cocina, mezclas, recetas, pinoles, mazapanes|Recetas antiguas y siempre nuevas, al fogón divino, al tlecuil, a la cocina, como centros rituales y hacedores de seres humanos armónicos:listos para transformar el mundo, desde el ombligo del universo: México Tenochtitlan. 
Quintín Olascoaga José||Cocina Dietética Mexicana|México|Ediciones Oasis, S.A.|1961|185|6.5x8.5 pulg||Primera|I|Cocina|Gráficas Horizonte S.A.|Técnica, culinaria, dietética, fórmulas, valores nutritivos, empírica, popular, comercial, sobrantes, residuos, desechos, costo, frutas, carnes frescas, vegetales, cocción, cuidados sanitarios, leche, agua, plagas, material de aseo, nieves, helados, refrescos, salsas, huevos, aves, pascados, mariscos, gelatinas, leguminosas|Las técnicas de cocina dietética ayudan a mantener en buenas condiciones el estado de nutrición de las personas sanas y de la mayor parte de las enfermas, porque las preparaciones culinarias están adecuadas en todos sus aspectos a las necesidades fisiológicas, fisiopatológicas, psicológicas, económicas y del medio ambiente, al mismo tiempo que se impulsan los hábitos correctos de alimentación y se corrigen progresivamente las costumbres perjudiciales.
Ramirez Carmen||La cocina clasica |México||1937|372|6.5x9 pulg|||I|Cocina|Talleres de la Imprenta Mundial de México|Equipo de la buena cocina, recetas y bases fundamentales, cocina casera y alta cocina, guarniciones, cocktail, sopas caldosas y de crema, sopas secas, recetas fundamentales de huevos, huevos, pescados, carnes, aves, verduras, salsas, antojitos y platos mexicanos, ensaladas, dulces, frituras y pastas secas, pastas y pasteles|Primer libro de cocina y reposteria, recetas garantizadas por la academia de enseñanza moderna de reposteria y cocina. Hacer buena cocina significa proveer al organismo de los alimentos necesarios para la vida, mediante una cocción previa que facilite su digestión y una sana y agradable seslección de platillos que deja una sensación tanto en el paladar como en la propia vida.
Romero Reyes Alfonso Mendoza Gallegos Eder||La comida mexicana |México|Fondo Nacional para el fomento de las artesanias |1982|45|8x5.5 pulg||||Cocina||Comida, nutrición, utensilios, guisos, salsas, fiestas, guisos, antojitos, ritos, rarezas, postres, chocolate|La publicación que tiene en sus manos pertenece a una serie de cuadernos monográficos por ramas artesanales escritos por connotados especialistas.
Ross Elaine||Ahorre tiempo en la cocina|Lima, Perú|Organización Editorial Novaro, S.A./ Distribuidora peruana de publicaciones S.A. (DIPUSA)|1974|64|5x3.5 pulg|Joyitas|||Cocina|Editorial universo|Ablandar, aceite, saltear, aderezos, cocinar, carnes, arroz, cebolla, conservas, crema, curry, chocolate, datiles, ensaladas, fruta, galletas, gelatina, grasa, hierbas, huevos, legumbres, limón, mantequilla, mariscos, merengues, nueces, pastel, salsas, pescado, pollo, sopa, té, vino|Más de 200 ingeniosos consejos que ayudarán tanto al cocinero consumado como al novato 
Suinaga de Fernández Luz de Lourdes||Descanse diez semanas en la cocina||||97|16.5x23 cm||||Cocina|Grabafast, S.A.|Sopas aguadas, sopas secas, ensaladas, pures, verduras, carnes, pescados, pollos, postres|Recopilación de las recetas más faciles y sabrosas que he encontrado en los últimos dieciocho años. El fin de este libro es facilitar al ama de casa en la vida moderna, el problema de pensar y disponer la comida diaria, así como también hacer más rápida la compra de los víveres necesarios para la semana.
Sahagún de Guízar Ma. Teresa||Mi segundo libro de cocina|Cotija, Mich.||1989|245|6.5x9 pulg||Primera||Cocina||Aderezos, ensaladas, sopas, papas, huevos, vegetales, pollos, pescados, antojitos, carnes, dulces, panes, bocadillos, botanas|35 menús económicos, suficientes y fáciles, consejos prácticos, 110 recetas complementarias de los menús.
Simón de Chahín Afifi||Libro de cocina|Orizaba, Ver.|Comité de Damas de la Cruz Roja|1972|344|6.5x8.5 pulg||Primera||Cocina|Taller gráfico Urias|Consejos, lexico culinario, hierbas de olor y las especias, cocktail, sopas, pastas, ensaladas, pescados y mariscos, aves, carnes, platillos mexicanos, platillos diversos, reposteria, postres, gelatinas|Libro de cocina, primera edición segundo libro, Comité de Damas de la Cruz Roja.
Teja Jesus A.||Manual ilustrado de conservación de frutas y legumbres, dulcería, jabonería, perfumería, mangas e impermeables de hule, curtiduría, industrias escolares, barnices y pinturas y muebles imitación bambú|México||1931|151|5.5x7 pulg||||Cocina|"Talleres linotipograficos ""C. Rivadeneyra"""|Conservación, frutas, legumbres, industrias, barnices, pinturas, muebles, carrizo, bambu, jarabe, almibar, utiles, relleno, esterilización, fermentado, ates, vinagre, salsa, dulcería, bombones, cajeta, garapiñado, camotes, crema, cocada, chiclosos, fondant, jaletinas, queso, chongos, nieve, jabonería, lejias, perfumería, pasta, loción, tonico, brillantina, cosmetico, colorete, curtiduría|Conservación de frutas y legumbres, dulcería, jabonería, perfumería, mangas e impermeables de hule, curtiduría, industrias escolares, barnices y pinturas y muebles imitación bambú
Valdes Ramona||Cocina Práctica|||1953|505|5x7.5 pulg||||Cocina|Imp. M. León Sánchez, S.C.|Sopas, salsas, huevos, pescados, carnes, verduras, aves, salchichoneria, reposteria, dulces y helados|Estas recetas han sido experimentadas y enseñadas por mí en las escuelas Corregidora de Querétaro Sor Juana Inés de la Cruz, Enseñanza Doméstica y varias academias particulares durante 15 años, habiendo sido practicadas con todo éxito en mi larga labor en dichas escuelas.
Valdivia Francisca Vda. De Vazquez||Mi nuevo libro Recetas de cocina|Guadalajara|Casa Editorial Carlos Moya|1948|260|4.5x6 pulg||Sexta||Cocina|Imp. Elzeviriana y Lib. Cami S.A.|Consomes y sopas, carnes, pollo, pescado, verduras, ensaladas y salsas, conservas, tortas, postres, ponches y vinos, tepache, atoles, tamales|Conocimientos culinarios, higienicos de buen gusto y modernos, platillos que no dañan los estomagos.
Velazquez de León J.||El tesoro de la cocina |México|J. Velazquez de León|1956|96|5x7 pulg|Selecciones culinarias|Segunda||Cocina||Tamales, atoles|"Todas las recetas de este libro, están experimentadas y garantizadas por la Academia de Cocina, repostería y decorado ""Velazquez de León"""
Velázquez de León J.||El tesoro de la cocina |México|J. Velazquez de León|1956|96|5x7 pulg|Selecciones culinarias|Reimpreión de la Segunda Edición||Cocina||Tamales, atoles|"Todas las recetas de este libro, están experimentadas y garantizadas por la Academia de Cocina, repostería y decorado ""Velazquez de León"""
Velázquez de León Josefina||Aves 30 recetas para prepararlas|México|J. Velazquez de León|1956|48|5.5x7.5 pulg||Primera||Cocina||Aves, pollo, gallina, pavo, mole, ganso, pato, pichones, tortolitas, codornices, pechugas, pastel|Recetas seleccionadas de platillos de pollos, gallinas, pavos, gansos, patos, tórtolas, pichones, codornices
Velázquez de León Josefina||La cocina en el aire|México||1947|149|5.5x7 pulg||Primera||Cocina||Cocktails, sopas, sopas secas, huevos, pescados, aves, carnes, verduras, platillos mexicanos, diversos, cereales, postres, reposteria|En forma condensada contiene desde la preparación de cocktails, sopas caldosas y secas, platillos de entrada como base de esta publicación para terminar con pastas, pasteles y dulces de platón que siempre serán estimados.
Velázquez de léon Josefina||Fuertomate en la cocina |México|Distribuidora del fuerte, S.A. ||32|6.5x4.5 pulg|||Recetario núm. 1|Cocina||Recetas, coctel, camarones, ostiones, entremés, sopa, pasta, tortilla, huevo, pan, camarón, arroz, spaguetti, budín, papa, garbanzos, jamón, calabaza, ejotes, pollo, pescado, taquitos, asado, carne, salsa, mondongo, gelatina, mermelada, pastel, tomate|Mis mejores recetas ahora con fuertomate elemento principal en la cocina mexicana y de gran importancia también en muchos platillos italianos, franceses y españoles.
Velázquez de Léon Josefina||Cocina Instantanea|México|Ediciones J. Velazquez de Leon|1949|122|7.5x5.5 pulg||1A. Edición||Cocina||Cocina, instantanea, latas, cocktails, entremeses, sopas, huevos, pescados, carnes, verduras, antojitos, ensaladas, platillos, frijoles, postres, repostería, helados, refrescos|Ideas prácticas para preparar rápidamente con latas y productos preparados platillos de buen sabor, dulces y repostería.
Velázquez de léon Josefina||Como cocinar en los aparatos modernos|México|Ediciones J. Velázquez de Léon|1950|408|5.5x7.5 pulg||Segunda|I|Cocina||Sopas, caldos, sopas secas, huevos, pescados, aves, carnes, verduras, cereales, especialidades mexicanas, frijoles, postres, menus combinados, careales preparados, aves, reposteria, pan de levadura, diversos, la alta cocina del horno lamex, pasteles, salsas, sandwichsescarchas de fruta, nieves y helados, cocktails, atoles, refrescos, dietetica, algunas formulas de alimentos para enfermos, varios, dulces rellenos|Explicaciones ilustradas del manejo de las Ollas para cocimiento a Presión, del baño de María, del horno lamex, de las licuadoras, batidoras y molde milagro.       Tabla de tiempo para el cocimiento a presión, recetas de platillos y repostería que se confeccionan rápidamente en los mismos aparatos.
Velázquez de León Josefina ||50 recetas de cocina mexicana|México|CFE|1970|28|9x6.5 pulg||||Cocina|Central de Artes Gráficas, S.A. |Mermelada, mole, pastel, pollo, tortilla, salsa, nieve, piña, helado, nuez, fresa, crema, pulque, atole, refresco, horchata, leche, sopa, malteada, postre, piñon, pipian, pepita, calabaza, taquitos, lomo, panques, arroz, trigo, pinole, cerveza, zanahorias, chicharos, espinaca, pure, avena, papa, papaya, naranja, huevo, galletas, pinole, nata, gelatina, mamey, quesadillas, tamales|Doña Josefina Velázquez de León es una de las autoras más conocidas en recetarios de cocina mexicana. Este folleto contiene una selección de 50 recetas de la señora Velázquez de Léon.
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos arroz|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Arroz, crema, papa, zanahoria, chicharos, taquitos, guacamole, calabacitas, betabel, tortas, camarones, poblano, pescado, croquetas, queso, turcos, carne, elote, timbalitos, leche, atole, harina, relicarios, coco, bigotes, nata, postre, horchata|El arroz constituye un alimento muy nutritivo, es rico en calorías, en sales minerales, de fácil digestión y es introducido muy pronto en la dieta del niño en forma de agua de arroz, en atoles; también un gran alimento para el anciano y se aconseja en casi todos los regímenes alimenticios.
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos Leche|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Leche, jocoqui, cuajada, requeson, sopa, flor, calabaza, caracolito, espinacas, arroz, rajas, elote, chayotes, salsa, chiles, encebollados, rellenos, tortitas, avena, gorditas, taquitos, panecitos, piloncillo, naranja, atole, bocadillos, budin, pan, cajeta, cocada, copitas, postre, encaneladas, chongos, zamoranos, cacahuate, flan, gelatinas, rompope, zorrillo |La importancia que tiene la leche como un elemento indispensable en una dieta balanceada, manifestando los nutriólogos la conveniencia de que por lo menos cada persona consuma medio litro de leche diario.
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos Garbanzo|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Garbanzo, sopa, galletas, ostioncito, pan, espinaca, pescado, arroz, zanahoria, col, menudo, nopalitos, chile, pasilla, manteles, salsa, chorizo, acelgas, papa, ensalada, torta, rellena, verdolaga, chicharron, pastel, polvorones, atole, pinole, postre, garapiñados, gorditas, maíz, galleta|
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos Chile|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Chile, serrano, costeño, mirasol, pasilla, chipotle, jalapeño, ancho, mulato, mora, morita, bola, cascabel, piquin, arbol, maxak, chiltepin, anaheim, sopa, pescado, masa, nopalitos, tallarines, queso, huevos, longaniza, chicharron, charales, calabacitas, adobo, espinazo, cerdo, menudo, salsa, taquitos, rellena, chilaquiles, papitas, caldo, tlalpeño, quesadillas, papa, verdolagas, papada, puerco, pambacitos, garnachitas, enchiladas, chilacayotes, tlacoyos|El chile es un renglón tradicional en la dieta del mexicano. Se le come a diario verde o seco y la mayoría de los platillos lo incorporan como un condimento indispensable para el gusto popular. En nuestro país se le tiene como artículo de primera necesidad que unido fundamentalmente al maíz y al frijol forma en el cuadro de nuestra alimentación.
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos Platillos para días festivos|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Barbacoa, olla, aguascalientes, caldo, camarones, campeche, panuchos, coahuila, guisado, norteño, colima, tacos, chiapas, sopa, chihuahua, frijoles, durango, res, cabeza, olla, guanajuato, menudo, guerrero, robalo, pescado, hidalgo, mixiote, jalisco, pozole, méxico, mole, michoacan, chiles, rrellenos, morelos, nayarit, bollos, platano, león, carne, asada, oaxaca, verde, puebla, chalupas, queretaro, chilaquiles, quintana roo, empanadas, cazon, potosi, enchiladas, sinaloa, ostiones, sonora, burros, tabasco, potze, tamaulipas, huasteco, tlaxcala, veracruz, jarochos, yucatan, puerco, zacatecas, espinazo, adobado|Para días festivos, confeccionados bajo las tradiciones de los diversos Estados de la República.
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos Platillos para días festivos|México|Compañía Nacional de Subsistencias populares |1972||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Chilmole, yucatan, robalo, sopa, cazon, campechana, campeche, chiapas, yerba, santa, tlaxcala, frijoles, nopales, guerrero, cebiche, chihuahua, carne, huevo, sonora, menudo, durango, caldillo, guanajuato, rabo, zorra, coahuila, cazuelitas, charra, hidalgo, pastel, pachuca, lomo, chile, aguascalientes, bocado, jalisco, churipo, michoacan, taquitos, barbacoa, mexico, colima, cuachala, clemole, oaxaca, tortillas, harina, leon, morelos, jaibas, chilpachole, veracruz, caldo, jaiba, tamaulipas, tampiqueña, vapor, queretaro, potosi, enchiladas, puebla, salbutes, figadete, zacatecas, almejas, sinaloa, tatishuile, nayarit|Para días festivos, confeccionados bajo las tradiciones de los diversos Estados de la República.
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos Camaron seco y en polvo|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Camarón, caldo, sopa, papa, garbanzo, frituras, verdura, zanahoria, arroz, macarrón, alverjones, cocktail, ensalada, huevo, chiles, vigilia, rellenos, garbanzos, budin, orejones, calabazas, bocadillos, empanadas, romeritos, tortas, peritas, taquitos, nopales, pizcapochas, platillo, botanitas|
Velázquez de León Josefina (textos)||30 recetas de platillos populares mexicanos Pan frio|México|Compañía Nacional de Subsistencias populares |1971||8.5x6.5 pulg|Conasupo|||Cocina|Talleres Gráficos de la Nación|Pan, sopa, bolitas, verdura, fideos, huevo, queso, espinacas, frituras, frijol, longaniza, salchicha, higado, empanizado, papas, rollo, salmon, gaspacho, budin, capitotada, rellenas, chayotes, zanahorias, calabacitas, nata, bocadillos, carne, salsa, molido, albondigon, pastel, chocolate, postre, yemas, torrejas, leche, frita, panquecillos, galletas, coco, migas|Algunas maneras de utilizar el pan frio, ayuda a economizar al ama de casa, se utiliza como complemento de sopas, rebanado, frito, bocadillos, torrejas, capirotada, molido sirve para platillos empanizados y frituras, remojado en migas, gaspacho, budines, tostado y molido para pasteles y galletas asi como frito para espesar y dar sabor a muchas salsas y moles.
Zescham Noamira José Ramo||Memoria Instructiva sobre el Maguey o Agave Mexicano||Ignacio Julián|1837|40|4x6 pulg||||Cocina|Tomás Uribe y Alcalde|Maguey, agave, cultivo, duración, usos, llanos, apan, medicinales, pulque, poda, recorte, escarda, raspa, agua miel, tlachiquero, pencas, gusano|Contendra los nombres con que se conocen treinta y tes variedades en los llanos de Apan, su cultivo, duración, usos, virtudes medicinales y preparación de la bebida que de el se saca, llamada pulque. 
||Enciclopedia Doméstica |Méjico||1854|758|7x10.5 pulg|De procedimientos y de Recetas||I|Cocina|Imprenta de Juan R. Navarro, Editor  |Enciclopedia, Recetas, Procedimientos, Artes y Oficios, Domestica, |Obra desembarazada de todos los procedimientos dispendiosos ó que no estan en uso y extractada de los mejores autores franceses traducida para la Biblioteca Nacional y Extranjera
||Enciclopedia Doméstica |Méjico||1854|616|7x10.5 pulg|De procedimientos y de Recetas||II|Cocina|Imprenta de Juan R. Navarro, Editor  |Enciclopedia, Recetas, Procedimientos, Artes y Oficios, Domestica, |Obra desembarazada de todos los procedimientos dispendiosos ó que no estan en uso y extractada de los mejores autores franceses traducida para la Biblioteca Nacional y Extranjera
||Novisimo Arte de Cocina|Filadelfia||1845|324|6x3.5 pulg|Colección de las mejores recetas para guisar al estilo americano y de las mas selectas según el metodo de las cocinas española, italiana, francesa e inglesa|unica|I|Cocina|Compañía estereográfica de la America del Norte|Sopas, cocina, ensaladas, guisados, carne, aves, asados, tortas, pescado, pasteles, postres, conservas, dulces, refrescos, helados, jaletinas, salsa, bocadillos, cubiletes, jaleas, chocolates, trinchar, viandas, rosquetes |Para que al menor costo posible, y con la mayor comodidad pueda guisarse a la española, francesa, italiana é inglesa; sin omitirse cosa alguna de lo hasta aquí publicado, para sazonar al estilo México
||La cocina moderna perfeccionada |Madrid|Sáenz de jubera, hermanos ||566|5x8 pulg||14||Cocina||Cocina, cocinero, servicio, mesa, comida, café, vinos, guisos, entradas, asados, postres, almuerzo, condimentos, grasas, manteca, alimentos, cocción, salsa, sopa, lengua, ternera, carnero, cerdo, cordero, pescados, jabalí, mariscos, aves, caza, legumbres, verduras, ensalada, huevos, tortilla, salazón, conservación, salchichonería, pastelería, reposteria, postres, trinchar, licores, economía, doméstica, |Tratado completo de cocina, pastelería, repostería y botillería contiene gran número de recetas de ejecución fácil y segura, según la práctica de los más afamados cocineros españoles y extranjeros  comprendiendo todos los utiles de cocina el servicio completo de la mesa y arte de trinchar; el metodo para elaborar excelentes pasteles, helados, licores y todo cuanto se refiere á la pequeña y á la grande cocina española, extranjera y americana, economia domestica y floricultura de ventanas y balcones
||El cocinero práctico Nuevo tratado de cocina|México |Guillermo Herrero, y compañía|1892|700|9x5.5 pulg||12||Cocina|E. Rubiños||Interesantes articulos de economía doméstica y horicultura describe minusiosamente el servicio de la mesa, el arte de trinchar, y todo lo referente a la cocina económica y a la de lujo de todos los pueblos civilizados. Contiene gran número de interesantes fórmulas de fácil ejecución y recomendadas por los mas afamados cocineros nacionales y extranjeros, después de aquilatarlas en la práctica; y a mas del arte completo pastelero y repostero, comprende un manual de economia domestica, en que se expone la manera de conservar las sustancias animales y vegetales, dirigir la matanza y salazón del cerdo, reconocimiento de las carnes triquinadas, elaborar pan, practicar el lavado y planchado, etc. Termina el libro con un tratado de floricultura.  
||El libro del ama de casa|España|Aguilar, S.A.|1952|472|6x8.5 pulg||||Cocina|Gráficas Yagues|Alcachofas, almejas, salsa, arroz, atún, ave, bacalao, berenjenas, budin, buñuelos, canapes, conejo, crema, croquetas, chuleta, darioles, ensalada, filetes, jalea, macarrones, natillas, pan, pastelillos, rizotto, pure, sopa, tallarines, tarta, tortilla |Diario de la vida práctica del ama de casa, economia doméstica, reglas de cortesía en la actualidad, cuidado con lo que come señala procedimientos para saber si los alimentos se hallan en buenas condiciones y los peligros del demasiado comer, el regímen apropiado de las dolencias mas frecuentes, el papel de las vitaminas, dietario, diario íntimo, podrá trazar no solo la distribución del presupuesto, sino también la de su tiempo.  
||Delicias maizena|México|Productos de Maiz, S.A. ||102|4x6 pulg|Libro de cocina maizena|||Cocina|"Fabrica ""La perla"""|Sopas, pescados, entradas, carnes, aves, platillos, postres, reposteria, kremel, karo, menus, meriendas, |Recetas exquisitas sanas, economicas, seleccionadas del concurso maizena.
||150 Recetas Vita-B Industrializadora de cacahuate S. de R.L. |México||1934|96|4x6 pulg||||Cocina||Sopas, huevos, entradas, Aves, Pescados, Verduras, Carnes, cocina mexicana, budines postres, sandwiches, reposteria, helados, alimentación |Recetario de la Industrializadora de cacahuate fabicante de la crema de cacahuate VITA-B producto útil y dócil que ayudara realmente al sázon y sabor de los platillos.
||Magia con Maizena|México|Productos de Maiz, S.A. ||104|4x6.5 pulg|Libro de cocina maizena|||Cocina|"Fabrica ""La perla"""|Sopas, pescados, legumbres, aves, carnes, postres, reposteria, platillos mexicanos, menus, meriendas|Libro de recetas maizena es un libro de recetas de cocina que a la vez que sirven para producir platillos exquisitos y fácilmente digeribles también enseña como se puede disfrutar de una buena mesa a muy poco costo. 
||Recetario Alborada|México|Embasa|||5.5x4 pulg|Alborada|||Cocina||Tacos, conchas, salsa, Hamburguesas, pacholas, croquetas, pastel, ensalada, antojitos, albondigas|Con alborada usted podrá dar a su familia toda clase de antojitos, ya sea en salsa roja o verde, en mole, en adobo, pipián, con nopales o romeritos, es ideal para preparar empanadas de vigilia o pays. 
||Recetario Caceroleta Magica|México|Amigos del Hogar S.A.|||6.5x4.5 pulg||||Cocina||Postres, pastele, asado, pollo, menudo, pozole, tamales, sopa, carne, papas, elotes, tortas, estofado, arroz, barbacoa, flan, albondigas, salsa |Recetario para que la ama de casa pueda preparar mediante su propia experiencia infinidad de recetas de cocina con la caceroleta magica que sirve absolutamente para todo lo que se quiera cocinar, freir u hornear en ella.
||Recetario Caceroleta Magica|México|Amigos del Hogar S.A.|||6.5x4.5 pulg||||Cocina||Carne, pastel, sopa, arroz, pollo, albondigas, caldo, tamales, asado, alcachofas, estofado, papas, menudo, elotes, pozole, torta|Recetario para que la ama de casa pueda preparar mediante su propia experiencia infinidad de recetas de cocina con la caceroleta magica que sirve absolutamente para todo lo que se quiera cocinar, freir u hornear en ella.
||Recetario Osterizer Las más deliciosas recetas para la moderna ama de casa|México|Sunbeam Mexicana, S.A. de C.V.|||5.5X4.5 pulg||||Cocina||Aves, carnes, cocteles, cremas, entremeses, flanes, gelatinas, huevos, helados, mayonesas, mermeladas, pescados, pastas, postres, salsas, sopas, tamales, tortas|Este manual ha sido preparado para ayudarle a usar mejor su licuadora OSTERIZER, es el utensilio más eficaz y práctico de su cocina.
||"Harina de arroz ""Modelo"" Harina pulverizada de arroz lavado, el mejor y más sano alimento para niños y enfermos "|México||||4.5x6.5 pulg||||Cocina||Harina, arroz, salsa, helado, sopa, pastas, maicena, longaniza, dulce, sandwitch, totopos, pipian, jaletinas, pescado, conserva, compota, pechugas, pavo, volovanes, budin, consome, ensalada, huevos|Recetario 
||Variedades economicas Maizena|México|Productos de Maiz, S.A. ||19|5x7 pulg||||Cocina||Salsas, frituras, atoles, galletas, panecillos, pastelillos, molletes, panques, pasteles, postres, nieves, helados |Importancia de la maizena duryea en la alimentacion de los hogares con presupuestos economicos modestos
||Para alimentos mejor preparados La moderna licuadora mogsa|México|||16|6.5x4.5 pulg||||Cocina||Cocteles, entremeses, sopas, cremas, huevos, tortillas, mayonesas, salsas, pescados, carnes, tamales, postres, pasteles, bebidas|Instrucciones y deliciosas recetas la moderna licuadora mogsa
||Guía de cocina |México||1966|46|7.5x5 pulg||||Cocina||sandwiches, coquilles, sopas, jámon, salami, paté, ostras, suflé, queso, huachinango, pollo, asado, cerdo, milanesa, helado, miel, albondigas, pollo, ratatouille, salsa, tortilla, ensaladas, pasteles, savarina, merengues, cafés.|Enseña con fotografías explica con recetas como hacer los platillos más famosos del mundo Selección especial de anuncios publicada en Selecciones del Reader´s Digest 
||Recetario de la batería imperial de cuadruple espesor |México|||64|||||Cocina||Aves, ensalada, polllo, pato, huevos, barbacoa, albondigon, ternera, lomo, chile, asado, dulces, flanes, arroz, frutas, pescados, mariscos, filete, mojarras, pasteles, panque, bizcocho, sopas, consome, crrema, verduras|Recetario de la batería imperial de cuadruple espesor 
||Nuevo libro de cocina |México|Productos de Maiz, S.A. ||48|6.5x4.5 pulg|Productos de Maíz, S.A.|||Cocina|"Fabrica ""La perla"""|Sopas, pastas, huevos, pescados, carnes, aves, legumbres, dulces, reposteria |Maizena con ella se hacen los mejores platillos y los mas deliciosos postres y bizcochos, pasteleria, reposteria y cocina al alcance de todas las amas de casa
||Recetario Calmex |México|||36|4.5x6.5 pulg||||Cocina||Sandwiches, sardina, budin, taquitos, tortilla, pastel, tamales, macarrones, hojaldras, empanadas, huevos, chalupitas, croquetas, salmon, conchas, molde, chiles, coctel, ensalada, entremes, frituras, tortitas, timbales, buñuelos, pambazos, seviche, abulon, arroz, |Recetario calmex en donde encontrará numerosas fórmulas, a la vez económicas y sencillas, para preparar deliciosos platillos.
