Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
|||Las lagunas costeras de Tabasco|||Primera||||Cecodes|Serie sobre energía y sociedad|1||96 pp.|Mps - Tbls|
|||Yearbook of tourism statistics 1991|||Primera|||México|Secretaria de Turismo|Imagen del México turístico||1992|229 pp.|Tbls|
|||Guayule: An altenative source of natural rubber|||Primera|||EUA|National Academy of sciences|||1977|80 pp.|Fts - Tbls - Mps|
|||En defensa del ejido||||||México|Centro de estudios económicos y sociales del tercer mundo||||59 pp.||
|||La agenda estadistica 1993|||Primera|1994||México|La gran alianza|||1994|304 pp.|Tbls|
J. Ucko|Peter|Andrée Rosenfeld|Arte paleolítico|||Primera|||Italia|Editoriales Guadarrama|Biblioteca para el hombre actual||1967|254 pp.|Fts - Tbls|
|||El libro del consejo|||Tercera|1964||México|Universidad Nacional Autónoma de México|||1964|193 pp.|Ilus|
Bargellini|Clara||La catedral de Chihuahua|||Primera|||México|Universidad Nacional Autónoma de México|||1984|105 pp.|Fts - Ilus|
del Castillo|Gustavo||El campesino en busca de su campesinado: una síntesis del comportamiento político del campesino|||Primera|||México|Centro de Investigaciones Superiores INAH|Cuadernos de la casa chata|20|1979|25 pp.|Tbls|
Eckstein|Salomon||El marco macroeconomico de problema agrario mexicano|||Primera|||México|Centro de Investigaciones Agrarias|||1968|253 pp.|Tbls|
|||500 pueblos|2||Primera|||España|Editorial Noguer|||1981|352 pp.|Fts|
|||500 pueblos|3||Primera|||España|Editorial Noguer|||1981|528 pp.|Fts|
|||500 pueblos|5||Primera|||España|Editorial Noguer|||1981|880 pp.|Fts|
|||500 pueblos|6||Primera|||España|Editorial Noguer|||1981|1056 pp.|Fts|
|||500 pueblos|7||Primera|||España|Editorial Noguer|||1981|1232 pp.|Fts|
|||500 pueblos|8||Primera|||España|Editorial Noguer|||1981|1408 pp.|Fts|
|||Reunión de evaluación del programa Puertos industriales|||Primera|||México|Puertos industriales|||1981|179 pp||
Lee Lopez|Alberto||El templo de san Francisco|||Primera|||Colombia|Movifoto|Bogota - Colombia|||45 pp.|Fts|
Paris|Carlos||La lucha de clases|5||Primera|||México|Editorial Grijalbo|Textos Vivos||1979|86 pp.||
|||El transporte aéreo de pasajeros y carga 1989 - 1990|||Primera|||México|Secretaría de comunicaciones y transportes|||1990|63 pp.|Fts - Ilus|
Müller|Jörg||PAPER Social Dimentions of Technological Change in the rural development||||||México||||1980|14 pp.||
