Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
A. Gomezjara|Francisco|Delia Selene de Dios|Sociología del cine|||Primera|||México|Secretaría de Educación Pública|SepSetentas|110|1973|182 pp.|Fts - Diagramas|
T. Vigetti|Angela||Investigacioón en Servicio Social|||Cuarta|1980||Argentina|Editorial HVMANITAS||11|1966|126 pp.||
Rojas González|Francisco||El Diosero|||Novena|1980||México|Fondo de la cultura económica|Colección Popular|16|1980|131 pp.||
Muro|Victor|Manuel Canto Chac|El estudio de los movimientos sociales: Teoria y Metodo||||||México|El Colegio de Michoacán|||1991|194 pp.||
Paoli|Antonio||La comunicaación|||Primera|1977||México|Editorial Edicol|Sociologia conceptos|2|1977|197 pp.||
Montalvo Ortega|Enrique||Valor|||Primera|1977||México|Editorial Edicol|Sociologia conceptos|5|1977|234 pp.||
Arizpe|Lourdes||Repensar la nación: fronteras, etnis y soberanía|||Primera|1990||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa chata|174|1990|201 pp.||
López Austin|Alfredo||Breve historia de la tradición religiosa mesoamericana|||Primera|2002||México|Universidad Nacional Autonóma de México|Colección textos, serie antropología e historia antigua: 2||1991|120 pp||
Nolasco Armas|Margarita||Seris, Yaquis y Tarahumaras|||Primera|1968||México|Editoriales Edimex|||1968|32 pp.||
Zorrilla Arena|Santiago|José Silvestre Mendez|Diccionario de economia|||Tercera|||México|Ediciones Océano|||1986|182 pp.||
Salinas Domínguez|Manuel Ignacio||Origenes de Nuevo Laredo|||Primera|||México|Editorial Jus|||1981|55 pp.||
Valenzuela|José Manuel||¡A la brava ése!|||Primera|||México|El colegio de la frontera del norte|||1988|233 pp.|Fts|
Twain|Mark||Tom Sawyer|||Primera|||EUA|Holt, Rinehart and Winston|The children's classics||1961|272 pp.|Ilus|
P. Mumme|Stephen||New Directions in United States - Mexican Transboundary Enviromental Management a Critique of Current Propostals|||Primera|||EUA|The University of New Mexico|||1991|22 pp.||
Wolf|Daniel||Undocumented aliens and crime|||Primera|||EUA|University of California, San Diego|Monograph Series|29|1988|54 pp.|Fts|
Higuera Bonfil|Antonio||A Dios las deudas y al alcalde las jaranas|||Primera|||México|Universidad de Quintana Roo|||1999|311 pp.|Fts|
Gurrieri|Adolfo||Estudios sobre la juventud marginal latinoamericana|||Primera|||México|Siglo XXI Editores|||1971|287 pp.||
Rousseau|Jean-Jacques||El contrato social|||Primera||Enrique Azcoaga|España|Biblioteca Edaf|Biblioteca Edaf|85|1992|233 pp.||
Nabokov|Peter||Tijerina and the courthouse raid|||Primera|||EUA|The University of New Mexico|||1969|287 pp.||
Aguilar Camín|Héctor||La frontera nómada|||Primera|||México|Siglo XXI Editores|||1985|450 pp.||
Enríquez Coyro|Ernesto||El tratado de México y los Estados Unidos de América sobre Ríos Internacionales|2||Primera|||México|Universidad Nacional Autonóma de México|Serie estudios|48|1976|1338 pp.||
|||Calendario chicano 1974|||||||La causa publications|||1974|||
Shaw|Martin||El Marxismo y las ciencias sociales|||Primera|||México|Editorial Nueva Imagén|||1978|152 pp.||
Zebadúa|Emilio||Breve historia de Chipas|||Primera|||México|Fondo de la cultura económica|||1999|187 pp.|Maps|
Ruz|Mario Humberto||Los legitimos hombres||4|Primera|||México|Universidad Nacional Autonóma de México|||1986|236 pp.||
Leyva Solano|Xochitl|Gabriel Ascencio Franco|Colonización, cultura y sociedad|||Primera|||México|Universidad de ciencias y artes del estado de Chiapas|||1997|246 pp.||
González Ramírez|Eulalio||Autobiogr... ajúa! y anecdo... taconario|||Primera|||México|Ediorial Diana|||1999|474 pp.|Fts|
Huamán|Carlos||Pachachaka|||Primera|||México|Universidad Nacional Autonóma de México|||2004|354 pp.||
Radding|Cynthia||Historia de los pueblos indígenas de México|||Primera|||México|Instituto Nacional Indigenista|||1995|213 pp.|Fts - Ilus|
Lucero|Paulino|Santos Vega|Poesia Gauchesca|||Primera|1984||México|Fondo de la cultura económica|||1955|633 pp.||
Cervantes Delgado|Roberto||Fundamentos socioantropologicos|||Primera|||México|Secretaría de Educación Pública|||1978|106 pp.||
Valencia Rojas|Alberto||La migración indígena a las ciudades|||Primera|||México|Instituto Nacional Indigenista|||2000|156 pp.|Fts - Mps|
Atilano Flores|Juan José||Entre lo propio y lo ajeno|||Primera|||México|Instituto Nacional Indigenista|Migración Indigena||2000|100 pp.||
González Montes|Soledad||Sexualidad, salud y reproducción|||Primera|||México|El colegio de México|||2003|109 pp.||
Buenrostro Ceballos|Alfredo Félix||Fronteras en Iberoamerica ayer y hoy|2||Primera|||México|Universidad Autonóma de Baja California|||1990|335 pp.||
Garza Saenz|Ernesto||Crónicas de Camargo|||Primera|||México|Universidad Autonóma de Tamaulipas|||1980|49 pp.|Fts|
Bustamante|Jorge A.||Estudios fronterizos México - Estados Unidos|||Primera|||México|Cefnomex|||1984|234 pp.||
Durand Ponte|Victor Manuel||Etnia y cultura política los mexicanos en estados unidos|||Primera|||México|Universidad Nacional Autonóma de México|||2000|121 pp.||
Reifler Bricker|Victoria||El cristo indígena, el rey nativo|||Primera|1993|Cecilia Paschero|México|Fondo de la cultura económica|||1989|528 pp.||
Reygadas|Luis||Un rostro moderno de la pobreza|||Primera|||México|Escuela Nacional de Antropología e Historia|||1992|91 pp.||
Stevenson|Robert Louis||Treasure Island|||Primera|||México|Holt, Rinehart and Winston|||1961|270 pp.||
de Vos|Juan||Viajes al desierto de la soledad|||Primera|||México|Secretaría de Educación Pública|||1988|323 pp.||
Garza Cuarón|Beatriz||Políticas lingüísticas en México|||Primera|||México|La jornada ediciones|||1997|363 pp.||
Rodríguez Prampolini|Ida||A traves de la frontera|||Primera|||México|Centro de estudios economicos y sociales del tercer mundo||||||
Hurtado Herrada|Norma Elvira|Cecilia Gabriela Miranda Chavez|La cultura material y el medio selvatico en la reproducción social de los lacandones de Metzalbok|||Primera|||México|Secretaria de Educación Pública|||1988|176||
Microsoft|||Printer information for Microsoft Word|||Primera|||EUA|Microsoft|||1989|291 pp.||
Microsoft|||User's Guide|||Primera|||EUA|Microsoft|||1989|134 pp.||
|||Academia Mexicana de Ciencias Antropológicas|||Primera|||México|Instituto Nacional de Antropología e Historia|Memoria|1|2004|125 pp.|Fts|2
|||Anuario Estadistico Chiapas|||Edicion 2004|2004||México|Instituto Nacional de Estadística Geografía e Informática|||2004|680 pp|Tbls|
|||MS-DOS Shell|Ver. 1||Primera|||México|Printaform|||1989|||
Toshiba|||K56flex/V.90 Módem Integrado||||||EUA|Toshiba||||||
Hewlett Packard|||HP OfficeJet Serie500||||||EUA|Hewlett Packard|||1997|||
