Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Suaréz |Blanca|Emma Zapata Martelo||Remesas: Milagros y mucho más realizan las mujeres indígenas y campesinas||I|Primera|||México,  D.F|GIMTRAP|||2004|502|Cuadros|
Florescano|Enrique|||Precios del maíz y crisis agrícolas |||Primera|||México,  D.F|Colegio de México|||1969|254|Cuadros y Fotos|
Glantz|Susana|||No es tan difícil leer a Marx|||Primera|||México,  D.F|Pangea Editores|||1991|143|Ilustraciones|
Morineau|Oscar|||Los derechos reales y el subsuelo en México|||Primera|||México,  D.F|Fondo de Cultura Económica|||1948|401||
||||Civilización: Configuraciones de la diversidad|||Primera|||México|CADAL-UAM|||1985|205||
Pozas Arciniega|Ricardo|||El desarrollo de la comunidad|||Segunda|||México|UNAM|||1964|306|Cuadros|
García de León|Antonio|||Resistencia y Utopía |||Primera|1996||México,  D.F|Ediciones Era|||1885|255|Cuadros|
Alonso |Jorge |Bernando Bátiz et al||El derecho a la identidad cultural|||Primera|||México,  D.F|UIA-Comisión Nacional de Derechos Humanos-Cámara de diputados|||1999|251||
Bernal|Ignacio|Coordinador||El escenario geográfico|||Primera|||México,  D.F|SEP-INAH||12889|1974|335|Mapas y fotos|
Spyri|Johanna|||Heidi|||Primera|||New York|The Children´s classics|||1924|278|Ilustraciones|
Holt, Rinehart et al||||Robin Hood|||Primera|||New York|The Children´s classics|||1924|278|Ilustraciones|
Holt, Rinehart et al||||Black Beauty|||Primera|||New York|The Children´s classics|||1924|276|Ilustraciones|
Venegas Aguilera|Lilia|||El concepto del trabajo doméstico en la economía política|||Primera|||México,  D.F|UNAM|||1981|117||
Linton|Ralph|||Estudio del hombre|||Quinta|||México,  D.F|Fondo de Cultura Económica|||1961|486||
Meyer|Jean|||Problemas campesinos y revueltas agrarias|||Primera|||México,  D.F|SEP|SepSetentas|80|1973|235||
Keremitsis|Dawn|||La industria textil mexicana en el siglo XIX|||Primera|||México,  D.F|SEP|SepSetentas|67|1973|247||
Crespo|Horacio||Coordinador|Morelos: Cinco siglos de historia regional|||Primera|||México,  D.F|CEHAM-UAEM |||1984|464|Cuadros|
Belshaw|Michael|||La tierra y la gente de Huecorio|||Primera||Trad. Por Roberto Reyes|México,  D.F|Fondo de Cultura Económica|||1969|393|Cuadros y fotos|
Jéquier|Nicolas||Editor|Tecnología adecuada. Problemas y perspectivas|||Primera||Trad. Por Dante Velasco Leone|México,  D.F|CEESTEM|||1979|446|Cuadros|
Geertz|Clifford|||La interpretación de las culturas|||Primera|1995|Trad. Por Alberto L. Bixio|Barcelona, España|Gedisa Editorial|||1973|387||
Toledo|Alejandro|||Petróleo y ecodesarrollo  en el sureste de México|||Primera|||México,  D.F|Centro de Ecodesarrollo|||1982|253|Cuadros|
Ortiz|María de los Ángeles|||Concentración de poder y tenencia de la tierra |||Primera|||México,  D.F|CIESAS|Cuadernos de la casa chata|125|1985|128|Cuadros|
Ibarra Mendivil|Jorge Luis|||Propiedad agraria y sistema político en México|||Primera|||México,  D.F|El colegio de Sonora-Miguel Ángel Porrúa|||1989|331|Cuadros|
De la peña|Guillermo|||Herederos de promesas. Agricultura, política y ritual en los Altos de Morelos|||Primera|||México,  D.F|Ediciones de la casa chata||11|1980|391|Cuadros e ilustraciones|
Palmer|Ingrid|||Ciencia y producción agrícola|||Primera|||Ginebra, Suiza|SEP|SepSetentas||1972|159|Cuadros|
Fernández y Fernández |Ramón|||Cooperacion agrícola y organización económica del ejido|||Primera|||México,  D.F|SEP|SepSetentas||1973|175|Cuadros|
Powell|T.G|||El liberalismo y el campesinado en el centro de México (1850-1876)|||Primera|||México,  D.F|SEP|SepSetentas||1974|191|Cuadros|
Castaingts Teillery|Juan|||México: Economía, mita y poder|||Primera|||México,  D.F|UAM||17|1994|291|Cuadros|
Bonfil Batalla|Guillermo|||El campo de la investigación de la antropología social en México:Un ensayo sobre sus nuevas perspectivas||VII|Primera|||México,  D.F||||1970|[20]||
||||El informe Dag Hammarskjold 1975||||||Nueva York|ONU|||1975|131||
Vargas-Lobsinger|María|||"La hacienda de ""La concha"" una empresa algodonera de la Laguna 1883-1917"|||Primera|||México,  D.F|UNAM|||1984|166|Mapas y Cuadros|
Wallerstein|Immanuel||Coordinador|Abrir las ciencias sociales|||Cuarta|||México,  D.F|Siglo XXI-UNAM|||1999|114||
Bernal|Ma. De la Luz|||Mitos y Magos Mexicanos (Los extraños artesanos de lo sobrenatural)|||Primera|||México,  D.F|Editorial Posada|Colección Duda||1973|181|Ilustraciones|
Espín|Jaime|Patricia de Leonardo||Economía y sociedad en los altos de Jalisco|||Primera|||México,  D.F|Editorial Nueva Imagen|||1978|304|Cuadros|
||||Las artes populares en México|||Primera|||México,  D.F|INI|Serie artes y tradiciones populares|1|1980|448|Fotos e ilustraciones|
Semo|Enrique||Coordinador|Siete ensayos sobre la Hacienda Mexicana 1780-1880|||Primera|||México,  D.F|INAH|Colección científica|55|1977|271|Cuadros e ilustraciones|
Downing|Theodore E.|McGuire Gibson|Editores|Irrigation´s impact on society|||Primera|||Tucson, Arizona|University of Arizona press||25|1974|181|Cuadros|
Nadal Egea|Alejandro|||Instrumentos de política científica y tecnología en México||V|Primera|||México,  D.F|Colegio de México|||1977|309|Cuadros|
Barbosa-Ramírez|A. René|||Empleo, desempleo y subempleo en el sector agropecuario|||Primera|||México,  D.F|Centro de investigaciones agrarias|||1977|293|Cuadros|
Maier|Elizabeth||Coordinadora|La chinampa tropical|||Primera|||México|Centro de Ecodesarrollo|||1979|87|Fotos, ilustraciones y cuadros|
Montañez|Carlos||Coordinador|El cultivo del maíz en México/Seis estudios de caso|||Primera|||México,  D.F|Centro de Ecodesarrollo|||1982|146|Mapas|
||||Chapultepec/ Ensayo de organización en un ejido de Estado de México|||Primera|||Toluca, México|Gobierno del Estado de México|||1955|147|Fotos, cuadros y mapas|
