Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Bordonove|Georges||Los reyes que hicieron Francia: Luis XV|4||3a.||Trad. Por Patricio Canto|México|Javier Vergara Editor|Biografía e historia||1985|334 pp.||
Tibón|Gutierre||El ombligo como centro erótico|||Primera|||México|Secretaría de Educación Pública|Lecturas mexicanas|16|1984|133 pp.|Ilus - Fts|
Bruixola|María Enriqueta||Cocinando con microondas|||Primera|22a.||México|Diana|||1990|117 pp.||
Rojas Garcidueñas|José||Cervantes y Don Quijote|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|57|1972|228 pp.||
Molina|Tirso de||Los tres maridos burlados|||Primera|||Buenos Aires|Centro Editor de América Latina|||1967||Ilus|
Passe-Partout|||Récits pour les jeunes|||Primera|||París|Hachette|Récits||1971|78 pp.|Ilus|
|||Video guía. Las 500 películas favoritas del milenio|||Primera|||México|Información Profesional Especializada|||1999|230 pp.|Fts|
González Navarro|Moisés||Repartimiento de indios en Nueva Galicia|||Primera|||México|Instituto Nacional de Antropología e Historia|Serie Científica|1|1953|237 pp.||
Bernal|Rafael||El complot mongol|||3a.|Primera||México|Joaquín Moritz|||1989|243 pp.||
Canellada|María Josefa||Romancerillo||||||México|Oasis|Servet||1962|127 pp.||
Swinson|Arthur||Mountbatten|||Primera|||Estados Unidos|Ballantine|War leader|6|1971|160 pp.|Fts - Mps|
Monsiváis|Carlos||Amor perdido|||3a.|||México|Era|||1977|348 pp.|Fts|
Burns|Archibaldo||En presencia de nadie|||Primera|||México|Joaquín Moritz|Serie del volador||1964|252 pp.||
Neruda|Pablo||Confieso que he vivido. Memorias.|||Primera|||México|Seix Barral|||1974|511 pp.||
Neruda|Pablo||Confieso que he vivido|||4a.|||México|Origen - Planeta - Artemisa|Literatura contemporánea|5|1985|461 pp.||
García Márquez|Gabriel||El otoño del patriarca|||Primera|||Barcelona|Plaza & Janes|||1975|271 pp.||
Murúa|Dámaso||Vacum totoliboque||||||México|B. Costa-Amic|||1976|120 pp.||
