Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Fabbro J.|José Francisco del||Bajo la verdadera piel|||Primera|||México|Universidad Autónoma del Estado de Morelos|||1979|98 pp.||
|||Historia del emperador Carlo-Magno|||||Trad. Por Nicolás de Piamonte|México|El Libro Español|||1953|186 pp.|Ilus|
Gómez-Moreno|María Elena||Visita a la casa y museo del Greco y sinagoga del tránsito|||Primera|||Madrid|ESTADES|||1966|31 pp.|Ilus - Mps|
García Márquez|Gabriel||Los funerales de la mamá grande|||10a.|||Buenos Aires|Sudamericana|Índice||1972|147 pp.||
Fuentes|Campos||Tiempo mexicano|||2a.|||México|Joaquín Moritz|Cuadernos de Joaquín Moritz||1972|193 pp.||
Rivera Marín|Guadalupe||Un río, dos riveras|||2a.|||México|Alianza Editorial Mexicana|Memorias||1990|211 pp.|Fts|
Moctezuma Navarro|David||Chiapas, los problemas de fondo|||Primera|||México|Universidad Nacional Autónoma de México|||1994|168 pp.||
Glantz|Susana||La heterodoxia recuperada en torno a Ángel Palerm|||Primera|||México|Fondo de Cultura Económica|||1987|693 pp.||
Nolasco A.|Margarita||Aspectos sociales de la migración de México|II||Primera|||México|Instituto Nacional de Antropología e Historia|||1979|332 pp.|Fts - Cuad - Mps|
Embriz|Arnulfo||Indicadores socioeconómicos de los pueblos indígenas de México|||Primera|||México|Instituto Nacional Indigenista|||1993|245 pp.|Cuad|
Zambrano|María||La tumba de antígona|||Primera|||México|Siglo XXI|Mínima|8|1967|90 pp.||
Sin|Lu||La verdadera historia de AQ|||Primera|||Pekín|Ediciones en Lenguas Extranjeras|||1972|63 pp.|Ilus|
Aguilar Zinzer|Adolfo|et. Al.|Aún tiembla|||Primera|||México|Grijalbo|||1986|332 pp.|Fts - Cuad - Mps|
Martínez Peñaloza|Porfirio||Arte popular y artesanías artísticas en México|||Primera|||México|Secretaría de Hacienda y Crédito Público|||1972|124 pp.|Ilus - Fts|
Bonfil Batalla|Guillermo|et. Al.|Culturas populares y política cultural|||Primera|||México|Consejo Nacional para la Cultura y las Artes|Culturas populares de Mpexico||1995|118 pp.||
Piñera Ramírez|David||Ocupación y uso del suelo en Baja California|||Primera|||México|Universidad Nacional Autónoma de México|||1991|221 pp.|Cuad|
Bartolomé|Miguel A.||Visiones de la diversidad||II|Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2005|371 pp.|Cuad|2
Juárez Bailón|Adolfo|et. Al.|Ap ayuuk. Cuentos mixes.|||Primera|||México|CONAFE|||1982|119 pp.|Ilus|
Sorcia Soto|Marco Antonio||Daño ocasionado a la hidroxiapatita por la interacción de electrones con energía de 0.1 a 2.0 MeV|||Primera|||México|Universidad Nacional Autónoma de México|||2001|95 pp.|Cuad|
García Garduño|Margarita Victoria||Efecto del bloqueo de la actividad sináptica del neoestriado sobre el condicionamiento de prevención activa|||Primera|||México|Universidad Nacional Autónoma de México|||1989|101 pp.|Ilus - Fts - Cuad|
Instituto Nacional de Estadística, Geografía e Informática|||Campeche. Resultados definitivos VII censo ejidal.|||Primera|||Aguascalientes|Instituto Nacional de Estadística, Geografía e Informática|||1994|37 pp.|Cuad - Mps|
Instituto Nacional de Estadística, Geografía e Informática|||Tabasco. Resultados definitivos VII censo ejidal.|||Primera|||Aguascalientes|Instituto Nacional de Estadística, Geografía e Informática|||1993|39 pp.|Cuad|
Instituto Nacional de Estadística, Geografía e Informática|||Quintana Roo. Resultados definitivos VII censo ejidal|||Primera|||Aguascalientes|Instituto Nacional de Estadística, Geografía e Informática|||1993|33 pp.|Cuad - Mps|
Wietlaner|Roberto J.||Los zapotecos de Oaxaca|||Primera|||México|Consejo de Planeación e Instalación del Museo Nacional de Antropología|||1962|175 pp.|Mps|
|||Cuaderno de demografía indígena|||Primera|||México|INI - IBAI|||1992|3 pp.|Cuad|
Pérez Zevallos|Juan Manuel||Xochimilco ayer|II||Primera|||México|Delegación Xochimilco - Gobierno del Distrito Federal - Instituto de Investigaciones Dr. José María Luis Mora|||2003|175 pp.|Fts|
Serrano Carreto|Enrique|et. Al.|Indicadores socioeconómicos de los pueblos indígenas de México|||Primera|||México|INI - PNUD - CONAPO|||2002|424 pp.|Cuad - Mps|
Duby|Gertrude||Chiapas indígena|||Primera|||México|Universidad Nacional Autónoma de México|||1961|49 pp.|Fts|
Fox|Annie|David Fox|BASIC básico. Guía para principiantes.|||Primera||Trad. Por Alberto Prieto Espinosa y Alberto Lloris Ruiz|México|McGraw Hill|||1984|278 pp.|Ilus|
Atondo Rodríguez|Ana María|et. Al.|Tres siglos de historia sonorense|||Primera|||México|Universidad Nacional Autónoma de México|||1993|499 pp.|Cuad - Mps|
Ackerman|Charles||Teach yourself dBASE III PLUS|||Primera|||Estados Unidos|Osborne McGraw-Hill|||1990|435 pp.|Ilus|
Matthews|Martin S.|Carole Boggs Matthews|Aplique PageMaker para PC|||2a.||Trad. Por José Luis Sesma Jiménez y Pedro Vázquez García|Madrid|Osborne McGraw-Hill|||1990|462 pp.|Ilus|
Millán|Saúl|Julieta Valle|Las regiones indígenas en el espejo bibliográfico||II|Primera|||México|Instituto Nacional de Antropología e Historia|Etnografía de los pueblos indígenas de México||2003|296 pp.||
VV.AA.|||Diccionario de sociología|||2a.|Primera|Trad. Por T. Muñoz, et. Al.|México|Fondo de Cultura Económica|||1960|317 pp.||
Sierra Carrillo|Dora||Cien años de etnografía en el museo|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1994|146 pp.|Fts|
García Garduño|Margarita Victoria||Efectos provocados por el exceso de tiroxina sobre el desarrollo morfológico y electrofisiológico de la corteza cerebral de la rata|||Primera|||México|Universidad Nacional Autónoma de México|||1976|50 pp.|Ilus - Cuad|
Klimick Schoaff|Eileen||Advanced BASIC. A structured approach.|||Primera|||Minnesotta|West Publishing Co.|||1986|431 pp.|Ilus - Fts - Cuad|
Monro|Donald M.||BASIC básico. Introducción a la programación.|||Primera||Trad. Por Ma. De Lourdes Fournier|México|McGraw Hill|||1984|90 pp.|Cuad|
Nolasco Armas|Margarita||El museo nacional de antropología, la etnología y los indios|||Primera|||México|ENSAYO||||10 pp.||
Vega|Lope de||Lope de Vega|||Primera|||México|Oasis|Literaria Servet||1962|122 pp.||
