Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Goldar|Ernesto||La revolución mexicana|||Primera|||Argentina|Centro Editor de América Latina|||1972|174 pp.|Ilus - Fts|
Meyer|Eugenia||Luis Cabrera: teórico y crítico de la revolución|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|48|1972|238 pp.||
Ribera Carbó|Anna||La patria ha podido ser flor. Francisco J. Múgica, una biografía política.|||Primera|||México|Instituto Nacional de Antropología e Historia|Biblioteca del INAH||1999|214 pp.||
VV.AA.|||Enciclopedia de México|I||Primera|||México|Enciclopedia de México|||1977|1210 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|II||Primera|||México|Enciclopedia de México|||1977|1211 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|III||Primera|||México|Enciclopedia de México|||1977|1259 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|IV||Primera|||México|Enciclopedia de México|||1977|1079 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|V||Primera|||México|Enciclopedia de México|||1977|1160 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|VI||Primera|||México|Enciclopedia de México|||1977|1192 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|VII||Primera|||México|Enciclopedia de México|||1977|1191 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|VIII||Primera|||México|Enciclopedia de México|||1977|1224 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|IX||Primera|||México|Enciclopedia de México|||1977|1240 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|X||Primera|||México|Enciclopedia de México|||1977|1236 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|XI||Primera|||México|Enciclopedia de México|||1977|1216 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Enciclopedia de México|XII||Primera|||México|Enciclopedia de México|||1977|1200 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Historia de México|I||Primera|||México|Salvat Editores de México|||1974|297 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Historia de México|II||Primera|||México|Salvat Editores de México|||1974|317 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Historia de México|IV||Primera|||México|Salvat Editores de México|||1974|298 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Historia de México|V||Primera|||México|Salvat Editores de México|||1974|298 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Historia de México|VIII||Primera|||México|Salvat Editores de México|||1974|297 pp.|Ilus - Fts - Cuad - Mps|
VV.AA.|||Historia de México|XI||Primera|||México|Salvat Editores de México|||1974|239 pp.|Ilus - Fts - Cuad - Mps|
