Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad
||||Cuadernos de demografia indigena- Jalisco 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Hidalgo 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Guerrero 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Durango 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Chihuahua 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Chiapas 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Nayarit 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Morelos 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- Michoacan 1980||||||México |INI|||1991||Mapas y cuadros |
||||Cuadernos de demografia indigena- México 1980||||||México |INI|||1991||Mapas y cuadros |
||||Chiapas- resultados definitivos tabuladores basicos-XI censo general de población y vivienda, 1990|IV|||||México |INEGI|||1991||Cuadros|
||||Indicadores de la migración en México||||||México |INEGI|||1985|161|Mapas y cuadros |
||||Chiapas-Hablantes de lengua Indigena - Perfil sociodemografico||||||México |INEGI|||1993|117|Cuadros|
Jimeno Santoyo|Myriam |||Juan Gregorio Palechor, Historia de mi vida||||||Colombia|Universidad Nacional de Colombia|||2003|213||
Montagu |Ashley|||La humanización del hombre||||||Venezuela |Editorial tiempo nuevo|||1972|270||
Castañeda L.|Ofelia|Francisco Contreras|Compilaladores|Bibliografia comentada sobre Ecosistemas Costeros Mexicanos.||||||México |CONABIO /UNAM/ CDELM|||1993|489||
||||Perfil sociodemográfico XII censo general de población y vivienda 2000 (Chiapas)||||||México |INEGI|||2002|186|Mapas y cuadros |
Glantz |Susana||Compiladora|La heterodoxia recuperada en torno a Angel Palerm||||||México |Fondo de Cultura Económica |||1986|693||
Copernico|Nicolas|||Sobre las revoluciones de los orbes celestes|||Primera|||México |SEP|||1974|213||
||||¿Ha fracasado el indigenismo?|||Primera|||México |SEP|||1971|247|Cuadros|
Frizzi|Ernst|||Antropología |||Cuarta |Primera-1943-Segunda-1951||España|Editorial Labor, S.A.|||1940|179|Fotos, ilustraciones y cuadros|
Cuche |Denys|||La nocíón de cultura en las ciencias sociales|||Primera|Segunda-2002||Argentina|Nueva Visión |||2004|159||
Gonzalez|Martha A.|||Bajo palabra Parolee|||Primera|||(Uruguay)|Ediciones América Nueva|||1965|242|Ilustraciones |
Aguayo Campos|María de Lourdes |||La vida desde nustros ojos- Mujeres de la merced|||Primera|||México |Instituto pro infancia y juv. Fem, A.C.|||2001|156|Fotos|
Millán Saúl||||El cuerpo de la nube- Jerarquía y simbolismo ritual en la cosmovisión de un pueblo huave|||Primera|||México |INAH|||2007|272||
Guitiérrez|Arturo|||La peregrinación a Wirikuta|||Primera|||México |INAH|||2002|310|Ilustración y foto|
Guzmán |Adriana|||Mitote y universo |||Primera|||México |INAH|||2007|191|Ilustraciones |
Nolasco |Margarita|||Conquista y dominación del noroeste de México el papel de los jesuitas|||Primera|||México |INAH|||1998|126|Mapas |
Nolasco |Margarita||Coordinadora|Estratificación Etnica y Relaciones Interétnicas |||Primera|||México |INAH|||1984|77|Ilustraciones, fotos y cuadros|3
Galicia Cabrera|Rosa María|||Estudios de la Contaminación por Mercurio en Agua y Sedimentos Acuaticos en el Area del Bajo Río Coatzacoalcos, Veracruz (Tesis)||||||México |Instituto Politécnico Nacional |||1978|93|Mapas y cuadros |
Vessereau|André|||La estadística|||Primera||Nuria Cortada de Kohan|Argentina|Editorial Unversitaria de Buenos Aires |||1962|59|Cuadros|
Pinguelli Rosa|Luis|||Programa Río de Janeiro 23 a 27 de Agosto|||Primera||||Universidad Federal de Río de Janeiro||||94|Cadros|
De Mendizabal|Miguel o|||Los Otomies no fueron los primeros pobladores del valle de México|||Primera|||México |Talleres Gráficos del Museo Nacoinal de Arqueología, Historia y Etnograía |||1933|23||
Smith|Anthony|||La identidad nacional|||Primera||Adela Despujo Ruiz-Jiménez |España|Trama Editorial,S.L.|||1997|176||
