Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Sánchez Santa Ana|María Eugenia|Beatriz Moreno Alcántara||Juguetes de cerámica mestiza|||Primera|||México, D.F|INAH|||1999|205|Ilustraciones|
Olivera de Bonfil|Alicia||Coordinadora|Los archivos de la memoria|||Primera|||México, D.F|INAH|Colección Científica||1999|206|Cuadros|
Gómez Poncet|Jorge|||Textiles Tzoltziles|||Primera|||México, D.F|INAH|||1998|146|Ilustraciones|
Galarza |Joaquín|||Dibujos tradicionales. Tejidos de Santa Ana Tlacotenco|||Primera|||México, D.F|CIESAS|Cuadernos de la casa chata |52|1982|295|Ilustraciones|
||||Mayo Máscaras|||Primera|||Sinaloa|DIFOCUR||||43|Fotos|
||||La artesanía en Sinaloa|||Primera|||Sinaloa|DIFOCUR||||88|Fotos|
||||La platería mexicana|||Primera|||México, D.F|INAH|||1994|143|Fotos|
Hobsbawn|Eric|||Años interesantes. Una vida en el siglo XX|||Primera||Trad. Por Juan Rabasseda-Gascón|Barcelona|Crítica|||2003|407|Fotos|
Ortiz de Montellano|Bernardo|||Literatura indígena y colonial mexicana|||Primera|||México, D.F|SEP||113||94||
Matos Moctezuma|Eduardo|||Manuel Gamio. La arqueología mexicana|||Primera|||México, D.F|UNAM|Colección Argumentos||1983|22||
Gascón Mercado|Julián|||Recordando caminos|||Primera|||México, D.F|Costa-Amic Editores|||1985|91|Ilustraciones|
Matos Moctezuma|Eduardo|||Manuel Gamio. La población del valle de Teotihuacan|||Primera|||México, D.F|UNAM|||1985|27|Fotos|
||||Otra dimensión del desequilibrio. La invstigación social en provincia|||Primera|||Oaxaca de Juárez, Oax.|Universidad Autónoma Benito Juárez de Oaxaca|||1981|243||
Gascón Mercado|Julián|||Cantar de los Nayares|||Tercera|||México, D.F|Ediciones Olmeca|||1986|69|Ilustraciones|
Rama |Ángel|||Primeros cuentos de diez maestros latinomericanos|||Primera|||México, D.F|Editorial Mosaico|||1975|278||
Saenz|Carlos Luis|||Mulita Mayor|||Primera|||San José, Costa rica||||1967|154|Ilustraciones|
Heuze|Patricia|||Industrias y artes|||Primera|||México, D.F|SEP|||1981|49|Cuadros|
||||Obras selectas de arte popular|||Primera|||México|Museo Nacional de Culturas Populares|||1953|51|Fotos|
||||The folk-art section of Brukenthal Museum|||Primera|||Bucharest|Meridiane Publishing House|||1964|22[56]|Fotos|
Petrescu|Paul|Elena Secosan||Arta Populara. Indreptar metodic|||Primera|||Bucharest|Casa Centraa a creatiei populare|||1966|205|Fotos|
De Heredia|C.M|||Memorias de un repórter de los Tiempos de Cristo|I||Primera|||México, D.F|[C.M De Heredia, S.J]|||1934|80|Fotos|
||||Calendario de fiestas del Estado de México|||Primera|||México|Gobierno del Estado de México|||1969-1975|193|Mapas|
Massé Zendejas|Patricia|||Simulacro y elegancia en tarjetas de visita.|||Primera|||México, D.F|INAH|||1998|136|Fotos|
López y Fuentes|Gregorio|||El Indio|||Segunda|||México|Ediciones Botas|||1937|269||
