Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad
Le Gros Clark|Wilfrid|||History of the primates|||Novena |||London|British Museum (Natural History)|||1965|127|Ilustraciones |
Modigliani|Piero|||Journal of a Scientician |||Primera|||USA|Philosophical Library|||1957|136||
Cummins|Harold|Charles Midlo||Finger Prints, palms and soles|||Primera|||USA|Dover Publications, Ink.|||1943|319|Ilustraciones, fotos y cuadros |
Hurlock|Elizabeth B.|||Psicología de la adolescencia |||Segunda |||Argentina|Editorial Paidos |||1967|573|Ilustraciones |
Genovés T.|Santiago|||Paleoantrología y evolución|||Primera|||México|UNAM|Serie Antropológica|15|1962|55||
Comas |Juan|||Relaciones inter-raciales en América Latina:1940-1960|||Primera|||México|UNAM|Serie Antropológica|12|1961|77||
Ramos |J.L.|J. Chávez/ A. Escobar/C. Sheridan/R. Tranquilino||El indio en la prensa nacional mexicana del siglo XIX: catálogo de noticias|III||Primera|||México|Ciesas|Cuadernos de la chata|139|1987|430||
Jesse D.|Jennings|Edward Norbeck|Editores|Prehistoric man in the new world|||Primera||||Rice University . Semicentennial Publiations||||527 a 555|Mapas y cuadros|
Genovés T.|Santiago|||El Oreopithecus en la evolucion de los hominidos |||Primera|||México|Universidad Nacional de México|||1959||Ilustraciones |
Horgan|Paul|||Los conquistadores en la América del Norte|||Primera|||México|Editorial Diana, S.A.|||1966|302||
Cárdenas García|Efraín|Aída Castilleja González, Carlos Juárez Nieto|Editores|Anales del Museo Michoacano|1|6|Primera|||México|INAH|||1998|227|Ilustraciones y fotos|
Barbosa Ramírez|A René|||La estructura económica de la Nueva España 1519/1810|||Primera|||México|Siglo veintiuno, S.A|||1971|259|Mapas |
Gojman Goldberg|Alicia|||Los conversos en la Nueva España |||Primera|||México|Escuela Nacional de Estudios Profecionales Acatlan||||235|Fotos|
Domínguez Ortiz|Antonio|||Las clases privilegiadas en la España del Antiguo Régimen|||Primera|||España|Ediciones ISTMO|||1973|464||
||||Textos políticos en la Nueva España|||Primera|||México|UNAM|||1984|183||
Jiménez Moreno|Wigberto|||Estudios de historia colonial|||Primera|||México|INAH|||1958|179|Mapas|
Zavala|Silvio|||Los esclavos indios en Nueva España|||Segunda |||México|El Colegio Nacional|||1981|467|Ilustraciones|
De Humboldt|Alejandro|||Ensayo politico sobre el reino de la Nueva España|||Primera|||México|Editorial Porrua, S.A.||39|1966|696|Ilustraciones, fotos, mapas y cuadros |
Florescano|Enrique|Isabel Gil Sánchez|Compiladores |Descripciones economicas regionales de Nueva España|||Primera|||México|SEP - INAH|||1976|326|Cuadros|
Salas |Alberto M.|||Crónica florida del mestizaje de las indias |||Primera|||Argentina|Editorial Losada, S.A.|||1960|214|Ilustraciones |
Cervantes de Salazar |Francisco|||México en 1554|||Segunda |||México|UNAM|||1952|190|Ilustrciones |
||||Ruggiero Romano Homenaje - Construir la historia |||Primera|||México|Colegio de Michoacan, Condumex, Intituto Mora, UNAM, UAM|||1998|59||
Reff|Daniel T.|||Disease, depopulation, and culture change in Northwestern New Spain 1518-1764|||Primera||||University of Utah Press|||1991|330|Mapas|
Abid|Abdelaziz|||Memoria del mundo - Conservando Nuestro Patrimonio Documental|||Primera|||México|UNESCO|||1998|39|Fotos|
Bonaccorsi|Nélida|||El trabajo obligatorio indígena en Chiapas siglo XVI|||Primera|||México|UNAM|||1990|72||
Arcila Farías|Eduardo|||Reformas económicas del siglo XVIII en Nueva España|||Primera|||México|SEP |||1974|159||
Kay |Cristóbal|||El sistema señorial europeo y la hacienda Latinoamericana |||Primera|||México|Ediciones Era, S.A|||1980|140|Cuadros|
Chávez |Ezequiel A.|||Apuntes sobre la colonia|III||Primera|||México|Editorial Jus, S.A.|||1958|107||
Chávez |Ezequiel A.|||Apuntes sobre la colonia|II||Primera|||México|Editorial Jus, S.A.|||1958|125||
Chávez |Ezequiel A.|||Apuntes sobre la colonia|I||Primera|||México|Editorial Jus, S.A.|||1958|100||
Jordán|B. Dahlgren|||Homenaje a Pablo Matínez del Río|||Primera|||México||||1961|387 a 399||
Bosch-Gimpera|Pedro|||El arte en América |||Primera|||México||||1964|30 a 45|Ilustraciones y fotos|
Comas |Juan|||Introducción a la prehistoria general|||Primera|||México|UNAM||74|1962|248|Ilustraciones y cuadros|
Espín|Jaime|||Los candelilleros del área períferica de la Comarca Lagunera |||Primera|||México|Ciesas|Cuadernos de la chata|6|1977|79|Mapas|
Franco Pellotier|Víctor |||Ideologia y discurso económico campesino en comunidades del valle del mezquital|||Primera|||México|Ciesas|Cuadernos de la chata|77|1983|309|Cuadros|
