Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Bradomín|José María|||Oaxaca en la tradición|||Segunda|||México||||1968|351||
||||La transformación agraria|||Segunda|||México, D.F|Secretaría de la Reforma Agraria|||1998|351|Fotos|
De la Rosa|Luis|||Memoria sobre el cultivo del maíz en México|||Primera|||México, D.F|Miguel Ángel Porrúa|||1989|49[9]||
Mabel Barabas|Alicia|Miguel Alberto Bartolomé et al||Los pueblos indígenas de Oaxaca |||Primera|||Oaxaca, Oax.|CONACULTA-INAH|||2003|255|Fotos|
||||Creative Source|||Cuarta|||Toronto, Ontario|Wilcord Publications ||||431|Cuadros, Fotos e ilustraciones|
Quiñones Melgoza|José|||Teatro mexicano. Historia y dramaturgia|IV||Primera|||México, D.F|CONACULTA|||1992|137|Fotos|
Partida |Armando|||Teatro mexicano. Historia y dramaturgia|II||Primera|||México, D.F|CONACULTA|||1992|161|Cuadros e ilustraciones|
Cecilia Frost|Elsa|||Teatro mexicano. Historia y dramaturgia|V||Primera|||México, D.F|CONACULTA|||1992|124|Ilustraciones|
Medina|Andrés|||Cuadernos de trabajo. Dos ensayos sobre la antropología en México|||Primera|||México, D.F|UNAM||1|1996|61||
||||La fiesta en la Nueva España|||Primera|||Tepotzotlán, Edo. Méx|CNCA-INAH|||1997|30|Fotos|
Steward|Julian H.|||Teoría y práctica del estudio de áreas|||Primera|||Washington, D.C|Unión Panamericana|||1955|85||
||||Cómo elaborar un proyecto de desarrollo|||Primera|||[México]|Instituto de estudios sociales|||1965|31|Cuadros|
Kourganoff|V.|||La investigación científica|||Segunda||Trad. Por L. Bunodiere de Lugones|Buenos Aires, Argentina|Editorial Universitaria de Buenos Aires||5|1960|64||
Geymonat|L.|||El pensamiento científico|||Tercera||Trad. Por José Babini|Buenos Aires, Argentina|EUDEBA|||1961|67||
||||Atlas Agrario del Estado de Oaxaca|||Primera|||Oaxaca, Oax.|Gobierno del Estado de Oaxaca|||2002|133|Mapas y cuadros|
||||Comunicaciones: Proyecto Puebla-Tlaxcala|||Primera|||Puebla, Pue|Fundación Alemana para la Investigación Científica||13|1976|98|Mapas, Cuadros y Fotos|
Cavazos Garza|Israel|||Estado de Nuevo Leon y Ciudad de Monterrey|||Primera|||Nuevo León|Enciclopedia de México|||1976|170|Cuadros y fotos|
Ramírez|Francisco|||Historia de la revolución mexicana en Oaxaca|||Primera|||México|Instituto Nacional de Estudios Históricos de la Revolución Mexicana|||1970|221||
Reina|Leticia|Elisa Servín|Coordinadoras|Crisis, Reforma y Revolución. México: Historias de fin de siglo|||Primera|||México, D.F|INAH|||2002|483||
