Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Schweitzer|Albert||El pensamiento de la India|||Primera||Trad. por Antonio Ramos-Oliveira|0|Fondo de Cultura Económica|Breviarios|63|1952|231 pp.||
Turner|Paul & Shirley||Dictionary Chontal|||Primera|||USA|The Univesity of Arizona Press|||1971|363 pp.||
Körner|Stephan||Introducción a la filosofía de la matematíca|||Primera|||México|Siglo Veintiuno Editoriales|Teoría y crítica||1967|250 pp.||
Machiavelli|Niccolò||The prince|||Primera||Trad. por Thomas G. Bergin|New York|Appleton Century - Crofts|Crofts classics||1947|82 pp.||
Careaga|Gabriel||Los intelectuales y el poder|||Primera|||México|Secretaría de Educación Pública|SepSetentas|59|1972|207 pp.||
Palmer|Ingrid||La alimentación y la nueva tecnología agricola|||Primera||Manuel Alberto Alcalá|México|Secretaría de Educación Pública|SepSetentas||1976|150 pp.|Fts|
Platón|||La república|||Segunda||J. M. Pabón y M. Fernandez Galino|México|Universidad Nacional Autónoma de México|Nuestros Clásicos||1963|368 pp.||
Echeverría|Bolivar|C. Castro|Sartre, los intelectuales y la política|||Primera|||México|Siglo Veintiuno Editoriales|Colección Mínima|18|1968|107 pp.||
Berninger|Dieter George||La inmigración en México (1821 - 1857)|||Primera||Roberto Gómez Cirisa|México|Secretaría de Educación Pública|SepSetentas||1974|198 pp.||
Flores|Edmundo||La alimentación problema mundial|||Primera|||México|Fondo de Cultura Económica|Testimonios del Fondo|33|1975|63 pp.||
Nash|Juan||Bajo la mirada de los antepasados|||Primera|1993|Teresita Hernández Ceballos|México|Instituto Nacional Indigenista|Presencias|51|1993|436 pp.|Fts - Tbls|
Kochan|Leslie||The maquiladoras and toxics|||Primera|||Washington, D.C.|American Federation of Labor and Congress of Industrial Organizations||||12 pp.||
|||Memoria II congreso Nacional agrario|4|||||México|Banco Nacional del Crédito Rural|||1983|1442 pp.||
Wyss|Max A.||Aspectos de la naturaleza|||Primera||||Vidorama|Ocio/Consulta|||124 pp.|Ilus - Fts|
Mendoza Ramírez|Martha Patricia||Reorganización espacial en la selva Lacandona. Una visión histórica.|||Primera|||México|Instituto de Investigaciones Dr. José María Luis Mora|||1993|180 pp.|Mps|
|||Museo Nacional de Culturas Populares|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa chata|115|1984|159 pp.|Ilus - Fts|
||||||||||||||||
Rhoades|Robert E.||Breaking new ground|||Primera|||Perú|International Potato Center|||1984|71 pp.|Ilus - Fts - Cuad|
Ruz|Mario Humberto||Savia india, floración ladina|||Primera|||México|Consejo Nacional para la Cultura y las Artes|Regiones||1992|415 pp.|Cuad|
Bernard|R.||Compendio de anatomía topográfica|||10a.|||México|Editora Nacional|||1949|522 pp.||
Solorzano F|Valentín||Evolución economica de Guatemala|||Primera|||México|"Centro Editorial ""José de Pineda Ibarra"""|Seminario de Intergración social Guatemala|11|1947|444 pp||
Nolasco A.|Margarita||Aspectos sociales de la migración en México|II||Primera|||México|Secretaría de Educación Pública - Instituto Nacional de Antropología e Historia|||1979|331 pp.|Cuad - Mps|
H. Gossen|Gary||Los Chamulas en el mundo del sol|||Primera|||México|Instituto Nacional Indigenista|||1974|450 pp.||
Andrade|Susana||Protestantismo indígena. Procesos de conversión religiosa en la provincia de Chimborazo, Ecuador|||Primera|||Ecuador|ABYA YALA - FLACSO - IFEA|||2004|388 pp.|Fts - Cuad|
Báez|Fernando||El saqueo cultural de América Latina|||Primera|||México|Random House Mondadori|Debate||2008|408 pp.||
Artís|Gloria||Encuentro de voces|||Primera|||México|Instituto Nacional de Antropología e Historia|||2005|543 pp.||
Warman|Arturo||La historia de un bastardo: maíz y capitalismo|||Primera|||México|UNAM - Fondo de Cultura Económica|||1988|281 pp.||
A Glick|Mark||Competition, technology and money|||Primera|||México|Edward Elgar Publishing Company|||1994|256 pp.||
Hall|Carolyn||El café y el desarrollo histórico - Geográfico de costa rica|||||Jesús Murillo Gutiérrez|México|Editorial Costa Rica y Universidad Nacional|||1978|208 pp.|Mps|
Ibarra Mendivil|Jorge Luis||Trabajo y propiedad en el ejido colectivo|||Primera|||Sonora|El Colegio de Sonora|Cuaderno de divulgación|5|1987|27 pp.|Cuad|
Contreras Montellano|Oscar F.||La minería en Sonora: modernización industrial y fuerza de trabajo|||Primera|||Sonora|El Colegio de Sonora|Cuaderno de divulgación|5|1987|46 pp.|Mps - Cuad|
Saucedo Montemayor|Pedro||Historia de la Ganadería en México|1||Primera|||México|Universidad Nacional Autónoma de México|||1984|325 pp.|Fts - Cuad|
Boserup|Ester||The conditions of agricultural growth|||Primera|||Chicago|Aldine Publishing Company|||1965|124 pp.||
Baños Ramírez|Othón||Yucatán: ejidos sin campesinos|||Primera|||Mérida|Universidad Autónoma de Yucatán|||1989|336 pp.|Cuad - Mps|
|||Congreso nacional agrario de Toluca 1959|||2a.|||Toluca||||1980|214 pp.||
Bender|Barbara||Farming in prehistory. From hunter-gatherer to food-producer|||Primera|||Londres|John Baker|||1975|268 pp.|Cuad - Mps|
Gómez Tagle|Silvia||Organización de las sociedades de crédito ejidal de La Laguna|||Primera|||México|El Colegio de México|Cuadernos del CES|8|1974|108 pp.||
Martell|David||Mercados secundarios de productos agrícolas. El mercado de granos y su control político.|||Primera|||México|Universidad Nacional Autónoma de México|||1988|55 pp.|Cuad|
Rojas Rabiela|Teresa||La agricultura chinampera|||Primera||||Universidad Autónoma Chapingo|Cuadernos universitarios|7|1983|229 pp.|Fts - Mps|
K. Early|Daniel||Café: Dependencia y efectos|||Primera||Gabriel García Ayala|México|Instituto Nacional Indigenista|||1982|159 pp.||
|||Estudios sociológicos|II||Primera|||México|Universidad de Michoacán|||1955|525 pp.|Fts - Cuad|
García Jiménez|Plutarco||Conflictos Agrarios en Morelos: 1976 - 1986|||Primera|||México|Equipo Pueblo|||1988|56 pp.||
|||Institutions and individuals active in environmentally-sound and appropriate technologies|||Primera|||Nairobi|United Nations Environment Programme|||1978|281 pp.|Cuad|
Solimano|Giorgio||Política y alimentos en América Latina|||Primera|||México|Editorial Nueva Imagen|||1980|235 pp.||
Heady|Earl O.|John L. Dillon|Agricultural production functions|||Primera|||USA|Iowa State University Press|||1961|661 pp,|Cuad|
|||Cuadernos de discusión||5|Primera|||México|Ce.Na.Pro.|||1980|71 pp.||
|||Memoria II Congreso Nacional Agrario|||Primera|||México||||1981|397 pp.|Ilus - Fts|
Vallarta Vélez|Luz del Carmen|María Teresa Ejea Mendoza|Antropología social de las artesanías en el sureste de México: dos estudios|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la Casa Chata|128|1985|124 pp.|Cuad - Mps|
Nakayama A.|Antonio||Sinaloa: el drama y sus actores|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica|20|1975|296 pp.|Fts|
Braniff C.|Beatriz||Papeles norteños|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección científica||1997|191 pp.|Fts - Mps|
Medina Lima|Constantino||Libro de los guardianes y gobernadores de Cuauhtinchan (1519-1640)|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|||1995|178 pp.|Ilus - Fts|
Fuentes Bazán|Ma. Eugenia|Virginia Guzmán Monrroy|Guía documental del fondo jesuita|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de la biblioteca|5|1981|160 pp.||
Castillo F.|Victor M.||Memorial breve acerca de la fundación de la ciudad de Culhuacan|||Primera|||México|Universidad Nacional Autónoma de México|||1991|157 pp.|Cuad - Mps|
Pedrero Nieto|Gloria||Catálogo paricla I del archivo histórico diocesano de San Cristóbal L.C. Chiapas|||Primera|||San Cristóbal de las Casas|Centro de Investigaciones Ecológicas del Sureste|Documentos|3|1979|104 pp.||
VV.AA.|||Monitor - Enciclopedia SALVAT para todos||5|Primera|||México|SALVAT|||1967|120 pp.|Ilus - Fts - Cuad - Mps|
|||Clasificación de suelos|||Primera|||México|FAO UNESCO|||1970|27 pp.|Ilus - Cuad|
Rodríguez|Roberto|Imelda García|Los pescadores de Oaxaca y Guerrero||9|Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa chata|118|1985|124 pp.||
Chenatu|Victoria||Los pescadores de Baja California||2|Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa chata|111|1985|180 pp.|Ilus - Mps|
