Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Landavazo|Marco Antonio||Territorio, frontera y región|||Primera|||México|Porrúa/ Universidad Michoacana|||2003|394||1
Aragón|Leopoldo||La cuestión racial en los Estados Unidos||||||Argentina|IGUAZÚ|||1966|86||1
Mnnix|Daniel P.|M. Cowley|Historia de la trata de negros|||||Eduardo Bolívar Rodríguez||Alianza Editorial/ Daniel P. Mannix|||1962|281||1
Woddis|Jack||El porvenir de Africa|||Primera||Felipe Sarabia|México||Ancho mundo||1963|156||1
Wauthier|Claude||El Africa de los africanos|||||Julian Marcos|España|Tecnos|||1966|354||1
Jeannot|Fernando||La modernización del estado empresaro en América Latina|||Primera|||México|UAM Azcapotzalco|||1990|223||1
Toussaint|Manuel||La catedral y las iglesias de Puebla||||||México|Porrúa|||1954|244||1
Suret-Canale|Jean||Africa negra|||||Alfredo Varela|Buenos Aires|Platina|El ojo de buey|||225||1
Ziegler|Jean||Saqueo en África|||Primera||María Dolores de la Peña|México|Siglo XXI Editores|||1979|281||1
Mannheim|Karl||Diagnóstico de nuestro tiempo|||Tercera||José Medina Echavarría|México|FCE|||1959|232||1
Gurvitch|Georges||Dialéctica y sociología|||Segunda||Juan Ramón Capella|Spain|Alianza Editorial|||1971|336||1
Hernández Castillo|Rosalva Aída||La otra palabra|||Primera|||México|CIESAS/ COLEM/ CIAM|||1998|175||1
Barestein|Jorge||Ensayos||||||México, D.F.|Centro de Investigación y Docencia Económicas, A. C.|Colección administración pública|||217||1
Owen|Roger|Bob Sutcliffe|Estudios sobre la teoría del imperialismo|||Primera||Ana María Palos|México, D.F.|Ediciones Era|El hombre y su tiempo||1978|342||1
Pierri|Ettore||Braceros|||Primera|||México|Editores Mexicanos Unidos|||1978|194||1
