Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Paton|Alan||república de sudáfrica|||Primera||Victor Scholz|Barcelona|Alan Paton/ Sayma|||1964|270||1
Haberlandt|Michael||Etnografía|||||Prof. Dr. Telesforo de Aranzadi|Barcelona|Editorial Labor|||1926|302||1
Segal|Ronald||Perfiles Africanos|||||Néstor A. Míguez|Argentina|Editorial Universitaria de Buenos Aires|Biblioteca Asia y Africa||1964|408||1
Paulme|Denise||Las civilizaciones africanas|||||Eugenio Abril|Argentina|Editorial Universitaria de Buenos Aires|Biblioteca Asia y Africa||1962|118||1
Fanon|Franstz||Por la revolución africana|||Primera||Demetrio Aguilera Malta|México|FCE|||1965|229||1
Julien|André||Historia de Africa|||||Eugenio Abril|Argentina|Editorial Universitaria de Buenos Aires|Biblioteca Asia y Africa||1963|125||1
carmichael|Stokely|Charles V. Hamilton|poder negro|||Primera|||México|Siglo XXI Editores|||1967|184||1
Klein|Herbert||Slavery in the Americas||||||USA|Oxford Univeersity Press|||1967|270||1
Dunn|L.C.|Th. Dobzhansky|Heredity, race and society|||Fourteenth|||USA|The new american library|||1960|144||1
Sithole|Ndabaningi||El reto de Africa|||Primera||Francisco González Aramburo|México|FCE|||1961|228||1
Chaunu|Pierre||Historia de América Latina|||||Federico Monjardín|Argentina|Editorial Universitaria de Buenos Aires|||1964|132||1
Prescott|William H.||Historia de la conquista del Peru||||||México, D.F.|Compañía General de Ediciones||||274||1
Jahn|Janheinz||Las culturas neoafricanas|||||Jasmin Reuter|México|FCE|||1963|348||1
De Tejada|Francisco Elias||Sociología del Africa Negra||||||Madrid|Ediciones Rialp|Biblioteca del Pensamiento Actval||1956|275||1
Picón- Salas|Mariano||de la Conquista a la Independencia|||Tercera|||México|FCE|||1944|261||1
Jaguaribe|Helio|Aldo Ferrer, Miguel S. Wionczek y Theotonio Dos Santos|La Dependencia político- Económica de América Latina|||Primera|||México|Siglo XXI Editores|||1970|293||1
Balandier|Georges||África Ambigua||||||Argentina|Editorial del sur|||1964|247||1
Varela Barraza|Hilda||África: crisis del poder político|||Primera|||México, D.F.|Editorial Nueva Imagen|||1981|234||1
Cardoso|Ciro F. S.|Héctor Pérez Brignoli|Historia económica de América Latina|I||Tercera|||Barcelona, España.|Crítica|||1984|232||1
Ziégler|Jean||Sociología de la nueva Africa|||Primera|||México|Ediciones Era|||1968|235||1
Acosta Saignes|Miguel||Zona Circuncaribe||162||||México|Instituto Panamericano de Geografía e Historia|||1953|101||1
Márquez Miranda|Fernando||Región Merional de América del Sur||178||||México|Instituto Panamericano de Geografía e Historia|||1954|240||1
Valdivia Dounce|Teresa||Usos y costumbres de la población indígena de México|||Primera|||México, D.F.|INI|||1994|375||1
Tischer|Herbert||Etnografia||||||Argentina|Compañía General Fabril Editora, S. A.|||1964|384||1
Estrada Cajigal|Adriana||Fiestas cívicas, religiosas y populares en Morelos|||Primera|||México, D.F.|Gobierno del Estado de Morelos/ Porrúa|||1994|126||1
Anaya|Graciela||Hacia un video indio|||Primera|||México, D.F.|INI|||1990|74||1
|||As culturas negras||III||||Rio de Janeiro|Livraria editora da casa do estudante do Brasil||||218||1
Gómez Izquierdo|José Jorge||El movimiento antichino en México (1871- 1934)|||Primera|||México, D.F.|INAH|||1991|183||1
Valle|M.M.||Dualismo Racial||||||Lima|Ediciones del Instituo de Estudios Humanos|||1961|24||1
Winfield Capitaine|Fernando||Esclavos en el archivo notarial de Xalapa 1700 - 1800|||Primera|||Ver. México.|Universidad Veracruzana.|||1984|298||1
Acosta Saignes|Miguel||Vida de los esclavos negros en Venezuela||||||Caracas, Venezuela.|Hesperides|||1967|410||1
Gusmán Campos|Germán||El padre Camilo Torres|||Tercera|||México|Siglo XXI Editores|||1969|321||1
Galeano|Eduardo||Memoria del fuego (I) Los nacimientos|||Cuarta|||México|Siglo XXI Editores|||1983|330||1
Geist|Ingrid||Comunión y disensión: pr´cticas rituales en una aldea cuicateca|||Primera|||Oax. México.|INAH, Instituto Oaxaqueño de las Culturas|Antropología||1997|250||1
Southall|Aidan||Social Change in Modern Africa|||First|1963, 1965 and 1969||London|International African Institute 1961|||1961|337||1
Broda|Johanna||Historia y vida ceremonial en las comunidades mesoamericanas: los ritos agrícolas|||Primera|||México, D.F.|INAH- Instituto de Investigaciones Históricas|||2004|498||1
Pérez de Barradas|José||Los mestizos de América||||||España|José Pérez de Barrada/ Espasa- Calpe|Austral||1976|249||1
Morner|Magnus||Estados, razas y cambio social en la Hispanoamérica colonial|||Primera|||México|SEP|SEPSETENTAS||1974|158||1
