Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Blanco|J. Joaquín|et. al.|Cuidado con el corazón: los usos amorosos en el México moderno|||Primera|||México|Instituto Nacional de Antropología e Historia|Divulgación||1995|250 pp.|Ilus - Fts|
Casillas Moreno|Angelina||La mujer en dos comunidades de emigrantes (Chihuahua)|||Primera|||México|Secretaría de Educación Pública|Frontera||1986|107 pp.|Cuad - Mps|
Barrera Bassols|Dalia|Lilia Venegas Aguilera|Testimonios de participación popular femenina en la defensa del voto, Ciudad Juárez, Chihuahua, 1982-1986|||Primera|||México|Instituto Nacional de Antropología e Historia|Divulgación||1992|134 pp.||
Hannum|Hurst||Guide to international human rights practice|||Primera|||Philadelphia|University of Pennsylvania Press|||1984|310 pp.||
Cook|Sherburne F.|Woodrow Borah|El pasado de México: aspectos sociodemográficos|||Primera||Trad. por Juan José Utrilla|Méxco|Fondo de Cultura Económica|||1989|487 pp.|Cuad - Mps|
Braniff Cornejo|Beatriz||Morales, Guanajuato, y la tradición tolteca|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1999|148 pp.|Ilus - Fts - Cuad - Mps|
García Díaz|Agripina|et. al.|Homenaje a la doctora Beatriz Barba de Piña Chán|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1997|563 pp.|Ilus - Fts - Cuad - Mps|
George|Pierre||Introduction a l'étude géographique de la population du monde|||Primera|||Francia|Institut National d'Études Démographiques - Presses Universitairs de France|Travaux et documents|14|1951|284 pp.|Cuad - Mps|
Velasco Toro|José|Guadalupe Vargas M.|El problema social y cultural de los refugiados guatemaltecos de origen étnico en México - Conflictos agrarios y movilización campesina en Veracruz: 1970-1977 - Jóvenes campesinos, migración y mercados rurales de trabajo|||Primera|||Veracruz|Instituto de Investigaciones y Estudios Superiores Económicos y Sociales de la Universidad Veracruzana|Cuadernos del IIESES|9|1985|59 pp.|Cuad|
Federación de mujeres cubanas|||Tesis. Profundizando la acción revolucionaria de la mujer|||Primera|||La Habana|Federación de Mujeres Cubanas|||1974|102 pp.|Fts|
Dougherty|Molly Crocker||Becoming a woman in rural black culture|||Primera|||New York|Holt, Rinehart and Winston|||1978|111 pp.|Fts - Cuad - Mps|
Gonnard|René||Historia de las doctrinas de la población|||Primera||Trad. por José Ferrer|Chile|Centro Latinoamericano de Demografía|||1969|286 pp.||
Ruiz Gordillo|J- Omar||Paxil. La conservación en una zona arqueológica de la región de Misantla, Veracruz|||Primera|||México|Instituto Nacional de Antropología e Historia|Textos básicos y manuales||1999|172 pp.|Ilus - Fts - Cuad - Mps|
Wainerman|Catalina H.||El trabajo femenino en el banquillo de los acusados|||Primera|||México|Editorial terra nova|||1981|203 pp.|Cuad - Estad|
Elu de Leñero|María del Carmen||Perspectivas femeninas en América Latina|||Primera|||México|Secretaría de Educación Pública|SepSetentas|264|1976|211 pp.|Cuad|
Signorelli Marti|||La mujer en el mundo antiguo|||Primera|||Argentina|Editorial Dedalo|||1960|157 pp.||
|||La mujer en América Latina|I||Primera|||México|Secretaría de Educación Pública|SepSetentas||1975|223 pp.|Cuad|
Statkowa|Susanne||La mujer en el socialismo|||Primera||Inertext Berlin|Alemania|Grafischer grossbetrieb Völkerfreundschaft|||1974|64 pp.|Fot - Ilus - Cuad - Maps|
Bertillon|Dr. Jacques||Le problème de la dépopulation|||Primera|||Paris|Armand Colin & cie.|Questions du temps présent||1897|82 pp.||
Moya Palencia|Mario||La revolución demográfica|||Primera|||México|Fundación para Estudios de la Población|||1973|156 pp.|Fts|
Boserup|Ester|Christina Liljencrantz|Integration of women in development|||Primera|||New York|United Nations development programme|||1975|42 pp.||
Azaola|Elena||Infancia robada. Niños y niñas víctimas de explotación sexual en México|||Primera|||México|UNICEF - DIF - CIESAS|||2000|191 pp.|Fts - Cuad|
|||Plan de acción regional sobre la integración de la mujer en el desarrollo economico y socialde América Latina|||Primera|||Chile|Impresos Offset|||1977|44 pp||
Marx Engels Lenin|||La emancipación de la mujer|||Primera|||México|Editorial Grijalbo|Colección 70||1970|160 pp.||
Martínez Peláez|Severo||La patria del criollo|||Septima|||México|Universidad autónoma de Puebla|||1982|786 pp.||
Malthus|Thomas|Julian Huxley|Three essays on population|||Primera|||New York|Mentor Books|||1960|144 pp.||
L. Meek|Ronald|Steve Weissman|Marx, Engels y la explosión demográfica|||Primera|||México|Editorial extemporáneos|||1973|252 pp.||
Wrong|Dennis H.||La población|||Tercera|||Argentina|Editorial Paidós|||1971|135 pp.||
Cebotarev|Eleonora||Mujer rural y desarrollo. Nuevo enfoque de la educación del hogar en América Latina|||Primera|||Bogotá|Centro Internacional de Investigaciones para el Desarrollo|||1979|188 pp.|Ilus|
Antonio|Carrillo Flores||Diálogos sobre la población|||Primera|||México|El colegio de México|||1974|198 pp.||
Borrie|W.D||Historia y estructura de la población mundial|||Primera||Margarita Sánchez|España|Ediciones Istmo|||1970|386 pp.|Cuad - Mps|
Wrigley|||Historia y población|||Primera|||Italia|Ediciones Guadarrama|||1969|255 pp.|Ilus - Fts|
Swadesh|Mauricio||El lenguaje y la vida humana|||Primera|||México|Fondo de Cultura Económica|||1966|395 pp.|Ilus - Tablas|
Randall|Margaret||Las mujeres|||Primera|||México|Siglo XXI editores|||1970|230 pp.||
Calvo Serraller|Francisco||Breve historia del museo prado|||Primera|||España|Alianza Cien|||1994|63 pp|Ilus - Fts.|
Aguirre Beltrán|Gonzalo||Programas de salud en la situación intercultural|||Primera|||México|Instituto Indigenista Interamericanno|||1955|1991 pp||
Galeana|Patricia||Mujer y constitución|||Primera|||México|Universidad Nacional Autónoma de México|||1998|335 pp.||
Cossío Díaz|José Ramón||Los problemas del derecho indígena en México|||Primera|||México|Comision Nacional de los derechos humanos México|||2002|181 pp.||
|||Lucha contra la impunidad|||Primera|||México|Comision Nacional de los derechos humanos México|||1999|403 pp.||
Chevalier|Louis||Démographie générale|||Primera|||Paris|Dalloz Paris|Collection publiée sous le patronage e la fondation Nationale des sciences politiques|3|1951|599 pp.|Tabl|
Elmendorf|Mary||La mujer maya y el cambio|||Primera||Carmen Viqueira|México|Biblioteca S.E.P|||1972|173 pp.|Fotos|
Garcia Calderón|Carola||Revistas femeninas: La mujer como objeto de consumo|||Primera|||México|Ediciones el Caballito|||1980|166 pp.|Fts - Tbls|
Lorenzo|José Luis|Lorena Mirambell|La arqueología en México|||Primera|||México|Instituto Nacional de Antropología e Historia|||1998|185 pp.|Tbls|
Beaujeu-Garnier|||Demogeografía|||Primera||Nuria Bozzo Durán|México|Editorial Labor|||1972|420 pp.|Mps - Fts - Tbls|
Chaunu|Pierre||Historia y población Un futuro sin porvenir|||Primera||Óscar Barahona y Uxoa Doyhamboure|México|Fondo de Cultura Económica|||1996|346 pp.|Tbls|
Turner Y.|Anayansi||Relaciones Centroamérica-México Panamá|||Primera|||México|Programa de estudios centroamericanos|||1986|104 pp.|Tbls|
Vargas Foronda|Jacobo||Guatemala: sus recursos naturales, el militarismo y el imperialismo|||Primera|||México|Claves Latinoamericanas|||1984|173 pp||
Blanco Fiegeroa|Francisco||Mujeres Mexicanas del siglo XX La otra revolución|IV||Primera|||México|Editorial Edicol|||2001|663 pp.||
Blanco Fiegeroa|Francisco||Mujeres Mexicanas del siglo XX La otra revolución|II||Primera|||México|Editorial Edicol|||2001|631 pp.||
Dierckxsens|Wim|Mario E. Fernandez|Economía y población|||Primera|||México|Editorial Universitaria Centroamericana|||1979|345 pp.|Tbls|
R. K. Kelsall|||Population|||Primera|||Gran Bretaña|Longman|||1970|119 pp.||
|||El drama de la prostitución: las que nacieron para perder|||Segunda|||México|Editores Mexicanos unidos|||1982|232 pp.|Fts|
|||La vida desde nuestros ojos Mujeresde la merced|||Primera|||México|Editorial Progreso|||2001|156 pp.|Fts|
V. I. Lenin|||The emancipation of women||||||USA|International publishers co.|||1966|135 pp.||
Basaglia|Franco|et. al.|La salud de los trabajadores|||Primera||Trad. por Horacio Serafini|México|Nueva Imagen|||1978|251 pp.||
|||Plan de acción regional sobre la integración de la mujer en el desarrollo económico y social de américa latina.|||Primera|||Chile|Naciones Unidas||||44 pp.||
Cotera|Martha P.||Diosa y hembra. The history and heritage of chicanas in the US|||Primera|||Texas|Information Systems Development||||202 pp.||
Bongaarts|John||Un marco para el análisis de los determinantes próximos de la fecundidad|||Primera|||Bogotá - México|Corporación Centro Regional de Población - The Population Council|Ensayos sobre población y desarrollo|3|1982|34 pp.|Cuad|
Brejchová|Ji?ina|et. al.|Las mujeres en Checoslovaquia|||Primera||Trad. por Antonio Carrasco|Praga|Comité de Mujeres Checoslovacas|||1963|55 pp.|Fts|
Castro|Fidel||La revolución tiene en las mujeres cubanas hoy día una impresionante fuerza política|||Primera|||La Habana|Editorial de Ciencias Sociales|||1974|60 pp.|Fts|
