Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Galeano|Eduardo|||Memoria del fuego. Las caras y las máscaras|II||Segunda|||México. D.F|Siglo XXI|||1984|331||
Alegría |Fernando|||La maratón del Palomo|||Primera|||Buenos Aires|Centro Editor de América Latina|||1971|140||
Stone|Irving|||Anhelo de vivir|||Primera||Trad. Por Delia Piquerez |México. D.F|Editorial Diana||73|1953|413||
||||La guerra al malon|||Primera|||Buenos Aires|Editorial EUDEBA|||1965|79|Ilustraciones|
Becerril Straffon|Rodollfo|Adalberto Ríos Szalay|Compiladores|Los artesanos nos dijeron|||Primera|||México. D.F|Fondo Nacional para el Fomento de las Artesanías|||1981|80|Fotos|
Díaz Castillo|Roberto|||Folklore y artes populares||I|Primera|||Guatemala|Universidad de San Carlos de Guatemala|Colección problemas y documentos||1978|105|Ilustraciones|
Rodríguez|José Angel|||Vidas Ceremoniales|||Primera|||México. D.F|Casa de las Imágenes|||1991|[100]|Fotos|
Kaplan|Flora S.|||Una tradición alfarera|||Primera||Trad. Celia Paschero|México. D.F|INI|||1980|194|Mapas y cuadros|
Van Den Berghe|Pierre|||Race and ethnicity|||Primera|||USA|Basic Books|||1970|312|Cuadros|
Morner|Magnus|||La mezcla de razas en la historia de América Latina|||Primera||Trad. Por Jorge Piatigorsky|Buenos Aires|Editorial Paidós||5|1969|163|Fotos|
Delgado |Álvaro|||El ejército de Dios |||Primera|||México. D.F|Random House Mondadori|||2004|309||
Solórzano|Federico A.|||Ganchos atl-atl del Occidente de México|||Primera|||México |INAH|||1976|89|Ilustraciones|
Casado|María del Pilar||Compiladora|El arte rupestre en México|||Primera|||México, D.F|INAH|||1990|610|Cuadros y fotos|
Heyden|Doris|||Mitología y simbolismo de la flora en el México prehispánico|||Segunda|||México, D.F|UNAM|||1985|176|Ilustraciones y fotos|
Ortiz|Fernando|||Historia de una pelea cubana contra los demonios|||Primera|||La Habana, Cuba|Editorial de Ciencias Sociales, Instituto Cubano del Libro|||1975|625 [112]|Fotos e Ilustraciones|
Cardos de M.|Amalia|||El comercio de los mayas antiguos|1|II|Primera|||México, D.F|INAH|||1959|151|Mapas y cuadros|
||||Mesoamerican Notes|||Primera|||México, D.F|University of the Americas|||1966|211|Ilustraciones, cuadros y mapas|
Bendímez Patterson|Mary Julita|||Historia oral: Benito Peralta de Santa-Catarina, comunidad Pai-Pai|||Primera|||Baja California|Universidad Autónoma de Baja California|||1989|74|Fotos y cuadros|
Weaver|Thomas|||Essays on medical Anthropology|||Primera|||Athens|Southern Anthropoligical Society ||1|1968|98||
Bosch|Juan|||De Cristóbal Colón a Fidel Castro. El Caribe, frontera imperial|||Primera|||La Habana, Cuba|Ediciones Casa de las Américas|||1981|342||
Eloesser|Leo|Hemingway ||Guía de enseñanza para el libro. El embarazo, el parto y el recién nacido|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1954|42|Cuadros|
Gascón Mercado|Julian |||450 años del Hospital de Jesús|||Primera|||México, D.F||||1974|43|Fotos|
Montemayor|Felipe|||Los efectos de la onchocercosis|||Primera|||México, D.F|SEP-INAH|||1954|100|Cuadros|
