Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Titulo del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Martinez|Maria de los Ángeles||Catalogo de la biblioteca del convento de San Diego de la Ciudad de México (II)|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1999|262 pp.||
Ocampo Villa|Maria de los Ángeles||Catalogo de la biblioteca del convento de San Cosme de México I|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1992|71 pp.|Ilus|
Segura Martinez |Salvia Carmen|Alejandro Flores B.|Catalogo de la biblioteca del colegio de San Pedro y San Pablo de México I|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1992|76 pp.||
Martinez|Maria de los Ángeles||Catalogo de la biblioteca del convento de San Diego de la Ciudad de México (II)|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1999|262 pp.||
Gutiérrez Reyes|Judith|Lucia Celaya Méndez|Catálogo de la biblioteca del noviciado de los dieguinos de San José de Tacubaya I|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1991|83 pp.||
Guerrero Martínez|Minerva Elena||Catálogo de la biblioteca del convento de San Diego de México I |||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1991|79 pp.||
Espejo|Antonieta||Linares|||Primera|||EUA|X|||1959|X||
Olivera|Mercedes||Notas sobre las actividades religiosas en Tlaxiaco|||Primera|||México|Instituto Nacional de Antropología e Historia|||1963|151 pp.||
J. M.|Tristan||Bibliografía Maya - Yucateca|||Primera|||X|X|||X|X||
|Instituto Nacional Indigenista||Bibliografia de las artes populares plásticas de México |I||Primera|||México|Instituto Nacional Indigenista|||1950|132 pp.||
Borromeo |Carlos||Instrucciones de la fábrica y del ajuar eclesiásticos|||Primera|||México|Universidad Nacional Autónoma de México|||1985|112 pp.||
Fare Garnot|Jean Sainte||La vida religiosa en el antiguo egipto|||Primera|||Argentina|Editorial Universitaria de Buenos Aires|Cuadernos de EUDEBA|35|1964|69 pp.||
Renou |Louis||El hinduismo|||Primera|||Argentina|Editorial Universitaria de Buenos Aires|Cuadernos de EUDEBA|19|1960|63 pp.|Mps|
|Instituto Nacional de Antropología e Historia||Catálogo de publicaciones INAH 2000|||Primera|||México|Coordinacion Nacional de Difusion|||2000|279 pp.|Ilus|
Hutin|Serge||Las sociedades secretas|||Primera|||Argentina|Editorial Universitaria de Buenos Aires|Cuadernos de EUDEBA|47|1961|63 pp.|Ilus|
Rodriguez Delgado|Adriana||Catálogo de mujeres del ramo inquisición del archivo general de la nación|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||2000|406 pp.|Ilus|
Martinez|Maria de los Ángeles||Catálogo de la biblioteca de San Cosme de la Ciudad de México|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Fuentes||1998|126 pp.||
González Cicero |Stella María||Biblioteca nacional de antropología e historia: estudios acerca de sus acervos|||Primera|||México|Instituto Nacional de Antropología e Historia|Obra diversa||1998|104 pp.|Fts - Cuad|
Olivé Negrete|Julio César|Bolfy Cottom|Leyes estatales en materia del patrimonio cultural|I||Primera|||México|Instituto Nacional de Antropología e Historia|||1997|371 pp.|Fts|
Olivé Negrete|Julio César|Bolfy Cottom|Leyes estatales en materia del patrimonio cultural|II||Primera|||México|Instituto Nacional de Antropología e Historia|||2000|434 pp.|Fts|
Olivé Negrete|Julio César|Bolfy Cottom|Leyes estatales en materia del patrimonio cultural|III||Primera|||México|Instituto Nacional de Antropología e Historia|||2000|450 pp.|Fts|
|XXXV Congreso Internacional de Americanistas||Bibliografia antropológica trabajos publicados en México 1955-1962|||Primera|||México|Boletín Bibliográfico de Antropología Americana|||1962|172 pp.||
R. Llanes|José||Working papers and bibliography theory and methods of bilingual education|||Primera|||EUA|University of San Francisco|||X|X|Cuad|
Romero Frizzi|María de los Angeles||Cuadernos de los centros bibliografía antropológica del estado de Oaxaca|||Primera|||México|Centro Regional de Oaxaca/Instituto Nacioanl de Antropologia e Historia|||1974|315 pp.||
Campbell Mirza|Rebecca||"Cuaderno de la biblioteca catálogo de manuscritos existentes en la biblioteca ""Manuel Orozco y Berra"""|||Primera|||México|Instituto Nacional de Antropología e Historia|||1975|75 pp.||
de Peña|Guillermo|Luz Elena Galván de Terrazas|Bibliográfia comentada sobre la historia de la educación en México|||3a.|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la Casa Chata|12|1983|132 pp.||
González Guerra|Gisela||Derechos de los pueblos indígenas legislación en América Latina|||Primera|||México|Comisión Nacional de Derechos Humanos|||1999|711 pp.|Cuad - Mps|
Puzin|Alexéi||La religión en la URSS|||Primera|||Rusia|Editorail de la Agencia de Prensa Nóvosti|||X|53 pp.|Fts|
Micklem|Nathaniel||La religión|||3a.|||México|Fondo de Cultura Económica|Breviarios||1949|218 pp.||
Mogk |Eugen||Mitología nórdica|||Primera||Trad. por Eustaqui Echauri|España|Editorial Labor|Colección Labor Biblioteca de Iniciación Cultural|308|1953|178 pp.|Fts|
H. A. R. |Gibb||El mahometismo|||Primera||Trad por M. Villegas de Robles|México|Fondo de Cultura Económica|||1952|171 pp.||
K. M.|Sen||Hinduism the world's oldest faith|||Primera|||Inglaterra|Estate of K. M. Sen|||1961|160 pp.||
Deschamps|Hubert||Las religiones del África negra|||Primera||Trad. por Abelardo Maljuri|Argentina|Editorial Universitaria de Buenos Aires|Biblioteca Asia y África||1962|125 pp.|Mps|
|Consejo  Nacional de Población||El poblamiento de México una visión histórico-demográfica|IV||Primera|||México|Consejo Nacional de Población/Secretaría de Gobernación|México en el siglo XX Hacia el nuevo milenio: el poblamiento en perspectiva||1993|215 pp.|Ilus - Fts - Cuad - Mps|
S. |Linné||El valle y la Ciudad de México en 1550|||Primera|||Suecia|Museo Etnográfico de Suecia, Estocolmo|||1948|220 pp.|Ilus - Fts - Mps|
Medina Villegas|Humberto||Monografía de nuesta señora María de la Soledad y albúm del cincuentenario de su coronación|||Primera|||México|Dr. Humberto Medina Villegas|||1971|278 pp.|Ilus - Fts|
|Departamento de Etnología y Antropología Social||Cuadernos de trabajo religión y sociedad |||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de trabajo|17|1976|X||
