Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Díez-Canedo|Aurora|et. al.|Literatura, relato popular y religiosidad en el sureste de México|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa Chata|126|1985|127 pp.|Ilus - Cuad|
Robe|Stanley L.|et. al.|Antología del saber popular. A selection from various genres of mexican folklore across borders|||Primera|||Los Ángeles|Aztlán Publications|Monograph|2|1971|75 pp.||
Olmos|Fray Andrés de||Tratado de hechicerías y sortilegios|||Primera|||México|Universidad Nacional Autónoma de México|Facsímiles de lingüística y filología nahuas|5|1990|73 pp.||
Hoffman|Abraham||Unwanted mexican americans in the Great Depression|||Primera|2a.||Tucson|University of Arizona Press|||1976|207 pp.|Fts - Cuad - Mps|
Gómez|Magdalena||Derecho indígena|||Primera|||México|Instituto Nacional Indigenista - Asociación Mexicana para las Naciones Unidas|||1997|470 pp.||
Martínez López-Cano|Pilar|et. al.|Cofradías, capellanías y obras pías en la América colonial|||Primera|||México|Universidad Nacional Autónoma de México|||1998|280 pp.|Cuad|
Barringer|Herbert R.|et. al.|Cambios sociales en regiones en desarrollo|||Primera||Trad. Por Agustín Contín|México|Editorial Roble|||1968|360 pp.|Cuad|
Mares Trías|Albino|Don Burgess McGuire|El juego del palillo. Re'igí Ra'chuela|||Primera|||Chihuahua|Escuela Nacional de Antropología e Historia|||1996|56 pp.|Ilus - Fts|
Sepúlveda y Herrera|Ma. Teresa||Manuscritos en lenguas indígenas de los acervos de la Biblioteca Nacional de Antropología e Historia|||Primera|||México|Instituto Nacional de Antropología e Historia|Fuentes||1999|110 pp.|Cuad|
Alvarado Solís|Neya||Gente antigua|||Primera|||México|Instituto Nacional Indigenista|Raíces||1994|87 pp.|Fts|
Morales Bermúdez|Jesús||Antigua palabra narrativa indígena ch'ol|||Primera|||México|Plaza y Valdés - UNICACH|||1999|169 pp.|Cuad - Mps|
Morales Coello|E.|et. al.|Los altos de Chiapas. Una zona de reserva de mano de obra.|||Primera|||México|Centro Nacional de Productividad de México|||1978|317 pp.|Cuad|
Dos Santos||et. al.|La crisis del desarrollismo y la nueva dependencia|||Primera|||Argentina|Amorrortu - Instituto de Estudios Peruanos|||1969|189 pp.|Cuad|
Pérez|Humberto||El subdesarrollo y la vía del desarrollo|||3a.|||La Habana|Editorial de Ciencias Sociales|||1975|172 pp.|Cuad|
Cuestas|Raúl||La dictadura militar argentina y el genocidio en centroamérica|||Primera|||Argentina|Sima|||2005|209 pp.|Ilus - Fts|
González Arenas|Cecilia|et. al.|El valor de las leyes. Diferencias en la procuración de justicia.|||Primera|||Cuernavaca|Comisión Independiente de Derechos Humanos de Morelos|||1998|36 pp.|Fts|
|||Fascículo 3. El cumplimiento de los derechos económicos sociales y culturales|||Primera|||México|Comisión Nacional de los Derechos Humanos|Los derechos humanos y la globalización||2005|176 pp.|Fts - Cuad - Mps|
|||Fascículo 2. Los excluídos de la globalización|||Primera|||México|Comisión Nacional de los Derechos Humanos|Los derechos humanos y la globalización||2005|112 pp.|Cuad|
|||Fascículo 1. El siglo XX. Entre el respeto y la violación a los derechos humanos.|||Primera|||México|Comisión Nacional de los Derechos Humanos|Los derechos humanos y la globalización||2005|63 pp.||2
Franco|Jean||Las conspiradoras. La representación de la mujer en México|||Primera||Trad. Por Mercedes Córdoba|México|El Colegio de México - Fondo de Cultura Económica|Tierra firme||1994|240 pp.|Fts|
Seargeant|Helen H.||San Antonio Nexapa|||Primera|||Chiapas|Universidad de Ciencias y Artes de Chiapas|Facsímil|11|1980|431 pp.||
Díaz de Salas|Marcelo||San Bartolomé de los Llanos en la escritura de un etnógrafo. 1960-1961 Diario de campo. Venustiano Carranza, Chiapas.|||Primera|||Chiapas|Gobierno del Estado de Chiapas - Universidad de Ciencias y Artes del Estado de Chiapas|||1995|521 pp.|Ilus - Fts - Cuad|
Frost|Elsa Cecilia||La historia de Dios en las indias. Visión franciscana del Nuevo Mundo.|||Primera|||México|Tusquets|||2002|290 pp.||
Camou Healy|Ernesto|et. al.|Potreros, vegas y mahuechis|||Primera|||Sonora|Instituto Sonorense de Cultura - Secretaría de Fomento Educativo y Cultura|||1991|472 pp.||
Nettel|Patricia|Sergio Arroyo|Aproximaciones a la modernidad. París. Berlín. Siglos XIX y XX.|||Primera|||México|Universidad Autónoma Metropolitana|||1997|277 pp.||
Ruiz Ávila|Dalia||Cuéntame tu vida. Compendio de discursos autobiográficos.|||Primera|||México|Universidad Pedagógica Nacional|Textos|22|2001|286 pp.|Cuad|
Marion|Marie-Odile||Entre anhelos y recuerdos|||Primera|Primera||México|Plaza y Valdés - UNICACH|||1999|175 pp.|Cuad|
Pleyan|Carmen|José García López|Sintagma. Lengua y literatura españolas.|||Primera|||Barcelona|García López - Editorial Teide|Obras básicas de formación cultural||1970|326 pp.|Ilus - Fts - Cuad|
Pleyan|Carmen|José García López|Paradigma. Lengua y literatura españolas.|||3a.|||Barcelona|García López - Editorial Teide|Obras básicas de formación cultural||1969|316 pp.|Ilus - Fts - Cuad|
Quezada|Sergio||Los pies de la república. Los indios peninsulares 1550-1750|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista|Historia de los Pueblos Indígenas de México||1997|263 pp.|Ilus - Fts - Mps - Cuad|
Kamen|Henry||La inquisición española|||Primera||Trad. Por Gabriela Zayas|México|Grijalbo - Consejo Nacional para la Cultura y las Artes|Los noventa||1990|398 pp.||
Gurría Lacroix|Jorge||La caída de Tenochtitlan|||Primera|||México|Departamento del Distrito Federal|Popular|11|1974|128 pp.|Ilus|
Zéraoui|Zidane||El mundo árabe: imperialismo y nacionalismo.|||Primera||Trad. Por Rose Marie Lelong|México|Editorial Nueva Imagen - CEESTEM|||1981|218 pp.|Cuad - Mps|
Marini|Ruy Mauro||Dialética de la dependencia|||2a.|||México|Ediciones Era|||1974|101 pp.||
Sánchez|Consuelo||Los pueblos indígenas: del indigenismo a la autonomía|||Primera|||México|Siglo XXI|Umbrales de México||1999|247 pp.||
Zahar|Renate||Colonialismo y enajenación. Contribución a la teoría política de Frantz Fanon|||3a.||Trad. Por Enrique Contreras Suárez|México|Siglo XXI|||1972|132 pp.||
Torres Rivas|Edelberto||Interpretación del desarrollo social centroamericano|||6a.|||Costa Rica|Editorial Universitaria Centroamericana|Seis||1980|319 pp.|Cuad|
Dilthey|Wilhelm||Historia de la filosofía|||2a.||Trad. Por <eugenio Ímaz|México|Fondo de Cultura Económica|Breviarios|50|1956|273 pp.||
Spirkin|A.G.||Materialismo dialéctivo y lógica dialéctica|||Primera||Trad. Por José Laín|México|Grijalbo|Colección 70|53|1969|158 pp.||
Theodorson|George A.|Achilles G. Theodorson|A modern dictionary of sociology|||Primera|||Londres|Methuen & Co|||1970|468 pp.||
Pérez Castro|Ana Bella||Entre montañas y cafetales|||Primera|||México|Universidad Nacional Autónoma de México|||1989|235 pp.|Fts - Cuad - Mps|
Rosental|M.||Qué es la teoría marxista del conocimiento|||Primera||Trad. Por Vetaseni|Montevideo|Pueblos Unidos|||1958|105 pp.||
Lefebvre|Henri||El marxismo|||4a.||Trad. Por Thomas Moro Simpson|Argentina|Editorial Universitaria de Buenos Aires|Lectores de EUDEBA||1964|126 pp.||
Bracamonte|Pedro||La memoria enclaustrada. Historia indígenas de Yucatán 1750-1915|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Nacional Indigenista|Historia de los Pueblos Indígenas de México||1994|253 pp.|Fts - Cuad - Mps|
Ballesteros Pérez|Xóchitl||De la C a la P, de la cultura a la política. Procesos políticos en Lázaro Cárdenas, Quintana Roo|||Primera|||México|Escuela Nacional de Antropología e Historia - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||2001|143 pp.|Cuad - Mps|
Gobierno del Estado de Quintana Roo|||Ley orgánica municipal|||Primera|||México|CEDM Q.R. - Gobierno del Estado de Quintana Roo|||1990|64 pp.||
López Méndez|Mariano|et. al.|Vo'ne k'op ta tzinakanta. Historia antigua de Zinacantán||2|Primera|||México|Secretaría de Educación Pública - Sna Jtz'ibajom|||1988|47 pp.|Ilus|
Aziz Nassif|Alberto||El análisis del discurso: oficio de artesanos. Notas introductorias para su estudio.|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Cuadernos de la casa Chata|64|1982|60 pp.||
Academia Mexicana de Ciencias Antropológicas|||Memoria número 1. 2002-2004.|||Primera|||México|Instituto Nacional de Antropología e Historia|||2004|125 pp.|Fts|
|||Congreso internacional de antropología e historia. Programa científico.|||Primera|||Veracruz||||1992|158 pp.||
Nolasco Armas|Margarita||Las ideas evolutivas|||Primera|||México|Instituto Nacional de Antropología e Historia|Cuadernos de trabajo. Estudios|6|1974|37 pp.||
Mangalam|J.J.||Human migration. A guide to migration literature in English 1955-1962|||Primera|||Lexington|University of Kentucky Press|||1968|194 pp.||
Alba Hernández|Francisco|et. al.|"No todos los emigrantes mexicanos son ""mojados"" - Los jornaleros agrícolas migratorios: una solución organizativa"|||Primera|||México|CONACYT - SRA|||1977|23 pp.|Cuad|
Po'ot Yah|Eleuterio||K'axt'aano'ob. Palabras enlazadas.|||Primera|||Mérida|Capital Americana de la Cultura|Capital americana de la cultura|5|2000|95 pp.||
Ruiz Ávila|||Tejiendo discursos se tejen sombreros. Identidad y práctica discursiva.|II||Primera|||México|Universidad Pedagógica Nacional|Textos|37|2003|235 pp.||
Peña|Sergio de la||El modo de producción capitalista. Teoría y método de investigación.|||Primera|||México|Siglo XXI|Sociología y política||1978|246 pp.|Cuad|
Vergara Figueroa|César Abilio||Apodos, la reconstrucción de identidades. Estética del cuerpo, deseo, poder y psicología popular|||Primera|||México|Instituto Nacional de Antropología e Historia|Biblioteca del INAH||1977|224 pp.|Fts - Cuad|
Lenkersdorf|Gudrun||Génesis histórica de Chiapas 1522-1532. El conflicto entre Portocarrero y Mazariegos|||Primera|Primera||México|Universidad Nacional Autónoma de México|||2001|294 pp.|Mps|
Melesio Nolasco|José Carlos||Migración y fuerza de trabajo en la frontera norte y Tijuana|||Primera|||México|Universidad Nacional Autónoma de México|||1983|156 pp.|Cuad - Mps|2
Santos de Morais|Clodomir||Apuntes sobre teoría de la organización|||Primera|||México|Cámara de Diputados. LVII Legislatura.||||74 pp.||
Gunder Frank|André||Sociología del desarrollo y subdesarrolo de la sociología|||Primera|||Barcelona|Editorial Anagrama|Cuadernos Anagrama||1971|119 pp.||
Stein|Stanley J.|Barbara H. Stein|La herencia colonial de américa latina|||17a.||Trad. Por Alejandro Licona|México|Siglo XXI|Historia||1985|204 pp.||
Hinkelammert|Franz||La teoría clásica del imperialismo, el subdesarrollo y la acumulación socialista|||Primera|||Buenos Aires|Ediciones Nueva Visión|Fichas|22|1973|60 pp.|Cuad|
Berque|Jacques||La descolonización del mundo|||Primera||Trad. Por Francisco González Aramburo|México|Fondo de Cultura Económica|Breviarios|193|1968|225 pp.||
Gunder Frank|André||Reflexiones sobre la crisis económica|||Primera||Trad. Por Angels Martínez Castells|Barcelona|Editorial Anagrama|Cuadernos Anagrama||1977|126 pp.||
Castellanos G.|Alicia||Ciudad Juárez. La vida fronteriza.|||Primera|||México|Nuestro Tiempo|Estudios regionales||1981|225 pp.|Cuad|
Ruiz Ávila|Dalia||Tejiendo discursos se tejen sombreros. Identidad y práctica discursiva.|II||Primera|||México|Universidad Pedagógica Nacional|Textos|36|2003|352 pp.|Fts - Cuad|
Vega|Garcilaso de la||La Florida del inca|||Primera|||Madrid|Dastin|Crónicas de américa|||371 pp.||
Barabas|Alicia M.|Miguel A. Bartolomé|Historias y palabras de los antepasados. Investigación y devolución social de la información antropológica|||Primera|||México|Gobierno del Estado de Oaxaca|||2003|328 pp.|Ilus - Fts - Cuad - Mps|
Nolasco|Margarita|et. al.|Breviario de los municipios fronterizos de México|||Primera|||México|Editorial Paraná|||1992|427 pp.|Cuad - Mps|
Gómez Hernández|Antonio|Mario Humberto Ruz|Memoria baldía. Los tojolabales y las fincas. Testimonios.|||Primera|||México|Universidad Nacional Autónoma de México - Universidad Autónoma de Chiapas|||1992|404 pp.|Fts|
López Meza|Antonio||Sistema religioso-político y las expulsiones en Chamula|||Primera|||Chiapas|Gobierno del Estado de Chiapas|||2002|231 pp.|Cuad - Mps|
|||Relatos tojolabales. Tantik lo'il tojolab'al|||Primera|||México|Consejo Nacional para la Cultura y las Artes|Lenguas de México|21|1998|81 pp.|Ilus|
Velasco|Ramón||Poemas de la tierra|||Primera|||México|Velma Editores|||2005|72 pp.||
Muñoz Camargo|Diego||Historia de Tlaxcala|||Primera|||México|Gobierno del Estado de Tlaxcala - Centro de Investigaciones y Estudios Superiores en Antropología Social - Universidad Autónoma de Tlaxcala|Historia|5|1998|435 pp.|Cuad|
Locke|John||Ensayo sobre el gobierno civil||||||México|Editorial Porrúa||||||
