Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Numero de paginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
|Universidad Nacional Autónoma de México||Los tesoros artísticos del Perú|||Primera|||México|Universidad Nacional Autónoma de México|||1961|95 pp.|Ilus - Fts|
|Ediciones Castell||Canadá|||Primera|||España|Ediciones Castell/Colour Library International|Viaje por su vida y su belleza|6|n/a|70 pp.|Fts - Mps|
|Ediciones Castell||Gran Bretaña|||Primera|||España|Ediciones Castell/Colour Library International|Viaje por su vida y su belleza|11|n/a|70 pp.|Fts - Mps|
|Ediciones Castell||Suiza|||Primera|||España|Ediciones Castell/Colour Library International|Viaje por su vida y su belleza|4|n/a|71 pp.|Fts - Mps|
|Ediciones Castell||España|||Primera|||España|Ediciones Castell/Colour Library International|Viaje por su vida y su belleza|2|n/a|124 pp.|Ilus - Fts - Mps|
Melesio Nolasco|Sergio Ricardo||Tésis que para obtener el titulo de biólogo presenta Sergio Ricardo Melesio Nolasco|||Primera|||México|Universidad Nacional Autonoma de México|||1982|116 pp.|Cuad|
Bostelmann|Enrique||América un viaje a través de la injusticia|||Primera|||México|Siglo XXI editores|||1970|n/a|Fts|
Pellicer |Carlos|Martínez Negrete|…es un país lejano…|||Primera|||México|Foto ilustradores|||n/a|77 pp.|Fts|
Huyghe|René|Larousse|Larousse encyclopedia of prehistoric and ancient art|||Primera||Trad. por Michael Heron/Corinne Lambert|Inglaterra|Paul Hamlyn|||1962|401 pp.|Ilus - Fts - Mps|
Trimborn|Hermann||La América precolombina|||Primera||Trad. por Vicente Romano Garcia|España|Ediciones Castilla|||1965|275 pp.|Ilus - Fts - Cuad - Mps|
Covarrubias |Miguel||The eagle, the jaguar and the serpent |||Primera|||EUA|Miguel Covarrubias/Borzoi Books Alfred A. Knopf|||1954|294 pp.|Ilus - Fts - Cuad - Mps|
Arroyo de Anda Aveleyra|Luis||Obras selectas del arte prehispánico|||Primera|||México|Museo Nacional de Antropología|||1964|n/a|Fts|
Kubler|Geroge||La iconografía del arte de Teotihuacán|||Primera|||México|Yale University|||1966|||
Covarrubias |Miguel||Artes de la cuenca atlántica de Sudamérica|||Primera|||||||n/a|||
|||Arte del sureste de los Estados Unidos de Norteamerica|||Primera|||||||n/a|||
|||Horizonte arcaico mesoamericano|||Primera|||||||n/a|||
|||El arte de las culturas históricas prehispánicas de México|||Primera|||||||n/a|||
|||El arte negro africano|||Primera|||||||n/a|||
|||Arte de los Indios de la costa noroeste y de California|||Primera|||||||n/a|||
|||Apuntes de historia del arte prehispánico: I El arte y la cultura de la zona esquimal|||Primera|||||||n/a|||
|||Arte contemporáneo (histórico) de los indios de los bosques y de las praderas de Norte América|||Primera|||||||n/a|||
|||Artes indígenas del suroeste Norteamericanas|||Primera|||||||n/a|||
Alley|Ronald||Gauguin|||Primera|||Italia|Paul Hamlyn|The Colour Library of Art||1961|48 pp.|Ilus - Fts|
|Consejo Nacional de Fomento Educativo/Secretaría de Educación Pública||La lucha constitucionalista|IV||Primera|||México|Consejo Nacional de Fomento Educativo|Asi fue la revolución mexicana ||1985|743 pp.|Ilus - Fts - Cuad - Mps|
|Consejo Nacional de Fomento Educativo/Secretaría de Educación Pública||El triunfo de la revolución|V||Primera|||México|Consejo Nacional de Fomento Educativo|Asi fue la revolución mexicana ||1985|1002 pp.|Ilus - Fts - Cuad - Mps|
Schneider|Bruno F.||Gauguin|||Primera|||E.U.A|Crown Publishers|||n/a|28 pp.|Ilus|
Echeagaray Millan|Silvia||Cuaderno de investigación San Juan Copala caciquismo y represión, los triquis se organizan y luchan|||Primera|||EUA|Universidad Nacional Autonoma de México/Instituto de Investigaciones Económicas|||1985|240 pp.|Ilus - Fts - Cuad - Mps|
Canseco|José Raúl||Historia de Matamoros|||Primera|||México|Jose Raul Canseco Botello|||n/a|390 pp.|Ilus - Fts - Cuad - Mps|
Pozas |Ricardo||Memorias del Instituto Nacional Indigenista: Chamula un pueblo indio de los altos de Chiapas|VIII||Primera|||México|Instituto Nacional Indigenista|||1959|206 pp.|Ilus - Fts - Cuad - Mps|
Lloyd Dale|Jane|Elena Azaola|La formacion y actividades politicas del partido liberal mexicano en 1905-1906|||Primera|||México|Cuadernos de la casa Chata/Centro de Investigaciones Superiores del INAH|||1979|137 pp.|Cuad - Mps|
Manzanilla |Linda|Leonardo Lopéz Luján|Historia antigua de México: Aspectos fundamentales de la tradición cultural mesoamericana|IV||Primera|||México|Miguel Angel Porrúa/Instituto nacional de antropologia e historia/Instituto de Investigaciones Antropológicas|||2000|377 pp.|Ilus - Fts - Mps|
|Umschau Verlag||Bayern im farbbild|||Primera|||Alemania|Umschau Verlag|||1963|106 pp.|Ilus - Fts|
Piña Chan|Román|Luis Covarrubias|El pueblo del jaguar (Los olmecas arqueológicos)|||Primera|||México|Museo Nacional de Antropología|||1964|69 pp.|Ilus - Fts - Cuad - Mps|
|UTEHA||Antiguas civilizaciones cómo eran y qué dejaron la escritura|I||Primera|||México|Union Tipografica Editorial Hispano-Americana|||1981|159 pp.|Ilus - Fts - Cuad - Mps|
|Editores de LIFE|Lincoln Barnett|The epic of man|||Primera|||EUA|TIME INC. |||1962|176 pp.|Ilus - Fts - Cuad - Mps|
|Scientific American||Readings in the social sciences|I||Primera|||EUA|Scientific American|||1969|359 pp.|Ilus - Fts - Cuad - Mps|
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
