Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Núm. de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Castro Mantecón|Javier||Los lunes del cerro|||Primera|||México|"Universidad ""Benito Juárez"" de Oaxaca"|||1969|17 pp.|Fts|
MacNeish|Richard||Restos precerámicos de la cueva de Coxcatlán en el sur de Puebla|||Primera||Trad. Por Noemí Castillo Tejero y Lorena Mirambell|México|Instituto Nacional de Antropología e Historia|Publicaciones|10|1961|29 pp.|Mps  Fts - Ilus - Cuad|
Franco C.|José Luis|Frederick A. Peterson|Motivos decorativos en la cerámica azteca|||Primera|||México|Museo Nacional de Antropología|Serie Científica|5|1957|48 pp.|Ilus - Cuad|
Pérez Ramírez|Mario||Las estelas de Monte Albán|||Primera|||México|"Universidad ""Benito Juárez"" de Oaxaca"|Medicina Precortesiana||1963|12pp.|Ilus - Fts|
Piña Chan|Román||Tlatlico|I||Primera|||México|Instituto Nacional de Antropología e Historia|Investigaciones|1|1958|126 pp.|Mps - Fts - Ilus|
Piña Chan|Román||Tlatlico|II||Primera|||México|Instituto Nacional de Antropología e Historia|Investigaciones|2|1958|48 pp.|Fts - Ilus|
Ferrero|Luis||Costa Rica precolombina|||Primera|||Costa Rica|Editorial Costa Rica|Biblioteca Patria|6|1975|445 pp.|Cuad - Fts - Mps - Ilus|
Cruxent|J.M.|Irving Rouse|Arqueología cronológica de Venezuela|I||Primera|||Washington D.C.|Unión Panamericana|Estudios Monográficos|6|1961|320 pp.|Cuad|
Cruxent|J.M.|Irving Rouse|Arqueología cronológica de Venezuela|II||Primera|||Washington D.C.|Unión Panamericana|Estudios Monográficos|6|1961|226 pp.|Cuad - Mps - Ilus - Fts|
Bloomgarden|Richard||Guía fácil de Chichén Itzá, Balankanchen e Izamal|||Primera||Trad. por Samuel Méndez del Castillo|México|Litográfica Turmex|||1975|32 pp.|Ilus - Fts - Mps|
Muller|Florencia||Atlas arqueológico de la República Mexicana: Quintana Roo|I||Primera|||México|Instituto Nacional de Antropología e Historia|||1959|74 pp.|Mps - Ilus - Cuad|
Muller|Florencia||Atlas arqueológico de la República Mexicana: Campeche|II||Primera|||México|Instituto Nacional de Antropología e Historia|||1960|54 pp.|Mps - Ilus - Cuad|
Muller|Florencia||Folktales of Tepoztlán in Morelos, Mexico|||Primera|||Florida|Field Research Projects|||1973|23 pp.||
Ruz Lhuillier|Alberto||Uxmal - Kabah - Sayil|||Primera|||México|Instituto Nacional de Antropología e Historia|||1955|25 pp.|Fts - Ilus|
Spranz|Bodo||Las pirámides de Totimehuacán|||Primera|||México|Instituto Poblano de Antropología e Historia|||1966|32 pp.|Mps - Fts - Cuad|
Armillas|Pedro||El problema de la cerámica anaranjada delgada|||Primera|||México|Escuela Nacional de Antropología|||1944|10pp.|Ilus|
Fowler|Melvin L.||Un sistema preclásico de distribución de agua en la zona arqueológica de Amalucan, Puebla|||Primera|||México|Instituto Poblano de Antropología e Historia|||1968|33 pp.|Fts - Mps - Cuad|
Martínez Hernández|Juan|César Lizardi Ramos|Significación cronológica de los ciclos mayas / Recurrencias de las fechas mayas|||Primera|||México|Área Maya|||1935|31 pp.||
Tuohy|Donald R.||Prehistoric fishing and fishing gear from the lower truckee basin of Nevada|||Primera|||Estados Unidos|Nevada State Museum|Reports||1978|14 pp.|Ilus|
Irwin-Williams|Cynthia||Comments on allegations by J.L. Lorenzo concerning archaeological research at Valsequillo, Puebla|||Primera|||Estados Unidos|Paleoindian Institute - Eastern New Mexico University|||1968|7pp.||
Instituto Nacional de Antropología e Historia|||Teotihuacán. Guía oficial.|||Primera|||México|Instituto Nacional de Antropología e Historia||||32 pp.|Mps - Fts|
Escuela Nacional de Antropología e Historia|||Las estelas zapotecas|||Primera|||México|Ediciones Mimeográficas SAENAH|||1957|14 pp.||
Nalda|Enrique|et. al.|La validez teórica del concepto mesoamérica|||Primera|||México|Instituto Nacional de Antropología e Historia|Colección Científica||1990|218 pp.|Mps - Cuad|
Sociedad Mexicana de Antropología|||XX Mesa redonda de antropología|||Primera|||México|Sociedad Mexicana de Antropología|||1987|128 pp.||
