Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Downing|Theodore Edmond||Zapotec inheritance|||Primera|||Stanford|Stanford University|||1973|226 pp.|Cuad|
Wasserstrom|Robert||Population growth and economic development in Chiapas, 1524-1975|||Primera|||Chiapas|Centro de Investigaciones Ecológicas del Sureste|||1977|31 pp.|Cuad|
Barjau|Luis||No somos mestizos|||Primera|||México|Colección Imaginaria|Imaginaria||1987|18 pp.||
Turner|Paul R.||The highland chontal|||Primera|||Estados Unidos|Holt, Rinehart and Winston, inc.|||1972|96 pp.|Fts - Mps|
Kuroda|Etsuko||Under Mt. Zempoaltépetl. Highland mixe society and ritual.|||Primera|||Osaka|National Museum of Ethnology|Senri Ethnological Studies|12|1984|245 pp.|Fts - Cuad|
Bloch|Raymond||Los etruscos|||Primera||Trad. Por Mariana Payró de Bonfanti|Argentina|Editorial Universitaria de Buenos Aires|Cuadernos de EUDEBA|42|1961|56 pp.|Ilus - Cuad - Mps|
|||Roma. La república y el imperio.||19|Primera|||Argentina|Editorial Atlántida|Historia|19|1965|128 pp.|Fts|
Méndez Martínez|Enrique||Índice de documentos relativos a los pueblos del estado de Oaxaca|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica|67|1979|50 pp.||
|||Greek and roman civilization|||Primera|||Estados Unidos|Allyn and Bacon, Inc.|||1971|154 pp.|Ilus - Fts - Cuad - Mps|
Comisión de las Comunidades Europeas|||La comunidad europea y la unificación alemana||4|Primera|||Luxemburgo|Oficina de Publicaciones Oficiales de las Comunidades Europeas|Suplemento|4|1990|204 pp.|Cuad|
