Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Pardo|J. Joaquín|et. al.|Guía de antigua Guatemala|||2a.|||Guatemala|José de Pineda Ibarra|Publicación especial|15|1968|281 pp.|Ilus - Fts - Cuad - Mps|
Gerber|Lambert||Historia de Inglaterra|||3a.||Trad. Por José Rovira y Ermengol|Barcelona|Editorial Labor|Labor|70|1926|184 pp.|Ilus - Fts - Mps|
Sonneville-Bordes|Denise||La edad de la piedra|||Primera||Trad. Por Vicente Perrone|Argentina|Editorial Universitaria de Buenos Aires|Cuadernos de EUDEBA|115|1964|119 pp.|Ilus - Mps|
Charomonte|Nicola||La paradoja de la historia. Stendhal, Tolstoi, Pasternak y otros.|||Primera||Trad. Por Antonio Saborit|México|Instituto Nacional de Antropología e Historia|Divulgación||1999|243 pp.||
Fernández|Rodolfo||Mucha tierra y pocos dueños: estancias, haciendas y latifundios avaleños|||Primera|||México|Instituto Nacional de Antropología e Historia|Regiones de México||1999|383 pp.|Cuad - Mps|
Naranjo|Francisco||Diccionario biográfico revolucionario|||Primera|||México|Comisión Nacional para las Celebraciones del 175 Aniversario de la Independencia Nacional y 75 Aniversario de la Revolución Mexicana|||1935|317 pp.||
León-Portilla|Miguel||Quetzalcóatl|||Primera|||México|Fondo de Cultura Económica|Presencia de México|1|1968|101 pp.|Ilus - Fts|
Vázquez de Knauth|Josefina||Historia de la historiografía|||2a.|||México|Secretaría de Educación Pública|Sepsetentas|93|1973|174 pp.||
Grimal|Pierre||El siglo de Augusto|||Primera||Trad. Por Ricardo Anaya|Argentina|Editorial Universitaria de Buenos Aires|Lectores||1960|126 pp.|Cuad - Mps|
Broué|Pierre|Émile Témime|La revolución y la guerra de España||II|Primera||Trad. Por Francisco González Aramburo|México|Fondo de Cultura Económica|Popular. Tiempo presente.|33|1962|331 pp.|Cuad - Mps|
Marczewski|Jean|Pierre Vilar|¿Qué es la historia cuantitativa?|||Primera||Trad. Por Martha H. Cavilliotti|Argentina|Ediciones Nueva Visión|Fichas|15|1973|97 pp.||
Broué|Pierre|Émile Témime|La revolución y la guerra de España||I|Primera||Trad. Por Francisco González Aramburo|México|Fondo de Cultura Económica|Popular. Tiempo presente.|33|1962|380 pp.|Mps|
Vos|Jan de||Una tierra para sembrar sueños. Historia reciente de la Selva Lacandona, 1950-2000|||Primera|||México|Fondo de Cultura Económica - Centro de Investigaciones y Estudios Superiores en Antropología Social|||2002|505 pp.|Ilus - Fts - Cuad - Mps|
Arizpe S.|Lourdes||Parentesco y economía en una sociedad nahua|||Primera|||México|Instituto Nacional Indigenista - Secretaría de Educación Pública|SEP-INI|22|1973|225 pp.|Ilus - Fts - Cuad|
Kinder|Hermann|Werner Hilgemann|Atlas histórico mundial de los orígenes a la revolución francesa|||Primera||Trad. Por Carlos Martín, et. al.|Madrid|Ediciones ISTMO|Fundamentos|1|1970|311 pp.|Mps|
|||Fray Servando. Biografía, discursos, cartas.|||Ed. Conmemorativa|||Monterrey|Gobierno del Estado de Nuevo León - Universidad Autónoma de Nuevo León|||1977|347 pp.||
Florescano|Enrique|et. al.|Tierras nuevas. Expansión territorial y ocupación del suelo en América|||Primera|Primera||México|El Colegio de México|||1973|138 pp.|Cuad - Mps|
Papousek|Dick A.||Alfareros-campesinos mazahuas. Situación de estímulo y procesos de adaptación.|||Primera||Trad. Por Mercedes Barquet|México|Biblioteca Enciclopédica del Estado de México|||1982|300 pp.|Ilus - Fts - Cuad - Mps|
Gourgoin Argüello|Helene Anita Chantal||Tiempo y espacio en la cultura mixe: su rol articulador de la identidad cultural en la comunidad de Tamazulapam.|||Primera|||México|Escuela Nacional de Antropología e Historia - Instituto Nacional de Antropología e Historia - Secretaría de Educación Pública|||1991|204 pp.|Fts|
Babini|Rosa de||Los siglos de la historia|||Primera|||México|Fondo de Cultura Económica|Popular|15|1960|348 pp.||
Malet|Alberto||El oriente|||Primera|||Argentina|Librería Hachette|||1940|190 pp.|Ilus - Fts - Mps|
Malet|Alberto|J. Isaac|La época contemporánea|||Primera|||Argentina|Librería Hachette|||1940|340 pp.|Fts - Mps|
O'Gorman|Edmundo||Crisis y porvenir de la ciencia histórica|||Primera|||México|Imprenta Universitaria|||1947|349 pp.||
Velasco Márquez|Jesús||La guerra del 47 y la opinión pública|||Primera|||México|Secretaría de Educación Pública|Sepsetentas||1975|165 pp.|Ilus|
Macías|Anna||Génesis del gobierno constitucional de México: 1808-1820|||Primera||Trad. Por María Elena Hope y Antonieta Sánchez Mejorada de Hope|México|Secretaría de Educación Pública|Sepsetentas|94|1973|189 pp.||
Díaz y Díaz|Fernando||Santa Anna y Juan Álvarez frente a frente|||Primera|||México|Secretaría de Educación Pública|Sepsetentas|33|1972|177 pp.||
Muriá|José María||Bartolomé de las Casas ante la historiografía mexicana|||Primera|||México|Secretaría de Educación Pública|Sepsetentas||1974|214 pp.||
Malet|Alberto|J. Isaac|Los tiempos modernos|||Primera|||Argentina|Librería Hachette|||1943|284 pp.|Ilus - Fts - Mps|
Grimberg|Carl||La hegemonía española|||Primera|||Barcelona|Daimon|Historia universal|7|1973|458 pp.|Ilus - Fts - Mps|
Ramos-Oliveira|Antonio||Historia de España|I||Primera|||México|Compañía General de Ediciones||||639 pp.||
Ramos-Oliveira|Antonio||Historia de España|II||Primera|||México|Compañía General de Ediciones||||652 pp.||
Ramos-Oliveira|Antonio||Historia de España|III||Primera|||México|Compañía General de Ediciones||||647 pp.||
Atkinson|William C.||A history of Spain and Portugal|||Primera|3a.||Gran Bretaña|Penguin Books|Pelican books|A464|1967|382 pp.||
Watt|Montgomery||Historia de la España islámica|||Primera||Trad. Por José Elizalde|Madrid|Alianza Editorial|||1965|211 pp.|Mps|
Wilson|John A.||La cultura egipcia|||Primera||Trad. Por Florentino M. Torner|México|Fondo de Cultura Económica|||1953|483 pp.|Fts|
Romero|J.L.||La edad media|||Primera|||México|Fondo de Cultura Económica|||1949|206 pp.||
Huerta Ríos|César||Organización sociopolítica de una minoría nacional. Los triquis de Oaxaca.|||Primera|||México|Instituto Nacional Indigenista|INI|62|1981|282 pp.|Cuad|
Caro Baroja|Julio||Estudios sobre la vida tradicional española|||Primera|||Barcelona|Ediciones Península|Historia/Ciencia/Sociedad|23|1968|357 pp.|Ilus - Cuad|
Vincens Vives|Jaime||Approaches to the history of Spain|||2a.||Trad. Por Joan Connelly Ullman|Londres|University of California Press|||1970|189 pp.|Cuad - Mps|
Kuroda|Etsuko||Bajo el Zempoaltépetl. La sociedad mixe de las tierras altas y sus rituales.|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social - Instituto Oaxaqueño de las Culturas|||1993|353 pp.|Fts - Cuad|
Sims|Harold D.||La expulsión de los españoles de México|||Primera||Trad. Por Roberto Gómez Ciriza|México|Fondo de Cultura Económica - Secretaría de Educación Pública|Lecturas mexicanas|79|1974|299 pp.|Cuad|
Arróniz|Othón||Los tratados de Córdoba|||Primera|||México|Universidad Editorial|||1986|150 pp.|Fts|
Alperovich|M.S.||Historia de la independencia de México 1810-1824|||Primera||Trad. Por Adolfo Sánchez Vázquez|México|Editorial Grijalbo|||1967|354 pp.||
Bloch|Marc||Introducción a la historia|||2a.|||México|Fondo de Cultura Económica|||1957|159 pp.||
Baynes|Norman H.||El imperio bizantino|||2a.||Trad. Por María Luisa Díez-Caneda y Francisco Giner de los Ríos|México|Fondo de Cultura Económica|||1951|214 pp.||
Nevins|Allan|Henry Steele Commager|Breve historia de los Estados Unidos. Biografía de un pueblo libre.|||3a.||Trad. Por Florentino M. Torner|México|Compañía General de Ediciones|Ideas: Letras y vida||1963|542 pp.|Mps|
Maciu|Vasile|et. al.|Outline of rumanian historiography until the beginning of the 20th century|||Primera|||Bucarest|Academy of the Rumanian People's Republic|Bibliotheca Historica Romaniae|5|1964|96 pp.|Fts|
Bernal|Rafael||México en Filipinas. Estudio de una transculturación.|||Primera|||México|Universidad Nacional Autónoma de México|||1965|142 pp.||
Jiménez Moreno|W.|A. García Ruiz|Historia de México. Una síntesis.|||Primera|||México|Instituto Nacional de Antropología e Historia|||1962|132 pp.|Ilus - Fts - Mps|
Gamio|Manuel||Forjando patria|||2a.|||México|Editorial Porrúa|||1960|210 pp.||
Beals|Ralph L.||The peasant marketing system of Oaxaca, Mexico|||Primera|||California|University of California Press|||1975|419 pp.|Cuad|
Appendini|Ida|Sivlio Zavala|Historia universal. Antigüedad y edad media.|||Primera|||México|Editorial Porrúa|||1963|394 pp.|Ilus - Fts - Mps|
Lewis|Oscar||Tepoztlán village in Mexico|||Primera|||New York|Henry Holt & Co.|||1960|104 pp.|Ilus|
Barabas|Alicia|Miguel Bartolomé|El rey Cong-hoy. Tradición mesiánica y privación social entre los mixes de Oaxaca|||Primera|||México|Instituto Nacional de Antropología e Historia - Comité de Publicaciones Conjuntas del Estado|Investigaciones sociales|1|1984|89 pp.|Ilus - Mps|
Loera y Chávez|Margarita||Economía campesina indígena en la colonia. Un vaso en el valle de Toluca.|||Primera|||México|Instituto Nacional Indigenista|Investigaciones sociales|8|1981|139 pp.|Ilus - Fts - Cuad - Mps|
Acevedo|María Luisa|Iván Restrepo|Los valles centrales de Oaxaca|||Primera|||México|Centro de Ecodesarrollo - Gobierno de Oaxaca|||1991|173 pp.|Cuad - Mps|
Nahmad|Salomón||Los mixes. Estudio social y cultural de la región del Zempoaltépelt y del istmo de Tehuantepec||XI|Primera|||México|Instituto Nacional Indigenista|||1965|137 pp.|Fts - Cuad - Mps|
Castillo Estrada|José Alfonso del||Estudio socioeconómico de San Andrés Cohamiata, Jal.|||Primera|||Guadalajara|Universidad de Guadalajara|||1972|87 pp.||
