Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
|||Programa frontera XXI|||Primera|||México, D.F.|SEMARNAP|||1996|235||1
Lopez Cortes|Ignacio||Frontera norte, espacio limite creador de identidad||||||México, D.F.||||1996|184||1
Madsen|William||The mexican- americans of south Texas||||||USA|Holt, Rinehart and winston|||1964|112||
Mc Kern|Thomas W.|Sharon Mc Kern|Human Origins||||||USA|Prentice- Hall|||1969|199||1
Enríquez Coyro|Ernesto||El tratado entre México y los Estados Unidos de América sobre Ríos Internacionales|I||Primera|||México|UNAM|||1975|671||1
Denman|Catalina A.||Las repercusiones de la industria maquiladora de exportación en la salud: el peso al nacer de hijos de obreras en Nogales|||Primera|||Sonora, México.|El Colegio de Sonora|||1991|135||1
|||Programa de industrializacion de la Frontera Norte de México 1971|||||||Secretaria de Industria y Comercio||||36||1
Collado Ardón|Rolando||Médicos y estructura social|||Primera|||México|FCE|||1976|124||1
Ferrater Mora|||Diccionario de filosofía abreviado|||Cuarta|||Buenos Aires|Sudamericana|Índice||1974|478||1
|Centro Regional de Investigaciones Multidisciplinarias||Catálogo de Publicaciones|||Sexta edición|||México D.F.|UNAM|||2004|63||1
|||Centros de crecimiento en Othón P. Blanco||||||Quintana Roo, México.|Gobierno del Estado de Quintana Roo||||||1
Papaioannou|Kostas||La Raison Dans L´Histoire|||||Kostas Papaioannou||Librairie Plon|||1965|311||1
Messmacher|Miguel||La interdependencia en la frontera norte de México|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|cuadernos de la casa chata|92|1983|139||1
Carreño|Elvia||Catálogo de la biblioteca del Convento Grande de la Merced de la ciudad de México, II|||Primera|||México|INAH|||2002|107||1
Fábregas|Andrés|Juan Pohlenz/ Mariano Báez/ Gabriel Macías|La formación histórica de la frontera sur|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|cuadernos de la casa chata|124|1985|300||1
|||Anuario 1999|||Primera|||Chiapas, México.|Uniiversidad de Ciencias y Artes de Chiapas|||2000|193||1
Canto Chan|Victor Manuel||Los trabajadores mayas de una exhacienda henequenera: El Ejido ya´axkopoil, uman, Yuc.|||Primera|||México|INI||25|1982|267||1
Maciel|David|Patricia Bueno|Aztlán|||Primera||Yolanda Gil Mateos|México|SEP|||1976|211||1
Fourastié|Jean||¿Por qué trabajamos?|||||Mireya Reilly de Fayard|Argentina|Editorial Universitaria de Buenos Aires|||1960|133||1
Ingrosso|Marco||Modelos socioeconómicos de interpretación de la realidad latinoamericana: de Mariátegui a Gunder Frank|||||Joaquín Jordá|Spain|Anagrama|||1973|88||1
Cervantes|Mayan||Mesoamérica y Los Andes|||Primera|||México|CIESAS|Miguel Othón de Mendizabal||1996|597||1
Firth|Raymond||Themes in Economic Anthropology|||Second|||USA|Association of Social Anthropologists of the Commonwealth|||1970|292||
Villafuerte Solís|Daniel||La tierra en Chiapas|||Primera|||México|FCE|||2002|429||1
Trujillo Bolio|Mario||Empresariado y manufactura textil en la Ciudad de México y su periferia. Siglo XIX||||||México, D.F.|CIESAS|||2000|222||1
Meade|Spencer||Manual del Azúcar de Caña||||||España|Montaner y Simon|||1967|940||1
Acuña|René||Relaciones geográficas del siglo XVI: Antequera|I||Primera|||México|UNAM|||1984|411||1
Acuña|René||Relaciones geográficas del siglo XVI: Tlaxcala|I||Primera|||México|UNAM|||1984|324||1
Terradas|Jaime||ecología, hoy||||||Barcelona, España.|Jaime Terradas|||1971|203||1
Cassirer|Ernst||El mito del estado|||Segunda||Eduardo Nicol|México|FCE|||1968|362||1
Jones|Emrys||Human Geography||||||London|Emrys Jones|||1964|240||1
Gossen H.|Gary||Los chamulas en el mundo del Sol|||Segunda|||México, D.F.|INI|||1990|450||1
