Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad
||||Los que Viven en la Arena|||Primera|||México|INI-FONAPAS|||1981|73|Fotos|
Weitlaner|Roberto J.|Arturo Monzon||Parentesco y compadrazgo Coras/Restos de clanesexogamicos entre los cora de Nayarit|||Primera|||México|Escuela Nacional de Antropología||4|1945|15|Cuadros|
Gándara|Arturo|||Electric utility decisionmaking option|||Primera||||Rand Santa Monica, CA.|||1977|110|Mapas y cuadros|
||||Seminario permanente sobre indigenismo 1990-1994|||Primera|||México|INI|||1991|||
||||Plan nacional para la instrumentación de la educación indígena|||Primera|||México|Consejo Nacional de Pueblos Indígenas|||1979|125||
Morgan Ayanegui|José O.|||Referencias sobre el Derecho Indigenista en México|||Primera|||México|SEP|||1982|135||
Sariego Rodríguez|Juan Luis|||El indigenismo en la tarahumara |||Primera|||México|CONACULTA-INAH|||2002|259|Fotos y mapas|
Báez-Jorge|Félix|||Cuando ardio el cielo y se quemo la tierra|||Primera|||México||||1984|32||
Owen |Roger C.|||A study of an assimilated group in northern sonora|||Primera|||USA|Universidad of Arizona |||1959|53|Fotos|
Aguilar |Ínigo|||El problema de la educación indigena|||Primera|||México|CONACULTA-INAH|||1991|237|Mapas y cuadros|
Quezada|Noemí|||Enfermedad y Maleficio |||Segunda|||México|UNAM|||2000|181|Ilustraciones, mapas y cuadros|
Bijovski|B.|||Ciencia, sociedad y futuro|||Primera|||Argentina|Editorial Cartago|||1965|140|Fotos|
León López|Enrique G.|||La ingeniería en México|||Primera|||México|SEP|||1974|190|Fotos|
Prigogine|Ilya|||¿Tan solo una ilusión?|||Primera|||España|Tusquets Editores|||1983|332|Ilustraciones y cuadros|
|Marmasse|Claude||La paciente historia del atomo|||Primera|||México|SEP|||1975|159|Ilustraciones,foto y mapas|
Anaya|Graciela|||Declaración Universal sobre los Derechos Indígenas|||Primera|||México|INI|||1990|195||
Comas |Juan |||Manual de Antropología física|||Primera|||México|Fondo de Cultura Economica|||1957|698|Cuadros|
Ruiz de Bravo Ahuja|Gloria||Coordinador|Zapoteco del istmo|||Primera|||México||||1974|139||
||||Antiguas representaciones del maiz|||Primera|||México|Archivo general de la nación|||1982|89|Ilustraciones|
Florescano|Enrique||Coordinador|Crisis del Porfirismo||1|Primera|||México|Consejo Nacional de Fomento Educativo|||1985|165|Ilustraciones y mapas|
Florescano|Enrique||Coordinador|Caida del antiguo regimen||2|Primera|||México|Consejo Nacional de Fomento Educativo|||1985|||
Florescano|Enrique||Coordinador|Madero y el tiempo nuevo||3|Primera|||México|Consejo Nacional de Fomento Educativo|||1985|||
Florescano|Enrique||Coordinador|Los protagonistas(n-z) ||8|Primera|||México|Consejo Nacional de Fomento Educativo|||1985|||
Bosch García|Carlos|||México referente al marr|||Primera|||México|UNAM|||1981|472|Fotos|
||||Revolución mexicana|IV||Primera|||México|Plumex, S.A.|||1967||Ilustraciones y fotos|
Yanes Rizo|Emma|||Me matan si no trabajo y si trabajo me matan|||Primera|||México|INAH|||2000|307|Ilustraciones, mapas y cuadros|
Millán |Saúl|Julieta Valle|Coordinadores|La comunidad sin límites ||I|Primera|||México|CONACULTA-INAH|||2003|401|Mapas y cuadros|
Martínez Peñaloza|Maria Teresa||Compiladora|Morelosy el poder judicial de la insurgencia mexicana|||Primera|||México|Gobierno del estado de Michoacan|||1985|448||
Aboites|Luis|||La revolución mexicana en Espita:1910-1940. Microhistoria de la formación del Estado de la revolución||43|Primera|||México|Ciesas|Cuadernos de la casa chata|62|1982|157||
Smith |Watson|John M. Roberts||Zuni Law- A field of values||||||USA|Harvard University|||1954|175||
Houghton|Ruth M.|Leontine Nappe||Nevada Lifestyles and lands|||Primera|||USA|University of Nevada, Reno|||1977|180|Ilustraciones, fotos, mapas y cuadros|
Reina|Leticia||Coordinadora|Las luchas populares en México en el siglo XIX|||Primera|||México|SEP|Cuadernos de la casa chata|90|1983|522|Cuadros|
||||Estudios de la cultura maya||V|Primera|||México|UNAM|||1965|398|Ilustraciones y cuadros|
