Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Rocher|Guy||l'Action sociale|1||Primera|||France|Éditions HMH|||1968|187 pp.||
Castañeda|Jorge|Enrique Hett|El economismo dependentista|||Primera|||México|Siglo XXI Editores|||1978|191 pp.||
A. Anaya|Rudolfo||Bless me, ultima|||Primera|||EUA|Quinto Sol Publication|||1978|248 pp|Ilus|
L. Beals|Ralph|Robert V. Kemper|Dos lecturas de la antropología mexicana|||Primera|||México|Universidad de Guadalajara|||1993|61 pp.||
Sahlins|Marshall||Cultura y razón práctica|||Primera|||España|Gedisa Editorial|||1988|243 pp.||
Sticker|Albert||El cine en la vida psiquica del niño|||Primera|||Argentina|Editorial Kapelusz|||1960|150 pp.||
P.Pavlov|Ivan||Los reflejos condicionados|||Primera|||Uruguay|Ediciones Pueblos Unidos|||1960|426 pp.||
George M. Beal|Joe M. Bohlen||Conducción y acción dinámica del grupo|||Primera|||Argentina|Editorial Kapelusz|||1964|332 pp.|Ilus|
Hernández|Deluvina||Mexican american callenge to a sacred cow|||Primera|||EUA|University of California, Los Angeles|||1970|60 pp.||
I. Sanchez|George||Forgotten People|||Primera|||EUA|Calvin Horn Publisher|||1967|98 pp.||
Cardoso de Oliveira|Roberto||Homenagem|||Primera|||Brasil|Instituto de Filosofia e Ciéncias Humanas da Universidade Estadual de Campinas|||1992|185 pp.||
P.Pavlov|Ivan||Reflejos condicionados e inhibiciones|||Primera|||España|Planeta de Agostini|||1923|232 pp.||
García Canclini|Néstor||Culturas híbridas|||Primera|||México|Editorial Grijalbo|||1989|363 pp.||
Aguirre Beltrán|Gonzalo||Cuatro nobles titulados en contienda por la tierra|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|||1995|256 pp.||
Piaget|Jean||El estructuralismo|||Primera||Claudia A. Loeffler|México|Preses Universitaires de france|||1995|131 pp.||
Lagunas Rodríguez|Zaid||El proceso de hominizacion o... el hombre se hizo|||Primera|||México|Secretaría de cultura Gobierno del Estado de Puebla|Catalejos|20|1998|83 pp.||
Gruzinski|Serge||La colonización de lo imaginario|||Primera|1995|Jorge Ferrero|México|Fondo de Cultura Economica|||1988|310 pp.||
de la Rosa|Martín||La presencia de grupos Norteamericanos en Tijuana|||Primera|||México|El colegio de la fronter norte|||1987|78 pp.|Tbls|
Girard|René||Literatura, mímesis y antropología|||Primera|||España|Gedisa Editorial|||1978|230 pp.||
Kardiner|Abram||El individuo y su sociedad|||Primera|||México|Fondo de Cultura Economica|||1939|450 pp.||
Chauchard|Paul||Sociedades Animales Sociedad Humana|||Segunda|||Argentina|Editorial Universitaria de Buenos Aires|||1962|62 pp.||
Nadal|S. F.||Fundamentos de antropología|||Primera|||México|Fondo de Cultura Economica|||1955|461 pp.||
Montagu|Ashley||La dirección del desarrollo humano|||Primera|||España|Estructura y función|||1961|356 pp.||
Firth|Raymond||Fines, métodos y conceptos de la enseñanza en antropología social||2|Primera|||México||Anales de la antropología||1965|25 pp.||
Mathes|Michael||Aportación a la historiografía de California en el siglo XVIII|||Primera|||España|Ediciones José Porrúa Turanzas|||1987|461 pp.||
Díaz Guerrero|R.||Hacia una psicología social del tercer mundo|||Primera|||México|Universidad Nacional Autonóma de México|||1976|44 pp.||
Broom|Leonard|Philip Selznick|Sociología, un texto con lecturas Adaptadas|||Segunda||Manuel J. Gaxiola Gaxiola, M. A.|México|Compañía Editorial Continental||||||
|UNAM||Estudios de Cultura Maya||IX|Primera|||México|UNAM|Estudios de Cultura Maya||1973|400 pp.||
|UNAM||Estudios de Cultura Maya||XIII|Primera|||México|UNAM|Estudios de Cultura Maya||1981|374 pp.||
|UNAM||Estudios de Cultura Maya||XIV|Primera|||México|UNAM|Estudios de Cultura Maya|||||
Ortiz - Ortiz|Raúl||Archivo Lowry|||Primera|||Morelos, México.|Fondo Editorial|La sombra del viajero||2011|245 pp.||
Angulo|Jorge||Un visión del Museo Cuauhnahuac Palacio de Cortes||||||México, D. F.|Instituto Nacional de Antropología e Historia||||||
Dart|Raymond A.||Tools… Crator of Civilization||||||Illinois|Leighton Wilkie Des Plaines|||1965|60||
